session_id,src_ip,dst_ip,inter_arrival_times,is_attack
s00711,192.168.1.44,203.0.113.90,"[49.72, 49.37, 49.6, 50.78, 44.55, 53.15]",True
s00460,192.168.1.169,17.253.144.10,"[12.62, 30.28, 11.74, 11.9, 48.9, 38.99, 11.8, 13.44, 53.83, 27.46, 14.16, 16.62, 8.24]",False
s00643,192.168.1.142,91.108.4.182,"[99.39, 99.82, 83.12, 82.49, 101.63, 85.24, 97.75, 72.78, 76.75, 70.02, 105.04, 105.06]",True
s00127,192.168.1.153,142.250.80.14,"[29.93, 1.77, 37.55, 1.86, 3.16, 2.42, 63.63, 0.44, 2.01, 26.89, 59.29]",False
s00407,192.168.1.206,13.107.21.200,"[37.81, 54.32, 51.23, 42.05, 64.65, 47.63, 18.55, 24.65, 109.87, 32.17, 20.2]",False
s00155,192.168.1.245,198.51.100.25,"[88.9, 17.48, 24.78, 115.48, 76.62]",False
s01073,192.168.1.25,185.190.140.22,"[55.15, 59.32, 60.5, 58.6, 61.36, 58.78, 68.36, 55.41, 55.13]",True
s00852,192.168.1.78,185.220.101.44,"[503.46, 645.45, 561.38, 519.25, 629.72, 707.53, 520.73, 616.53, 651.09, 668.49, 624.38, 680.83, 634.97]",True
s00107,192.168.1.188,34.120.55.12,"[44.13, 20.55, 23.99, 25.06, 39.15, 160.29, 36.67, 94.16, 58.62, 55.76, 31.68]",False
s00398,192.168.1.70,93.184.216.34,"[38.24, 27.18, 62.77, 34.42, 11.15, 144.79, 23.06, 28.71, 50.53, 110.87]",False
s00807,192.168.1.105,198.51.100.7,"[152.26, 190.47, 164.14, 214.9, 170.78, 179.93, 203.82, 182.47, 175.88, 161.49, 164.21, 148.41, 172.98, 144.0, 195.24, 214.11, 203.42, 178.43, 211.29, 190.73]",True
s00722,192.168.1.25,185.190.140.22,"[246.6, 269.66, 210.28, 229.29, 292.58, 269.43, 247.73, 239.99, 231.18]",True
s00484,192.168.1.144,142.250.80.14,"[79.32, 20.87, 86.05, 16.39, 25.78, 175.52, 83.52, 74.71, 116.82]",False
s00028,192.168.1.67,17.253.144.10,"[2.45, 1.62, 35.98, 2.53, 0.63, 19.67]",False
s00957,192.168.1.44,195.123.245.9,"[264.57, 329.06, 297.04, 269.29, 327.32, 338.35, 350.57, 316.65, 314.7, 352.96, 217.07, 323.15, 295.65, 307.9, 284.07, 281.34, 253.87, 338.86]",True
s00996,192.168.1.142,185.220.101.44,"[48.02, 45.91, 49.66, 43.61, 44.54, 46.46, 42.65, 40.55, 43.28, 45.06, 51.15, 49.97, 48.55, 44.62, 48.71, 49.77, 49.0, 41.67, 46.78, 47.04, 47.17, 50.67]",True
s00452,192.168.1.127,13.107.21.200,"[1.52, 1.45, 78.04, 3.03, 0.7, 68.71, 2.85, 36.96, 2.38]",False
s00579,192.168.1.4,34.120.55.12,"[1.7, 2.32, 3.5, 33.3, 2.23, 1.09, 0.32, 2.81, 1.93, 2.09, 0.94, 1.72, 3.03, 0.71, 0.64]",False
s00740,192.168.1.78,198.51.100.7,"[29.19, 29.85, 30.99, 29.86, 30.13, 30.24, 32.55, 28.65, 29.56, 29.32, 32.15, 29.64, 29.65, 30.78, 28.5, 28.18]",True
s00818,192.168.1.78,195.123.245.9,"[9.99, 10.18, 10.09, 10.1, 9.95, 10.27, 9.95, 10.3, 10.18, 9.96, 9.94, 10.42, 9.91]",True
s00723,192.168.1.233,185.190.140.22,"[30.61, 30.39, 29.64, 31.43, 28.96, 28.71, 30.2, 31.08, 29.72, 30.95, 30.63, 30.5, 28.91, 30.07, 30.75, 30.2, 29.49, 29.97, 29.36, 29.21, 30.02, 30.3, 30.63, 29.82, 29.98]",True
s00466,192.168.1.2,17.253.144.10,"[49.88, 81.31, 94.99, 16.61, 26.95, 42.54, 49.94, 25.24, 68.14, 51.55, 23.26]",False
s00439,192.168.1.6,13.107.21.200,"[46.72, 28.1, 48.93, 99.31, 154.17, 26.57]",False
s00762,192.168.1.210,203.0.113.90,"[88.01, 89.72, 86.87, 73.54, 74.9, 88.37, 91.09, 96.36, 80.41, 73.85, 77.26, 75.04, 95.63, 82.41, 92.76, 85.01, 84.76, 82.06, 102.07, 98.17]",True
s00590,192.168.1.24,34.120.55.12,"[17.4, 108.98, 37.03, 68.01, 39.18, 112.01]",False
s00528,192.168.1.28,13.107.21.200,"[17.05, 56.58, 20.78, 29.13, 3.66]",False
