flow_id,src_ip,dst_ip,src_port,dst_port,protocol,duration,bytes_in,bytes_out,pkts_in,pkts_out,tcp_flags,flow_rate_bps,packet_rate_pps,entropy,ja3_hash,is_attack,attack_type,timestamp,metadata
benign_flow_001719,192.168.1.24,198.51.100.31,36461,80,TCP,0.3361,586,228,2,2,SYN-ACK-FIN-PSH,19375.19,11.9,3.4175,,False,BENIGN,2026-08-27T12:46:26.606383+00:00,"{""service"": ""HTTP"", ""domain"": ""google.com""}"
benign_flow_001198,192.168.1.250,198.51.100.147,57404,443,TCP,4.5674,3643,485,3,3,SYN-ACK-FIN-PSH,7230.37,1.31,4.319,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:46:03.850880+00:00,"{""service"": ""HTTPS"", ""domain"": ""slack.com""}"
f01394,185.49.84.17,10.0.20.100,443,19290,TCP,2.23,4868778,44,103120,1,SYN,17466468.16,46242.15,0.1,,True,SYN_FLOOD,2026-08-27T14:45:09.271359+00:00,"{""vector"": ""syn_flood""}"
benign_flow_001331,192.168.1.128,198.51.100.188,36683,443,TCP,10.1994,1542,464,3,3,SYN-ACK-FIN-PSH,1573.43,0.59,4.2224,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:46:09.859046+00:00,"{""service"": ""HTTPS"", ""domain"": ""slack.com""}"
benign_flow_001095,192.168.1.35,198.51.100.71,56470,443,TCP,9.4718,8546,2742,6,6,SYN-ACK-FIN-PSH,9533.99,1.27,3.9178,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:59.232984+00:00,"{""service"": ""HTTPS"", ""domain"": ""cloudflare.com""}"
benign_flow_002818,192.168.1.71,198.51.100.50,34312,443,TCP,7.2021,1135,83,3,3,SYN-ACK-FIN-PSH,1352.94,0.83,3.7717,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:47:14.989080+00:00,"{""service"": ""HTTPS"", ""domain"": ""linkedin.com""}"
benign_flow_002566,192.168.1.2,198.51.100.201,52512,443,TCP,1.1724,6854,1320,6,3,SYN-ACK-FIN-PSH,55776.19,7.68,4.3927,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:47:03.692498+00:00,"{""service"": ""HTTPS"", ""domain"": ""openai.com""}"
benign_flow_000183,192.168.1.74,198.51.100.128,52347,443,TCP,7.8376,781,106,3,3,SYN-ACK-FIN-PSH,905.38,0.77,4.4166,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:17.823738+00:00,"{""service"": ""HTTPS"", ""domain"": ""wikipedia.org""}"
f01440,45.222.213.176,10.0.10.20,8080,6097,TCP,1.78,1637651,44,30006,1,SYN,7360229.21,16857.3,0.08,,True,SYN_FLOOD,2026-08-27T14:45:09.268540+00:00,"{""vector"": ""syn_flood""}"
benign_flow_001972,192.168.1.97,198.51.100.16,47164,443,TCP,12.8189,848,101,3,3,SYN-ACK-FIN-PSH,592.25,0.47,3.9551,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:46:37.404991+00:00,"{""service"": ""HTTPS"", ""domain"": ""slack.com""}"
benign_flow_001693,192.168.1.110,198.51.100.144,56955,443,TCP,12.3591,2545,761,3,3,SYN-ACK-FIN-PSH,2139.96,0.49,4.0298,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:46:25.548756+00:00,"{""service"": ""HTTPS"", ""domain"": ""wikipedia.org""}"
benign_flow_002668,192.168.1.43,198.51.100.240,37185,443,TCP,12.3957,4008,1165,3,3,SYN-ACK-FIN-PSH,3338.58,0.48,4.3486,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:47:08.075150+00:00,"{""service"": ""HTTPS"", ""domain"": ""wikipedia.org""}"
benign_flow_002973,192.168.1.161,198.51.100.41,48469,443,TCP,1.45,936,196,3,3,SYN-ACK-FIN-PSH,6245.52,4.14,4.2416,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:47:21.502634+00:00,"{""service"": ""HTTPS"", ""domain"": ""spotify.com""}"
benign_flow_002588,192.168.1.119,198.51.100.230,55620,443,TCP,13.2254,733,79,3,3,SYN-ACK-FIN-PSH,491.18,0.45,3.6643,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:47:04.781337+00:00,"{""service"": ""HTTPS"", ""domain"": ""notion.so""}"
benign_flow_001045,192.168.1.192,8.8.8.8,40650,53,UDP,0.01,310,47,1,1,UDP,285600.0,200.0,2.4343,,False,BENIGN,2026-08-27T12:45:57.186101+00:00,"{""service"": ""DNS"", ""domain"": ""youtube.com""}"
benign_flow_002365,192.168.1.177,198.51.100.131,46083,80,TCP,5.8758,317,98,2,2,SYN-ACK-FIN-PSH,565.03,0.68,3.1225,,False,BENIGN,2026-08-27T12:46:54.906641+00:00,"{""service"": ""HTTP"", ""domain"": ""slack.com""}"
benign_flow_002166,192.168.1.109,198.51.100.68,57957,22,TCP,145.892,66801,22377,224,144,SYN-ACK-PSH,4890.08,2.52,4.5904,,False,BENIGN,2026-08-27T12:46:46.112518+00:00,"{""service"": ""SSH"", ""domain"": null}"
benign_flow_002397,192.168.1.182,198.51.100.132,54485,443,TCP,13.0925,711,139,3,3,SYN-ACK-FIN-PSH,519.38,0.46,4.5056,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:46:56.137438+00:00,"{""service"": ""HTTPS"", ""domain"": ""amazon.com""}"
benign_flow_001724,192.168.1.181,198.51.100.218,44784,443,TCP,11.7745,658,145,3,3,SYN-ACK-FIN-PSH,545.59,0.51,4.2832,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:46:26.794415+00:00,"{""service"": ""HTTPS"", ""domain"": ""google.com""}"
benign_flow_001038,192.168.1.14,198.51.100.244,42738,443,TCP,4.0013,5648,1275,3,3,SYN-ACK-FIN-PSH,13841.5,1.5,3.6044,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:56.941411+00:00,"{""service"": ""HTTPS"", ""domain"": ""apple.com""}"
