flow_id,src_ip,dst_ip,src_port,dst_port,protocol,duration,bytes_in,bytes_out,pkts_in,pkts_out,tcp_flags,flow_rate_bps,packet_rate_pps,entropy,ja3_hash,is_attack,attack_type,timestamp,metadata
c2_beacon_000001,192.168.1.45,185.220.101.44,49153,8443,TLS,0.0807,64,128,2,2,PSH-ACK,19033.46,49.57,4.9105,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-26T15:14:37.468164+00:00,"{""c2_profile"": ""CobaltStrike_HTTPS_Default"", ""agent_id"": ""agent-win10-dev01"", ""beacon_seq"": 1, ""base_interval_sec"": 10.0, ""configured_jitter_pct"": 0.25, ""actual_interval_sec"": 8.8206, ""http_cookie"": ""SESSIONID=YWdlbnQtd2luMTAtZGV2...""}"
c2_beacon_000002,192.168.1.45,185.220.101.44,49154,8443,TLS,0.1178,80,256,2,2,PSH-ACK,22818.34,33.96,4.7743,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-26T15:14:46.288764+00:00,"{""c2_profile"": ""CobaltStrike_HTTPS_Default"", ""agent_id"": ""agent-win10-dev01"", ""beacon_seq"": 2, ""base_interval_sec"": 10.0, ""configured_jitter_pct"": 0.25, ""actual_interval_sec"": 10.7267, ""http_cookie"": ""SESSIONID=YWdlbnQtd2luMTAtZGV2...""}"
c2_beacon_000003,192.168.1.45,185.220.101.44,49155,8443,TLS,0.0709,64,144,2,2,PSH-ACK,23469.68,56.42,4.789,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-26T15:14:57.015464+00:00,"{""c2_profile"": ""CobaltStrike_HTTPS_Default"", ""agent_id"": ""agent-win10-dev01"", ""beacon_seq"": 3, ""base_interval_sec"": 10.0, ""configured_jitter_pct"": 0.25, ""actual_interval_sec"": 8.594, ""http_cookie"": ""SESSIONID=YWdlbnQtd2luMTAtZGV2...""}"
c2_beacon_000004,192.168.1.45,185.220.101.44,49156,8443,TLS,0.1145,64,192,2,2,PSH-ACK,17886.46,34.93,4.7694,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-26T15:15:05.609464+00:00,"{""c2_profile"": ""CobaltStrike_HTTPS_Default"", ""agent_id"": ""agent-win10-dev01"", ""beacon_seq"": 4, ""base_interval_sec"": 10.0, ""configured_jitter_pct"": 0.25, ""actual_interval_sec"": 10.8178, ""http_cookie"": ""SESSIONID=YWdlbnQtd2luMTAtZGV2...""}"
c2_beacon_000005,192.168.1.45,185.220.101.44,49157,8443,TLS,0.0803,64,128,2,2,PSH-ACK,19128.27,49.81,4.7619,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-26T15:15:16.427264+00:00,"{""c2_profile"": ""CobaltStrike_HTTPS_Default"", ""agent_id"": ""agent-win10-dev01"", ""beacon_seq"": 5, ""base_interval_sec"": 10.0, ""configured_jitter_pct"": 0.25, ""actual_interval_sec"": 11.2563, ""http_cookie"": ""SESSIONID=YWdlbnQtd2luMTAtZGV2...""}"
c2_beacon_000006,192.168.1.45,185.220.101.44,49158,8443,TLS,0.0491,64,128,2,2,PSH-ACK,31283.1,81.47,4.8681,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-26T15:15:27.683564+00:00,"{""c2_profile"": ""CobaltStrike_HTTPS_Default"", ""agent_id"": ""agent-win10-dev01"", ""beacon_seq"": 6, ""base_interval_sec"": 10.0, ""configured_jitter_pct"": 0.25, ""actual_interval_sec"": 10.1285, ""http_cookie"": ""SESSIONID=YWdlbnQtd2luMTAtZGV2...""}"
c2_beacon_000007,192.168.1.45,185.220.101.44,49159,8443,TLS,0.1008,64,256,2,2,PSH-ACK,25396.83,39.68,4.7664,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-26T15:15:37.812064+00:00,"{""c2_profile"": ""CobaltStrike_HTTPS_Default"", ""agent_id"": ""agent-win10-dev01"", ""beacon_seq"": 7, ""base_interval_sec"": 10.0, ""configured_jitter_pct"": 0.25, ""actual_interval_sec"": 11.1878, ""http_cookie"": ""SESSIONID=YWdlbnQtd2luMTAtZGV2...""}"
c2_beacon_000008,192.168.1.45,185.220.101.44,49152,8443,TLS,0.052,64,128,2,2,PSH-ACK,29538.46,76.92,4.8711,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-26T15:15:48.999864+00:00,"{""c2_profile"": ""CobaltStrike_HTTPS_Default"", ""agent_id"": ""agent-win10-dev01"", ""beacon_seq"": 8, ""base_interval_sec"": 10.0, ""configured_jitter_pct"": 0.25, ""actual_interval_sec"": 11.3015, ""http_cookie"": ""SESSIONID=YWdlbnQtd2luMTAtZGV2...""}"
c2_beacon_000009,192.168.1.45,185.220.101.44,49153,8443,TLS,0.0455,64,256,2,2,PSH-ACK,56263.74,87.91,4.7643,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-26T15:16:00.301364+00:00,"{""c2_profile"": ""CobaltStrike_HTTPS_Default"", ""agent_id"": ""agent-win10-dev01"", ""beacon_seq"": 9, ""base_interval_sec"": 10.0, ""configured_jitter_pct"": 0.25, ""actual_interval_sec"": 9.5057, ""http_cookie"": ""SESSIONID=YWdlbnQtd2luMTAtZGV2...""}"
c2_beacon_000010,192.168.1.45,185.220.101.44,49154,8443,TLS,0.0455,64,128,2,2,PSH-ACK,33758.24,87.91,4.7844,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-26T15:16:09.807064+00:00,"{""c2_profile"": ""CobaltStrike_HTTPS_Default"", ""agent_id"": ""agent-win10-dev01"", ""beacon_seq"": 10, ""base_interval_sec"": 10.0, ""configured_jitter_pct"": 0.25, ""actual_interval_sec"": 10.7927, ""http_cookie"": ""SESSIONID=YWdlbnQtd2luMTAtZGV2...""}"
c2_beacon_000011,192.168.1.45,185.220.101.44,49155,8443,TLS,0.087,64,144,2,2,PSH-ACK,19126.44,45.98,4.8002,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-26T15:16:20.599764+00:00,"{""c2_profile"": ""CobaltStrike_HTTPS_Default"", ""agent_id"": ""agent-win10-dev01"", ""beacon_seq"": 11, ""base_interval_sec"": 10.0, ""configured_jitter_pct"": 0.25, ""actual_interval_sec"": 11.2756, ""http_cookie"": ""SESSIONID=YWdlbnQtd2luMTAtZGV2...""}"
c2_beacon_000012,192.168.1.45,185.220.101.44,49156,8443,TLS,0.1084,885,3715,4,9,PSH-ACK,339483.39,119.93,4.7582,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-26T15:16:31.875364+00:00,"{""c2_profile"": ""CobaltStrike_HTTPS_Default"", ""agent_id"": ""agent-win10-dev01"", ""beacon_seq"": 12, ""base_interval_sec"": 10.0, ""configured_jitter_pct"": 0.25, ""actual_interval_sec"": 11.5512, ""http_cookie"": ""SESSIONID=YWdlbnQtd2luMTAtZGV2...""}"
c2_beacon_000013,192.168.1.45,185.220.101.44,49157,8443,TLS,0.1,64,128,2,2,PSH-ACK,15360.0,40.0,4.8802,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-26T15:16:43.426564+00:00,"{""c2_profile"": ""CobaltStrike_HTTPS_Default"", ""agent_id"": ""agent-win10-dev01"", ""beacon_seq"": 13, ""base_interval_sec"": 10.0, ""configured_jitter_pct"": 0.25, ""actual_interval_sec"": 12.0888, ""http_cookie"": ""SESSIONID=YWdlbnQtd2luMTAtZGV2...""}"
c2_beacon_000014,192.168.1.45,185.220.101.44,49158,8443,TLS,0.0454,64,192,2,2,PSH-ACK,45110.13,88.11,4.8379,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-26T15:16:55.515364+00:00,"{""c2_profile"": ""CobaltStrike_HTTPS_Default"", ""agent_id"": ""agent-win10-dev01"", ""beacon_seq"": 14, ""base_interval_sec"": 10.0, ""configured_jitter_pct"": 0.25, ""actual_interval_sec"": 8.8975, ""http_cookie"": ""SESSIONID=YWdlbnQtd2luMTAtZGV2...""}"
