flow_id,src_ip,dst_ip,src_port,dst_port,protocol,duration,bytes_in,bytes_out,pkts_in,pkts_out,tcp_flags,flow_rate_bps,packet_rate_pps,entropy,ja3_hash,is_attack,attack_type,timestamp,metadata
flow_exfil_00001,192.168.1.100,185.220.101.88,60787,443,TCP,6.544,994,3308610,16,2330,PSH-ACK,4045970.66,358.5,4.8901,,True,DATA_EXFILTRATION,2026-08-26T15:54:44.502758+00:00,"{""vector"": ""HIGH_VOLUME_EGRESS"", ""outbound_ratio"": 3328.6, ""total_megabytes"": 3.16}"
flow_exfil_00002,192.168.1.100,185.220.101.88,41314,443,TCP,5.489,1107,5320267,18,3746,PSH-ACK,7755691.75,685.74,4.6632,,True,DATA_EXFILTRATION,2026-08-26T15:54:46.502758+00:00,"{""vector"": ""HIGH_VOLUME_EGRESS"", ""outbound_ratio"": 4806.0, ""total_megabytes"": 5.07}"
flow_exfil_00003,192.168.1.100,185.220.101.88,41175,443,TCP,1.747,2407,5602509,40,3945,PSH-ACK,25666472.81,2281.05,4.9208,,True,DATA_EXFILTRATION,2026-08-26T15:54:48.502758+00:00,"{""vector"": ""HIGH_VOLUME_EGRESS"", ""outbound_ratio"": 2327.6, ""total_megabytes"": 5.34}"
flow_exfil_00004,192.168.1.100,185.220.101.88,59182,21,TCP,6.686,2075,1985485,34,1398,PSH-ACK,2378175.29,214.18,4.9233,,True,DATA_EXFILTRATION,2026-08-26T15:54:51.502758+00:00,"{""vector"": ""HIGH_VOLUME_EGRESS"", ""outbound_ratio"": 956.9, ""total_megabytes"": 1.89}"
flow_exfil_00005,192.168.1.100,185.220.101.88,42914,443,TCP,5.779,2218,7919344,36,5577,PSH-ACK,10965996.89,971.28,4.7161,,True,DATA_EXFILTRATION,2026-08-26T15:54:58.502758+00:00,"{""vector"": ""HIGH_VOLUME_EGRESS"", ""outbound_ratio"": 3570.5, ""total_megabytes"": 7.55}"
flow_exfil_00006,192.168.1.100,185.220.101.88,55052,8080,TCP,3.184,1354,4246433,22,2990,PSH-ACK,10672831.66,945.98,4.9226,,True,DATA_EXFILTRATION,2026-08-26T15:55:04.502758+00:00,"{""vector"": ""HIGH_VOLUME_EGRESS"", ""outbound_ratio"": 3136.2, ""total_megabytes"": 4.05}"
flow_exfil_00007,192.168.1.100,185.220.101.88,51158,8080,TCP,7.403,1482,1336909,24,941,PSH-ACK,1446322.84,130.35,4.7099,,True,DATA_EXFILTRATION,2026-08-26T15:55:07.502758+00:00,"{""vector"": ""HIGH_VOLUME_EGRESS"", ""outbound_ratio"": 902.1, ""total_megabytes"": 1.27}"
flow_exfil_00008,192.168.1.100,185.220.101.88,56112,9001,TCP,5.73,891,10333402,14,7277,PSH-ACK,14428332.29,1272.43,4.8475,,True,DATA_EXFILTRATION,2026-08-26T15:55:12.502758+00:00,"{""vector"": ""HIGH_VOLUME_EGRESS"", ""outbound_ratio"": 11597.5, ""total_megabytes"": 9.85}"
flow_exfil_00009,192.168.1.100,185.220.101.88,50304,21,TCP,4.355,2433,9137591,40,6434,PSH-ACK,16789940.76,1486.57,4.7204,,True,DATA_EXFILTRATION,2026-08-26T15:55:19.502758+00:00,"{""vector"": ""HIGH_VOLUME_EGRESS"", ""outbound_ratio"": 3755.7, ""total_megabytes"": 8.71}"
flow_exfil_00010,192.168.1.100,185.220.101.88,58573,443,TCP,9.201,3069,3954738,51,2785,PSH-ACK,3441197.26,308.23,4.7346,,True,DATA_EXFILTRATION,2026-08-26T15:55:25.502758+00:00,"{""vector"": ""HIGH_VOLUME_EGRESS"", ""outbound_ratio"": 1288.6, ""total_megabytes"": 3.77}"
