flow_id,src_ip,dst_ip,bytes_in,bytes_out,ratio_out_in,is_attack
f00601,192.168.1.204,45.77.12.9,3056,9263935,3031.39,True
f01078,192.168.1.19,185.220.101.88,2459,6635292,2698.37,True
f00982,192.168.1.19,45.77.12.9,11513,14812986,1286.63,True
f00861,192.168.1.89,45.77.12.10,3832,5405666,1410.66,True
f00431,192.168.1.181,142.250.80.14,36665827,31327,0.0009,False
f00826,192.168.1.89,45.77.12.12,12163,106748125,8776.46,True
f00365,192.168.1.96,142.250.80.14,731842,9562,0.0131,False
f01148,192.168.1.89,45.77.12.9,21059,98954814,4698.93,True
f00672,192.168.1.19,91.108.4.182,11059,69486683,6283.27,True
f01003,192.168.1.33,91.108.4.182,10153,43186499,4253.57,True
f00313,192.168.1.119,142.250.80.14,37161385,42667,0.0011,False
f00760,192.168.1.89,45.77.12.10,14092,21007270,1490.72,True
f00035,192.168.1.131,13.107.21.200,1173340,10769,0.0092,False
f00981,192.168.1.45,45.77.12.9,13224,43631688,3299.43,True
f01096,192.168.1.120,45.77.12.11,3835,7309279,1905.94,True
f00551,192.168.1.47,198.51.100.2,896856,14131,0.0158,False
f00576,192.168.1.62,151.101.1.69,41059683,46320,0.0011,False
f00260,192.168.1.132,198.51.100.2,43700920,33227,0.0008,False
f00423,192.168.1.50,104.16.85.20,23560489,28451,0.0012,False
f00648,192.168.1.19,45.77.12.12,23805,117452255,4933.93,True
f00010,192.168.1.220,104.16.85.20,884026,5764,0.0065,False
f00183,192.168.1.58,104.16.85.20,91520273,56222,0.0006,False
f00525,192.168.1.193,172.217.0.14,24553624,27460,0.0011,False
f00073,192.168.1.153,198.51.100.2,48580049,32260,0.0007,False
f00176,192.168.1.184,142.250.80.14,125880579,51513,0.0004,False
f00194,192.168.1.129,13.107.21.200,52918570,47853,0.0009,False
f01182,192.168.1.120,45.77.12.10,3573,9328564,2610.85,True
f00300,192.168.1.76,172.217.0.14,42359456,40934,0.001,False
f00805,192.168.1.120,45.77.12.12,3817,5326234,1395.4,True
f00279,192.168.1.118,172.217.0.14,438697,15760,0.0359,False
f00173,192.168.1.153,13.107.21.200,99171359,44035,0.0004,False
f00700,192.168.1.120,91.108.4.182,19117,63646150,3329.3,True
f00789,192.168.1.89,45.77.12.11,13577,27678089,2038.6,True
f00058,192.168.1.198,203.0.113.9,91351034,46619,0.0005,False
f00777,192.168.1.120,185.220.101.88,3431,11642262,3393.26,True
f01015,192.168.1.204,45.77.12.11,8861,115996300,13090.66,True
f00149,192.168.1.157,198.51.100.2,141778687,88177,0.0006,False
f00859,192.168.1.45,45.77.12.10,24337,43102673,1771.08,True
f00971,192.168.1.120,45.77.12.9,5754,20980306,3646.21,True
f00845,192.168.1.19,45.77.12.9,3254,6020099,1850.06,True
f01129,192.168.1.89,45.77.12.11,13590,43841244,3225.99,True
f00717,192.168.1.89,45.77.12.10,1832,10513772,5738.96,True
f00854,192.168.1.45,45.77.12.12,23884,81055053,3393.7,True
f00143,192.168.1.20,142.250.80.14,931400,9952,0.0107,False
f00192,192.168.1.30,142.250.80.14,44934370,15914,0.0004,False
f00654,192.168.1.19,194.26.29.112,12002,43652098,3637.07,True
f00960,192.168.1.120,45.77.12.9,2499,11895322,4760.03,True
f00788,192.168.1.33,91.108.4.182,11015,92287572,8378.35,True
f00099,192.168.1.195,13.107.21.200,80266161,36647,0.0005,False
f00367,192.168.1.22,172.217.0.14,1372609,17204,0.0125,False
f00175,192.168.1.135,13.107.21.200,85165053,39780,0.0005,False
f00796,192.168.1.19,45.77.12.12,3804,8609178,2263.19,True
f00213,192.168.1.116,172.217.0.14,104945166,47177,0.0004,False
f00076,192.168.1.28,142.250.80.14,1030410,17242,0.0167,False
f00860,192.168.1.89,45.77.12.9,2836,11595209,4088.58,True
f00564,192.168.1.217,203.0.113.9,1344025,5885,0.0044,False
f00050,192.168.1.179,172.217.0.14,1493489,8487,0.0057,False
f00531,192.168.1.212,151.101.1.69,33002408,45177,0.0014,False
f00336,192.168.1.51,203.0.113.9,842687,14445,0.0171,False
f00517,192.168.1.108,142.250.80.14,75347418,46696,0.0006,False
f00460,192.168.1.150,13.107.21.200,28072453,48993,0.0017,False
f00190,192.168.1.10,203.0.113.9,602266,10811,0.018,False
f00587,192.168.1.51,172.217.0.14,16615311,53150,0.0032,False
f00591,192.168.1.91,142.250.80.14,16557107,27674,0.0017,False
f00429,192.168.1.176,172.217.0.14,28909971,19089,0.0007,False
f00868,192.168.1.45,91.108.4.182,6742,44506536,6601.38,True
f01171,192.168.1.204,45.77.12.12,9510,22189780,2333.31,True
f00919,192.168.1.45,45.77.12.12,1337,10758457,8046.71,True
f00930,192.168.1.204,185.220.101.88,19406,54270724,2796.6,True
f01090,192.168.1.33,91.108.4.182,3354,12598378,3756.22,True
f00678,192.168.1.120,185.220.101.88,15859,100074102,6310.24,True
f00059,192.168.1.179,198.51.100.2,596077,13311,0.0223,False
f00813,192.168.1.204,45.77.12.9,8473,98442149,11618.33,True
f00348,192.168.1.96,198.51.100.2,51696951,58536,0.0011,False
f01175,192.168.1.120,45.77.12.10,1892,4507992,2382.66,True
f01168,192.168.1.33,45.77.12.9,13347,38534193,2887.11,True
f00235,192.168.1.187,198.51.100.2,34642858,26840,0.0008,False
f00806,192.168.1.45,91.108.4.182,21529,59480299,2762.8,True
f00667,192.168.1.45,45.77.12.12,22688,89581935,3948.43,True
f01005,192.168.1.33,194.26.29.112,1427,11797384,8267.26,True
f00228,192.168.1.59,198.51.100.2,1219799,15421,0.0126,False
f00819,192.168.1.33,185.220.101.88,11155,44528422,3991.79,True
f00673,192.168.1.45,91.108.4.182,24443,113348217,4637.25,True
f01192,192.168.1.89,45.77.12.12,22741,81066172,3564.76,True
f00119,192.168.1.122,104.16.85.20,63693789,79952,0.0013,False
f00246,192.168.1.178,198.51.100.2,41773819,29262,0.0007,False
f00354,192.168.1.59,203.0.113.9,1134023,7070,0.0062,False
f00491,192.168.1.46,198.51.100.2,115009372,35596,0.0003,False
f00736,192.168.1.120,45.77.12.12,6046,42914908,7098.07,True
f00339,192.168.1.148,142.250.80.14,23206974,42696,0.0018,False
f00201,192.168.1.108,142.250.80.14,133231748,30837,0.0002,False
f00976,192.168.1.120,45.77.12.11,1269,4707816,3709.86,True
f00842,192.168.1.45,45.77.12.12,16686,47021729,2818.03,True
f00639,192.168.1.33,91.108.4.182,2441,4354819,1784.03,True
f00720,192.168.1.19,185.220.101.88,5868,24734176,4215.09,True
f00952,192.168.1.89,185.220.101.88,19717,38258618,1940.39,True
f00810,192.168.1.89,45.77.12.10,9206,21531120,2338.81,True
f00620,192.168.1.33,45.77.12.10,2682,5610295,2091.83,True
f00914,192.168.1.45,45.77.12.12,16256,108957911,6702.63,True
f00495,192.168.1.199,172.217.0.14,791466,15309,0.0193,False
f01172,192.168.1.120,194.26.29.112,8613,97085475,11271.97,True
f00411,192.168.1.121,142.250.80.14,104976357,69725,0.0007,False
f01124,192.168.1.120,91.108.4.182,12080,98403482,8145.98,True
f00630,192.168.1.45,45.77.12.10,2693,3962983,1471.59,True
f00465,192.168.1.204,151.101.1.69,53960252,43132,0.0008,False
f00597,192.168.1.187,13.107.21.200,126513742,38076,0.0003,False
f00857,192.168.1.120,45.77.12.9,9055,112665992,12442.41,True
f00391,192.168.1.195,198.51.100.2,705923,11999,0.017,False
f00661,192.168.1.204,45.77.12.9,1994,12136037,6086.28,True
f00435,192.168.1.213,198.51.100.2,49247680,83512,0.0017,False
f00181,192.168.1.89,142.250.80.14,498053,11050,0.0222,False
f00562,192.168.1.25,203.0.113.9,40162895,37072,0.0009,False
f01013,192.168.1.33,185.220.101.88,3805,10066720,2645.66,True
f01086,192.168.1.19,45.77.12.11,12917,82964992,6422.93,True
f00490,192.168.1.218,13.107.21.200,882251,14820,0.0168,False
f00965,192.168.1.33,45.77.12.10,10572,77037151,7286.9,True
f00366,192.168.1.134,198.51.100.2,71042082,40656,0.0006,False
f00292,192.168.1.42,172.217.0.14,26791625,45122,0.0017,False
f00353,192.168.1.111,198.51.100.2,91118167,26426,0.0003,False
