flow_id,src_ip,dst_ip,src_port,dst_port,protocol,duration,bytes_in,bytes_out,pkts_in,pkts_out,tcp_flags,flow_rate_bps,packet_rate_pps,entropy,ja3_hash,is_attack,attack_type,timestamp,metadata
nmap_vscan_0001,185.220.101.15,10.0.10.5,51001,1,TCP,0.0038,40,44,1,1,SYN-RST,185263.16,526.32,1.45,,True,PORT_SCAN_VERTICAL,2026-08-26T15:24:37.494600+00:00,"{""tool"": ""nmap -sS (Vertical Port Scan)"", ""scanned_port"": 1, ""service_detected"": ""Closed""}"
nmap_vscan_0002,185.220.101.15,10.0.10.5,51002,2,TCP,0.0055,40,44,1,1,SYN-RST,128000.0,363.64,1.45,,True,PORT_SCAN_VERTICAL,2026-08-26T15:24:37.512600+00:00,"{""tool"": ""nmap -sS (Vertical Port Scan)"", ""scanned_port"": 2, ""service_detected"": ""Closed""}"
nmap_vscan_0003,185.220.101.15,10.0.10.5,51003,3,TCP,0.005,40,44,1,1,SYN-RST,140800.0,400.0,1.45,,True,PORT_SCAN_VERTICAL,2026-08-26T15:24:37.522600+00:00,"{""tool"": ""nmap -sS (Vertical Port Scan)"", ""scanned_port"": 3, ""service_detected"": ""Closed""}"
nmap_vscan_0004,185.220.101.15,10.0.10.5,51004,4,TCP,0.0075,40,44,1,1,SYN-RST,93866.67,266.67,1.45,,True,PORT_SCAN_VERTICAL,2026-08-26T15:24:37.536600+00:00,"{""tool"": ""nmap -sS (Vertical Port Scan)"", ""scanned_port"": 4, ""service_detected"": ""Closed""}"
nmap_vscan_0005,185.220.101.15,10.0.10.5,51005,5,TCP,0.0039,40,44,1,1,SYN-RST,180512.82,512.82,1.45,,True,PORT_SCAN_VERTICAL,2026-08-26T15:24:37.549600+00:00,"{""tool"": ""nmap -sS (Vertical Port Scan)"", ""scanned_port"": 5, ""service_detected"": ""Closed""}"
nmap_vscan_0006,185.220.101.15,10.0.10.5,51006,6,TCP,0.0025,40,44,1,1,SYN-RST,281600.0,800.0,1.45,,True,PORT_SCAN_VERTICAL,2026-08-26T15:24:37.558600+00:00,"{""tool"": ""nmap -sS (Vertical Port Scan)"", ""scanned_port"": 6, ""service_detected"": ""Closed""}"
nmap_vscan_0007,185.220.101.15,10.0.10.5,51007,7,TCP,0.0057,40,44,1,1,SYN-RST,123508.77,350.88,1.45,,True,PORT_SCAN_VERTICAL,2026-08-26T15:24:37.564600+00:00,"{""tool"": ""nmap -sS (Vertical Port Scan)"", ""scanned_port"": 7, ""service_detected"": ""Closed""}"
nmap_vscan_0008,185.220.101.15,10.0.10.5,51008,8,TCP,0.0071,40,44,1,1,SYN-RST,99154.93,281.69,1.45,,True,PORT_SCAN_VERTICAL,2026-08-26T15:24:37.576600+00:00,"{""tool"": ""nmap -sS (Vertical Port Scan)"", ""scanned_port"": 8, ""service_detected"": ""Closed""}"
nmap_vscan_0009,185.220.101.15,10.0.10.5,51009,9,TCP,0.0026,40,44,1,1,SYN-RST,270769.23,769.23,1.45,,True,PORT_SCAN_VERTICAL,2026-08-26T15:24:37.590600+00:00,"{""tool"": ""nmap -sS (Vertical Port Scan)"", ""scanned_port"": 9, ""service_detected"": ""Closed""}"
nmap_vscan_0010,185.220.101.15,10.0.10.5,51010,10,TCP,0.0055,40,44,1,1,SYN-RST,128000.0,363.64,1.45,,True,PORT_SCAN_VERTICAL,2026-08-26T15:24:37.602600+00:00,"{""tool"": ""nmap -sS (Vertical Port Scan)"", ""scanned_port"": 10, ""service_detected"": ""Closed""}"
