flow_id,src_ip,dst_ip,src_port,dst_port,protocol,pkts_in,bytes_in,duration,entropy,is_attack,attack_type
f02178,185.220.101.151,10.0.0.5,80,60159,TCP,47,832,232.53,0.18,True,slowloris
f02194,185.220.101.65,10.0.0.5,80,60109,TCP,32,732,345.57,0.25,True,slowloris
f02393,185.220.101.100,10.0.0.5,80,53822,TCP,61,248,317.73,0.18,True,slowloris
f02365,185.220.101.60,10.0.20.100,80,61611,TCP,72,731,141.6,0.18,True,slowloris
f02307,185.220.101.58,10.0.0.5,80,52214,TCP,58,754,349.68,0.27,True,slowloris
f02310,185.220.101.77,10.0.20.100,80,57295,TCP,27,492,68.07,0.18,True,slowloris
f02173,185.220.101.93,10.0.10.20,80,34280,TCP,65,709,338.24,0.17,True,slowloris
f02273,185.220.101.139,10.0.10.20,80,59413,TCP,55,445,100.47,0.19,True,slowloris
f02352,185.220.101.114,10.0.20.100,80,31866,TCP,48,452,282.19,0.16,True,slowloris
f02233,185.220.101.158,10.0.20.100,80,62349,TCP,21,455,248.83,0.25,True,slowloris
f02231,185.220.101.125,10.0.0.5,80,63230,TCP,60,774,154.27,0.28,True,slowloris
f02290,185.220.101.128,10.0.10.20,80,49232,TCP,45,658,216.2,0.23,True,slowloris
f02284,185.220.101.88,10.0.10.20,80,41268,TCP,68,623,246.63,0.16,True,slowloris
f02230,185.220.101.163,10.0.20.100,80,32436,TCP,69,691,94.09,0.29,True,slowloris
f02343,185.220.101.133,10.0.10.20,80,42323,TCP,48,785,306.25,0.18,True,slowloris
f02276,185.220.101.103,10.0.0.5,80,53428,TCP,27,602,294.1,0.2,True,slowloris
f02226,185.220.101.72,10.0.0.5,80,60959,TCP,54,780,178.51,0.18,True,slowloris
f02306,185.220.101.64,10.0.0.5,80,48122,TCP,23,659,102.05,0.28,True,slowloris
f02243,185.220.101.79,10.0.10.20,80,61044,TCP,25,815,120.1,0.23,True,slowloris
f02228,185.220.101.53,10.0.10.20,80,64899,TCP,45,479,119.31,0.23,True,slowloris
f02265,185.220.101.178,10.0.20.100,80,52013,TCP,50,551,63.35,0.21,True,slowloris
f02189,185.220.101.178,10.0.10.20,80,45225,TCP,54,355,218.83,0.25,True,slowloris
f02246,185.220.101.154,10.0.0.5,80,62071,TCP,51,497,332.06,0.18,True,slowloris
f02247,185.220.101.165,10.0.10.20,80,47217,TCP,21,620,115.2,0.25,True,slowloris
f02197,185.220.101.146,10.0.20.100,80,34497,TCP,25,748,260.96,0.19,True,slowloris
f02400,185.220.101.135,10.0.0.5,80,37506,TCP,33,817,118.98,0.31,True,slowloris
f02347,185.220.101.108,10.0.10.20,80,55934,TCP,47,780,183.37,0.28,True,slowloris
f02301,185.220.101.82,10.0.20.100,80,40858,TCP,74,825,129.27,0.27,True,slowloris
f02287,185.220.101.92,10.0.20.100,80,50341,TCP,63,875,345.95,0.3,True,slowloris
f02344,185.220.101.57,10.0.10.20,80,45813,TCP,69,308,349.53,0.28,True,slowloris
f02186,185.220.101.40,10.0.0.5,80,49278,TCP,75,641,143.03,0.24,True,slowloris
f02266,185.220.101.51,10.0.10.20,80,33296,TCP,72,867,236.19,0.28,True,slowloris
f02217,185.220.101.45,10.0.0.5,80,53661,TCP,58,331,107.64,0.18,True,slowloris
f02376,185.220.101.179,10.0.0.5,80,46746,TCP,18,294,299.79,0.19,True,slowloris
f02268,185.220.101.117,10.0.10.20,80,30072,TCP,71,777,242.69,0.3,True,slowloris
f02275,185.220.101.154,10.0.20.100,80,36812,TCP,24,942,217.63,0.28,True,slowloris
