flow_id,src_ip,dst_ip,src_port,dst_port,protocol,pkts_in,bytes_in,duration,entropy,is_attack,attack_type
f01452,185.174.57.89,10.0.0.5,80,44869,TCP,81258,3943196,1.26,0.07,True,syn_flood
f01740,185.69.101.168,10.0.10.20,443,21043,TCP,78647,3759782,1.58,0.05,True,syn_flood
f01506,185.213.165.250,10.0.0.5,8080,35247,TCP,82232,3902679,1.82,0.11,True,syn_flood
f01460,195.150.243.35,10.0.0.5,443,1100,TCP,56914,2457671,1.65,0.1,True,syn_flood
f01424,91.197.94.176,10.0.10.20,8080,14193,TCP,108707,5008501,1.32,0.12,True,syn_flood
f01235,45.230.133.225,10.0.0.5,443,29682,TCP,60379,3795354,1.23,0.08,True,syn_flood
f01481,194.156.246.87,10.0.0.5,443,19562,TCP,72250,4616555,2.5,0.12,True,syn_flood
f01501,141.128.137.161,10.0.20.100,443,10637,TCP,58679,2376606,1.97,0.07,True,syn_flood
f01564,185.220.18.104,10.0.0.5,443,51593,TCP,70520,3617391,2.43,0.08,True,syn_flood
f01316,141.164.163.114,10.0.10.20,80,10821,TCP,41150,2352939,1.37,0.11,True,syn_flood
f01777,91.85.179.130,10.0.0.5,443,56738,TCP,76784,3476928,0.55,0.05,True,syn_flood
f01278,185.123.131.96,10.0.20.100,443,31333,TCP,94511,4769119,2.14,0.13,True,syn_flood
f01472,185.170.196.254,10.0.20.100,8080,33603,TCP,108909,6122635,0.45,0.11,True,syn_flood
f01343,45.161.32.7,10.0.0.5,443,28718,TCP,102255,5886436,2.35,0.12,True,syn_flood
f01677,45.78.202.86,10.0.20.100,8080,38528,TCP,109224,4569818,1.32,0.09,True,syn_flood
f01710,194.86.214.69,10.0.20.100,8080,50490,TCP,73848,3338391,1.57,0.1,True,syn_flood
f01390,45.165.158.219,10.0.0.5,8080,14138,TCP,59766,2554811,2.18,0.07,True,syn_flood
f01695,195.230.234.156,10.0.0.5,8080,20231,TCP,75357,3899750,2.03,0.05,True,syn_flood
f01328,45.190.207.129,10.0.20.100,80,5208,TCP,36349,2158690,1.44,0.09,True,syn_flood
f01445,185.27.237.26,10.0.10.20,80,40007,TCP,86332,5035214,2.32,0.05,True,syn_flood
f01265,195.229.51.86,10.0.10.20,8080,22052,TCP,102422,5199704,1.38,0.06,True,syn_flood
f01426,195.149.254.149,10.0.10.20,8080,26127,TCP,46861,2392852,1.56,0.04,True,syn_flood
f01458,141.120.123.169,10.0.10.20,443,32438,TCP,91759,4591280,1.73,0.12,True,syn_flood
f01755,141.37.204.38,10.0.10.20,8080,36957,TCP,102016,6442277,0.86,0.09,True,syn_flood
f01301,141.195.90.15,10.0.20.100,443,31412,TCP,53817,3353308,2.34,0.06,True,syn_flood
f01791,45.91.35.246,10.0.20.100,80,29986,TCP,87199,4799883,0.65,0.05,True,syn_flood
f01761,45.75.223.169,10.0.0.5,443,40887,TCP,89380,4507760,1.84,0.14,True,syn_flood
f01356,91.110.110.138,10.0.20.100,443,20061,TCP,81303,5044774,1.21,0.05,True,syn_flood
f01299,195.167.61.123,10.0.20.100,443,16283,TCP,92376,5486991,1.7,0.12,True,syn_flood
f01768,141.161.127.3,10.0.10.20,443,52377,TCP,59537,2529780,2.45,0.07,True,syn_flood
f01499,185.142.43.242,10.0.0.5,80,8477,TCP,58486,3730996,2.48,0.1,True,syn_flood
f01277,91.91.238.177,10.0.20.100,8080,29433,TCP,91101,3844985,1.07,0.05,True,syn_flood
f01586,185.68.126.3,10.0.0.5,8080,57359,TCP,66096,3976679,1.87,0.11,True,syn_flood
f01607,185.55.33.253,10.0.0.5,443,16476,TCP,28703,1621011,2.41,0.04,True,syn_flood
f01771,185.62.220.233,10.0.20.100,8080,16027,TCP,47171,2407065,1.98,0.08,True,syn_flood
f01573,141.142.14.9,10.0.20.100,8080,17671,TCP,93599,3856709,0.61,0.11,True,syn_flood
f01422,141.104.209.139,10.0.20.100,443,14952,TCP,81529,5145053,1.4,0.12,True,syn_flood
f01319,141.72.220.138,10.0.20.100,80,59817,TCP,108150,5546892,2.26,0.08,True,syn_flood
f01417,141.110.146.147,10.0.20.100,8080,15266,TCP,76899,3098938,1.83,0.08,True,syn_flood
f01283,194.118.230.244,10.0.10.20,8080,21177,TCP,99447,5164032,1.7,0.04,True,syn_flood
f01441,91.24.35.172,10.0.10.20,80,16703,TCP,37804,1937845,1.73,0.06,True,syn_flood
f01401,185.105.223.74,10.0.0.5,80,41869,TCP,96202,6089011,1.54,0.05,True,syn_flood
f01478,141.141.21.17,10.0.0.5,80,50779,TCP,94288,5362416,0.61,0.06,True,syn_flood
f01549,185.15.42.30,10.0.10.20,443,36457,TCP,48497,2518205,1.25,0.12,True,syn_flood
f01270,185.86.210.163,10.0.0.5,443,5126,TCP,59935,3545590,1.89,0.06,True,syn_flood
f01253,194.131.131.203,10.0.20.100,443,47957,TCP,85093,4838028,0.51,0.13,True,syn_flood
f01444,185.96.244.98,10.0.20.100,443,18824,TCP,70379,3204356,0.8,0.04,True,syn_flood
f01448,91.173.88.51,10.0.20.100,443,29342,TCP,68787,3892937,0.56,0.05,True,syn_flood
f01732,195.230.48.208,10.0.20.100,8080,46236,TCP,92256,3854990,0.99,0.13,True,syn_flood
f01625,141.22.167.5,10.0.20.100,443,25307,TCP,69947,4426485,1.06,0.08,True,syn_flood
f01672,91.41.29.181,10.0.10.20,80,20235,TCP,99559,6303856,0.93,0.11,True,syn_flood
f01562,195.148.130.204,10.0.20.100,8080,26059,TCP,102517,6435499,2.43,0.13,True,syn_flood
f01406,194.103.28.46,10.0.0.5,443,40103,TCP,51528,3161949,1.87,0.06,True,syn_flood
f01773,91.35.49.86,10.0.20.100,443,62480,TCP,94182,3919483,2.27,0.05,True,syn_flood
f01496,141.152.71.223,10.0.10.20,8080,51583,TCP,101528,5481719,1.32,0.13,True,syn_flood
f01661,91.64.178.171,10.0.20.100,8080,2051,TCP,69910,3803881,2.3,0.09,True,syn_flood
f01314,195.67.89.185,10.0.20.100,443,25580,TCP,63033,3453718,0.98,0.12,True,syn_flood
f01242,45.97.17.54,10.0.10.20,8080,25878,TCP,33241,2047538,1.07,0.06,True,syn_flood
f01248,91.228.175.125,10.0.10.20,443,21431,TCP,58973,3621367,0.81,0.14,True,syn_flood
f01380,45.220.153.155,10.0.0.5,443,61844,TCP,89394,5106582,2.45,0.11,True,syn_flood
f01701,194.188.213.163,10.0.0.5,443,48127,TCP,99225,6012842,1.88,0.11,True,syn_flood
f01329,141.213.154.59,10.0.20.100,80,5562,TCP,87425,5233139,2.46,0.11,True,syn_flood
f01233,91.240.75.146,10.0.0.5,80,16706,TCP,92125,4129224,0.75,0.12,True,syn_flood
f01650,45.196.211.230,10.0.0.5,8080,38426,TCP,99768,5400485,0.86,0.04,True,syn_flood
f01431,45.101.202.16,10.0.20.100,443,1958,TCP,44269,2618789,0.96,0.05,True,syn_flood
f01249,141.74.52.150,10.0.10.20,80,50133,TCP,40446,1650331,1.92,0.14,True,syn_flood
f01610,194.239.145.158,10.0.20.100,80,51419,TCP,89625,5442023,0.7,0.12,True,syn_flood
f01222,194.192.38.110,10.0.0.5,80,28605,TCP,78666,4233324,1.78,0.04,True,syn_flood
f01218,91.220.216.192,10.0.10.20,80,33885,TCP,89456,5554030,0.57,0.13,True,syn_flood
f01485,195.119.60.34,10.0.0.5,8080,7824,TCP,71312,4532730,0.55,0.13,True,syn_flood
f01363,194.88.117.251,10.0.20.100,80,30227,TCP,28631,1257831,1.41,0.09,True,syn_flood
f01293,185.75.81.135,10.0.20.100,8080,45390,TCP,93839,3887310,2.42,0.05,True,syn_flood
f01722,141.186.208.190,10.0.20.100,443,61865,TCP,102793,6155035,2.28,0.06,True,syn_flood
f01619,185.58.246.47,10.0.0.5,443,56538,TCP,40795,1648681,1.34,0.09,True,syn_flood
f01231,194.42.176.133,10.0.20.100,80,12037,TCP,44533,2221124,0.97,0.12,True,syn_flood
f01321,45.137.88.224,10.0.0.5,80,2681,TCP,84995,4451810,2.22,0.06,True,syn_flood
f01531,141.35.92.219,10.0.10.20,8080,36430,TCP,67210,4193961,2.03,0.11,True,syn_flood
f01706,185.110.132.192,10.0.0.5,80,23332,TCP,84727,3795671,2.47,0.1,True,syn_flood
f01291,185.35.74.198,10.0.20.100,80,44244,TCP,69313,3387800,1.93,0.1,True,syn_flood
f01790,195.101.235.22,10.0.20.100,8080,41669,TCP,56469,3156032,0.72,0.12,True,syn_flood
f01502,45.204.6.239,10.0.0.5,8080,30619,TCP,70945,3795765,0.79,0.1,True,syn_flood
f01483,45.213.201.105,10.0.0.5,8080,25781,TCP,96168,4495207,2.39,0.07,True,syn_flood
f01674,185.171.179.200,10.0.20.100,443,64197,TCP,34162,2161707,0.85,0.08,True,syn_flood
f01389,194.235.3.180,10.0.10.20,80,17956,TCP,107962,5773804,1.85,0.06,True,syn_flood
f01743,194.207.68.248,10.0.20.100,8080,21617,TCP,51746,2409752,0.9,0.06,True,syn_flood
f01393,141.58.138.166,10.0.20.100,443,61565,TCP,62046,2785089,2.17,0.1,True,syn_flood
f01523,141.154.212.56,10.0.0.5,8080,1921,TCP,28438,1181574,0.83,0.13,True,syn_flood
f01260,194.34.25.70,10.0.0.5,80,49149,TCP,57925,3701692,2.23,0.13,True,syn_flood
f01219,194.66.220.202,10.0.0.5,8080,29437,TCP,55520,2350172,0.84,0.12,True,syn_flood
f01239,194.119.180.81,10.0.10.20,8080,17601,TCP,94192,4764558,1.28,0.1,True,syn_flood
f01430,195.196.213.159,10.0.20.100,80,21796,TCP,63721,2621866,1.56,0.13,True,syn_flood
f01786,194.61.106.116,10.0.0.5,80,32842,TCP,78884,4912147,1.96,0.08,True,syn_flood
f01638,91.40.169.122,10.0.10.20,8080,26890,TCP,105560,5256201,1.57,0.09,True,syn_flood
f01250,45.65.172.235,10.0.10.20,80,41805,TCP,42676,2239402,2.47,0.05,True,syn_flood
f01443,91.32.127.36,10.0.0.5,8080,8551,TCP,73296,3899946,0.7,0.08,True,syn_flood
f01527,185.111.155.220,10.0.0.5,8080,51008,TCP,88417,5097314,1.54,0.07,True,syn_flood
f01297,141.41.246.115,10.0.0.5,8080,58076,TCP,80239,4214801,2.04,0.05,True,syn_flood
f01238,91.13.183.122,10.0.10.20,8080,28275,TCP,58706,3453151,0.35,0.06,True,syn_flood
f01702,195.137.24.194,10.0.10.20,8080,11889,TCP,31675,1703743,0.53,0.12,True,syn_flood
f01543,141.168.20.178,10.0.20.100,8080,41055,TCP,35502,2086228,1.34,0.13,True,syn_flood
f01681,91.223.242.89,10.0.10.20,443,22497,TCP,91238,5618350,0.86,0.05,True,syn_flood
f01505,195.195.103.143,10.0.20.100,443,57044,TCP,90483,3628342,1.85,0.05,True,syn_flood
f01348,141.123.68.163,10.0.0.5,443,28342,TCP,78577,3552059,0.73,0.13,True,syn_flood
f01310,195.189.134.83,10.0.0.5,80,31503,TCP,100185,4844722,1.98,0.12,True,syn_flood
f01658,141.40.99.187,10.0.20.100,8080,58191,TCP,37238,1610721,1.19,0.11,True,syn_flood
f01415,185.94.110.73,10.0.0.5,8080,39249,TCP,49186,2711135,0.31,0.06,True,syn_flood
f01361,45.178.96.193,10.0.0.5,80,6706,TCP,58631,2913580,1.87,0.09,True,syn_flood
f01359,91.56.48.98,10.0.10.20,443,34471,TCP,45403,2070004,2.06,0.05,True,syn_flood
f01349,91.204.137.9,10.0.20.100,8080,63836,TCP,69928,3474154,2.28,0.1,True,syn_flood
f01462,45.88.189.118,10.0.10.20,443,63340,TCP,107025,5008211,0.51,0.09,True,syn_flood
f01536,45.122.236.72,10.0.20.100,80,20606,TCP,103232,4408991,1.57,0.09,True,syn_flood
f01377,141.208.49.139,10.0.10.20,80,26167,TCP,64670,3490762,1.82,0.08,True,syn_flood
f01296,91.151.132.54,10.0.20.100,8080,53221,TCP,94253,4212788,0.73,0.08,True,syn_flood
f01699,185.70.59.243,10.0.20.100,443,38051,TCP,39191,1656889,0.61,0.13,True,syn_flood
f01241,141.149.241.126,10.0.10.20,443,54856,TCP,41858,2435945,2.27,0.13,True,syn_flood
f01256,141.23.239.97,10.0.20.100,8080,60523,TCP,106855,6435109,1.22,0.1,True,syn_flood
f01792,141.64.186.15,10.0.10.20,443,29136,TCP,29142,1752088,2.44,0.13,True,syn_flood
f01565,194.207.30.89,10.0.0.5,80,9716,TCP,81341,3898757,1.47,0.08,True,syn_flood
f01747,194.22.135.12,10.0.20.100,80,3216,TCP,105919,4757681,2.44,0.07,True,syn_flood
f01720,185.90.23.6,10.0.0.5,8080,60901,TCP,104158,4493051,2.16,0.1,True,syn_flood
f01375,141.27.4.159,10.0.0.5,443,8316,TCP,109145,4597964,0.89,0.1,True,syn_flood
f01667,141.144.228.4,10.0.0.5,8080,51862,TCP,85516,4817162,1.58,0.12,True,syn_flood
f01326,45.133.4.90,10.0.20.100,8080,45182,TCP,100303,4202622,1.25,0.07,True,syn_flood
f01407,194.35.68.250,10.0.0.5,80,27846,TCP,95112,4316850,0.72,0.1,True,syn_flood
f01649,195.173.44.185,10.0.0.5,443,55061,TCP,30013,1831855,0.5,0.06,True,syn_flood
f01261,185.65.87.46,10.0.20.100,443,40357,TCP,86062,5503203,1.12,0.05,True,syn_flood
f01580,194.129.135.51,10.0.0.5,443,10660,TCP,36032,1769547,2.35,0.04,True,syn_flood
f01473,91.164.41.113,10.0.20.100,443,26584,TCP,89550,5557864,0.84,0.12,True,syn_flood
f01470,185.161.161.40,10.0.0.5,443,11014,TCP,71326,4055135,2.11,0.11,True,syn_flood
f01268,141.206.85.148,10.0.0.5,443,4152,TCP,36701,1625048,2.47,0.05,True,syn_flood
f01412,195.109.211.189,10.0.20.100,8080,13362,TCP,63221,3157794,1.8,0.06,True,syn_flood
f01753,194.186.92.183,10.0.20.100,80,39949,TCP,71012,3207140,1.4,0.1,True,syn_flood
f01419,195.31.154.179,10.0.20.100,80,3390,TCP,88309,4110690,0.56,0.06,True,syn_flood
f01456,195.111.52.211,10.0.10.20,443,11977,TCP,30164,1695768,0.58,0.13,True,syn_flood
f01662,91.144.35.50,10.0.20.100,8080,17289,TCP,33142,2043495,1.0,0.11,True,syn_flood
f01593,141.138.158.134,10.0.0.5,8080,41443,TCP,38476,1676866,2.4,0.08,True,syn_flood
f01532,195.172.68.25,10.0.20.100,80,17920,TCP,108493,5543051,1.49,0.11,True,syn_flood
f01741,91.240.68.6,10.0.20.100,80,46895,TCP,99921,4284574,0.79,0.06,True,syn_flood
f01553,91.131.157.237,10.0.10.20,443,26449,TCP,89015,5464454,1.36,0.08,True,syn_flood
f01622,45.237.90.154,10.0.0.5,80,35736,TCP,85290,3572300,1.84,0.05,True,syn_flood
f01774,45.181.253.253,10.0.20.100,80,15037,TCP,45897,2744724,2.32,0.13,True,syn_flood
f01237,141.33.223.189,10.0.0.5,443,8985,TCP,71216,3279068,1.83,0.08,True,syn_flood
f01381,194.97.1.61,10.0.0.5,8080,1473,TCP,30291,1784243,1.89,0.08,True,syn_flood
f01646,45.40.2.58,10.0.10.20,80,12460,TCP,90105,3790234,2.44,0.09,True,syn_flood
f01308,91.203.101.21,10.0.0.5,80,39055,TCP,63880,3750923,0.54,0.09,True,syn_flood
f01311,185.140.166.183,10.0.20.100,443,35408,TCP,46333,2467980,1.79,0.07,True,syn_flood
f01386,195.103.67.151,10.0.0.5,80,64288,TCP,55635,2662519,0.61,0.08,True,syn_flood
f01513,194.141.241.65,10.0.20.100,8080,61491,TCP,99505,5875815,2.03,0.1,True,syn_flood
f01724,141.36.126.28,10.0.10.20,80,59759,TCP,90076,4990578,0.33,0.09,True,syn_flood
f01558,185.180.134.126,10.0.0.5,443,8093,TCP,101333,6370226,0.5,0.07,True,syn_flood
f01315,185.107.216.76,10.0.20.100,8080,26697,TCP,63811,2898061,0.93,0.12,True,syn_flood
f01566,195.143.33.161,10.0.20.100,8080,43074,TCP,36346,1709489,0.46,0.13,True,syn_flood
f01495,91.111.13.37,10.0.10.20,80,27044,TCP,72118,3626898,2.09,0.08,True,syn_flood
f01713,195.10.27.181,10.0.10.20,80,13292,TCP,87043,3539354,1.24,0.06,True,syn_flood
f01254,194.228.129.161,10.0.20.100,8080,33241,TCP,109551,5609895,1.51,0.14,True,syn_flood
f01504,185.16.114.199,10.0.10.20,443,5646,TCP,75714,3190810,0.49,0.1,True,syn_flood
f01652,91.191.108.244,10.0.10.20,443,25758,TCP,92490,5784040,0.89,0.06,True,syn_flood
f01303,141.228.106.247,10.0.10.20,8080,47685,TCP,85719,4368736,2.46,0.12,True,syn_flood
f01404,195.75.121.27,10.0.10.20,443,52110,TCP,102065,6064758,1.92,0.06,True,syn_flood
f01571,185.91.30.98,10.0.20.100,80,10171,TCP,75355,4313191,1.53,0.14,True,syn_flood
f01384,91.166.220.83,10.0.0.5,443,55494,TCP,87897,3902648,0.75,0.09,True,syn_flood
f01220,195.139.209.98,10.0.10.20,80,30725,TCP,53801,2203376,1.3,0.08,True,syn_flood
f01595,141.190.173.188,10.0.20.100,8080,54577,TCP,82075,4170458,0.43,0.09,True,syn_flood
f01534,141.30.140.191,10.0.20.100,8080,65231,TCP,72298,2962958,1.25,0.07,True,syn_flood
f01209,45.187.152.113,10.0.20.100,443,3391,TCP,69220,3137990,1.75,0.12,True,syn_flood
f01656,141.211.58.58,10.0.20.100,80,56258,TCP,52264,2965264,1.64,0.04,True,syn_flood
f01276,195.91.24.157,10.0.10.20,443,12276,TCP,38524,2116339,1.22,0.1,True,syn_flood
f01739,195.238.30.160,10.0.0.5,8080,47552,TCP,93565,5136356,1.04,0.07,True,syn_flood
f01729,91.42.179.89,10.0.20.100,8080,53567,TCP,66757,4004604,1.4,0.09,True,syn_flood
f01757,195.218.56.6,10.0.10.20,8080,51913,TCP,59233,2619287,0.48,0.09,True,syn_flood
f01378,91.119.186.20,10.0.20.100,80,36092,TCP,99964,4085606,2.22,0.06,True,syn_flood
f01337,195.89.70.161,10.0.10.20,80,24663,TCP,34199,2052227,1.16,0.04,True,syn_flood
f01601,91.99.9.215,10.0.0.5,443,42563,TCP,45726,2243880,1.8,0.11,True,syn_flood
f01760,141.230.69.80,10.0.0.5,443,26519,TCP,75527,4564165,1.5,0.08,True,syn_flood
f01211,91.83.211.147,10.0.0.5,80,7534,TCP,95893,4594341,2.19,0.07,True,syn_flood
f01634,141.220.100.3,10.0.20.100,443,26204,TCP,84921,4813703,0.96,0.09,True,syn_flood
f01767,185.226.66.165,10.0.10.20,80,1948,TCP,80913,3994592,1.19,0.08,True,syn_flood
f01655,194.141.119.190,10.0.20.100,80,40559,TCP,33832,2108795,1.68,0.1,True,syn_flood
f01514,194.187.117.23,10.0.0.5,443,21840,TCP,34684,2058858,0.97,0.04,True,syn_flood
f01411,185.190.176.101,10.0.0.5,443,24310,TCP,55270,2447724,1.48,0.06,True,syn_flood
f01223,195.63.35.99,10.0.10.20,443,18793,TCP,95226,5217505,1.12,0.13,True,syn_flood
f01605,194.66.191.170,10.0.20.100,80,23666,TCP,43335,2319150,1.19,0.1,True,syn_flood
f01479,141.40.75.230,10.0.0.5,8080,47256,TCP,28617,1500254,0.82,0.1,True,syn_flood
f01530,194.57.154.106,10.0.20.100,8080,38415,TCP,90261,5528591,1.3,0.11,True,syn_flood
f01437,141.229.46.5,10.0.20.100,80,36943,TCP,52345,2661895,2.09,0.14,True,syn_flood
f01459,45.238.202.23,10.0.20.100,80,14532,TCP,52368,2580360,1.43,0.11,True,syn_flood
f01624,141.174.173.100,10.0.0.5,80,63879,TCP,103746,4362084,0.42,0.08,True,syn_flood
f01545,195.225.90.104,10.0.20.100,80,21898,TCP,103270,5053352,0.5,0.04,True,syn_flood
f01676,91.118.115.16,10.0.0.5,8080,57763,TCP,60321,2619394,0.52,0.13,True,syn_flood
f01581,141.154.152.142,10.0.10.20,80,18560,TCP,83795,3937053,1.89,0.07,True,syn_flood
f01629,185.113.190.72,10.0.10.20,443,4034,TCP,42305,2249773,0.98,0.1,True,syn_flood
f01554,194.139.73.40,10.0.10.20,8080,65053,TCP,99472,4755206,2.13,0.07,True,syn_flood
f01500,195.236.220.24,10.0.20.100,443,49387,TCP,38305,2173191,2.14,0.06,True,syn_flood
f01396,141.181.86.112,10.0.0.5,8080,13353,TCP,95490,5758431,2.08,0.11,True,syn_flood
f01769,45.213.122.113,10.0.20.100,80,29568,TCP,101061,4201795,2.5,0.07,True,syn_flood
f01644,91.139.201.54,10.0.10.20,80,33575,TCP,52434,2651883,2.47,0.13,True,syn_flood
f01698,195.193.147.112,10.0.0.5,443,41667,TCP,92732,4979011,1.39,0.08,True,syn_flood
f01259,185.57.242.99,10.0.10.20,80,43063,TCP,107487,5773260,0.96,0.04,True,syn_flood
f01201,91.216.9.32,10.0.0.5,80,49395,TCP,75028,3285838,1.1,0.11,True,syn_flood
f01552,141.59.213.199,10.0.0.5,80,43494,TCP,56382,2461850,1.91,0.09,True,syn_flood
f01402,194.54.247.17,10.0.10.20,80,33148,TCP,53204,3326187,1.82,0.13,True,syn_flood
f01631,194.85.203.186,10.0.20.100,443,6458,TCP,36752,1511733,1.09,0.08,True,syn_flood
f01715,185.119.30.90,10.0.0.5,8080,58138,TCP,90380,3973136,1.44,0.1,True,syn_flood
f01307,91.58.100.90,10.0.0.5,8080,36187,TCP,59668,2603566,2.46,0.11,True,syn_flood
f01425,195.21.239.53,10.0.20.100,80,44353,TCP,38246,1546551,1.08,0.09,True,syn_flood
f01668,91.111.159.194,10.0.0.5,80,34582,TCP,48503,2625086,2.1,0.07,True,syn_flood
f01600,194.152.174.89,10.0.20.100,8080,32234,TCP,41047,2437326,2.06,0.04,True,syn_flood
f01745,45.98.73.224,10.0.0.5,443,38976,TCP,71298,4321309,0.44,0.09,True,syn_flood
f01247,45.234.108.210,10.0.10.20,8080,4252,TCP,78127,3812630,1.98,0.13,True,syn_flood
f01693,141.34.99.220,10.0.0.5,80,38153,TCP,103479,6128040,1.72,0.08,True,syn_flood
