flow_id,src_ip,dst_ip,bytes_in,bytes_out,ratio_out_in,is_attack
f201,10.0.0.5,104.16.85.20,3263379,11855,0.004,False
f202,10.0.0.19,45.77.12.9,14690,44411532,3023.2,True
f203,10.0.0.5,172.217.0.14,2452771,11627,0.005,False
f204,10.0.0.19,45.77.12.9,15406,35183468,2283.8,True
f205,10.0.0.5,172.217.0.14,2228494,18455,0.008,False
f206,10.0.0.19,45.77.12.11,21203,33941949,1600.8,True
f207,10.0.0.5,142.250.80.14,3311219,15021,0.005,False
f208,10.0.0.19,45.77.12.12,17741,41346653,2330.6,True
f209,10.0.0.5,198.51.100.2,968149,18503,0.019,False
f210,10.0.0.19,45.77.12.10,21796,52339493,2401.3,True
f211,10.0.0.5,172.217.0.14,4244101,18801,0.004,False
f212,10.0.0.19,45.77.12.9,21559,52627770,2441.1,True
f213,10.0.0.5,104.16.85.20,1974839,13865,0.007,False
f214,10.0.0.19,45.77.12.9,16891,44725464,2647.9,True
f215,10.0.0.5,172.217.0.14,1572585,21468,0.014,False
f216,10.0.0.19,45.77.12.12,19005,34575666,1819.3,True
f217,10.0.0.5,151.101.1.69,3891209,18103,0.005,False
f218,10.0.0.19,45.77.12.10,17715,42006332,2371.2,True
f219,10.0.0.5,172.217.0.14,3928137,17323,0.004,False
f220,10.0.0.19,45.77.12.11,20903,42375079,2027.2,True
f221,10.0.0.5,172.217.0.14,2787546,16159,0.006,False
f222,10.0.0.19,45.77.12.12,21560,40015909,1856.0,True
f223,10.0.0.5,142.250.80.14,2055843,20091,0.01,False
f224,10.0.0.19,45.77.12.12,19964,52256947,2617.6,True
f225,10.0.0.5,203.0.113.9,2048707,10926,0.005,False
f226,10.0.0.19,185.220.101.88,18665,40259325,2156.9,True
f227,10.0.0.5,203.0.113.9,2362252,16601,0.007,False
f228,10.0.0.19,185.220.101.88,21520,41876709,1945.9,True
f229,10.0.0.5,172.217.0.14,4325160,14523,0.003,False
f230,10.0.0.19,45.77.12.9,13629,40551242,2975.4,True
f231,10.0.0.5,104.16.85.20,3389230,9085,0.003,False
f232,10.0.0.19,45.77.12.11,14250,39119177,2745.2,True
f233,10.0.0.5,151.101.1.69,2810068,16477,0.006,False
f234,10.0.0.19,45.77.12.9,17085,33559688,1964.3,True
f235,10.0.0.5,151.101.1.69,1800335,15191,0.008,False
f236,10.0.0.19,185.220.101.88,20184,48714150,2413.5,True
f237,10.0.0.5,172.217.0.14,894558,20951,0.023,False
f238,10.0.0.19,185.220.101.88,12771,38046336,2979.1,True
f239,10.0.0.5,142.250.80.14,2366936,15672,0.007,False
f240,10.0.0.19,45.77.12.9,18385,35394459,1925.2,True
f241,10.0.0.5,104.16.85.20,3653303,21815,0.006,False
f242,10.0.0.19,45.77.12.10,20266,40458109,1996.4,True
f243,10.0.0.5,203.0.113.9,3703230,13845,0.004,False
f244,10.0.0.19,45.77.12.9,18840,32772093,1739.5,True
f245,10.0.0.5,151.101.1.69,2085126,9000,0.004,False
f246,10.0.0.19,45.77.12.10,12452,49454641,3971.6,True
f247,10.0.0.5,104.16.85.20,1362287,11957,0.009,False
f248,10.0.0.19,45.77.12.11,14863,31687767,2132.0,True
f249,10.0.0.5,198.51.100.2,3912641,21704,0.006,False
f250,10.0.0.19,45.77.12.10,21192,28419652,1341.1,True
f251,10.0.0.5,198.51.100.2,3136264,20009,0.006,False
f252,10.0.0.19,45.77.12.11,16349,51486073,3149.2,True
f253,10.0.0.5,151.101.1.69,4386159,11202,0.003,False
f254,10.0.0.19,45.77.12.12,18193,36169864,1988.1,True
f255,10.0.0.5,172.217.0.14,3715451,10571,0.003,False
f256,10.0.0.19,45.77.12.11,20380,43570448,2137.9,True
f257,10.0.0.5,172.217.0.14,3175106,16721,0.005,False
f258,10.0.0.19,45.77.12.9,17162,50493929,2942.2,True
f259,10.0.0.5,203.0.113.9,1251776,20025,0.016,False
f260,10.0.0.19,185.220.101.88,17387,37254262,2142.7,True
f261,10.0.0.5,172.217.0.14,3861633,18180,0.005,False
f262,10.0.0.19,185.220.101.88,15938,52499000,3294.0,True
f263,10.0.0.5,104.16.85.20,2013436,12663,0.006,False
f264,10.0.0.19,45.77.12.10,17431,44784695,2569.3,True
f265,10.0.0.5,142.250.80.14,1930160,18346,0.01,False
f266,10.0.0.19,185.220.101.88,21878,50901212,2326.6,True
f267,10.0.0.5,104.16.85.20,4237194,21326,0.005,False
f268,10.0.0.19,45.77.12.9,19098,47810190,2503.4,True
f269,10.0.0.5,172.217.0.14,1634661,14704,0.009,False
f270,10.0.0.19,185.220.101.88,17566,32803410,1867.4,True
f271,10.0.0.5,198.51.100.2,3007389,20722,0.007,False
f272,10.0.0.19,45.77.12.12,17270,30656429,1775.1,True
f273,10.0.0.5,198.51.100.2,729420,18360,0.025,False
f274,10.0.0.19,45.77.12.9,13077,46394794,3547.8,True
f275,10.0.0.5,203.0.113.9,2782637,19934,0.007,False
f276,10.0.0.19,45.77.12.11,21423,43351566,2023.6,True
f277,10.0.0.5,198.51.100.2,3913451,10036,0.003,False
f278,10.0.0.19,45.77.12.9,13303,37634510,2829.0,True
f279,10.0.0.5,104.16.85.20,2475332,12912,0.005,False
f280,10.0.0.19,45.77.12.10,18940,28854149,1523.5,True
f281,10.0.0.5,104.16.85.20,2976602,18996,0.006,False
f282,10.0.0.19,45.77.12.9,12881,38553165,2993.0,True
f283,10.0.0.5,142.250.80.14,712261,13617,0.019,False
f284,10.0.0.19,45.77.12.11,21915,53230138,2428.9,True
f285,10.0.0.5,151.101.1.69,3363849,10671,0.003,False
f286,10.0.0.19,185.220.101.88,19410,49771436,2564.2,True
f287,10.0.0.5,172.217.0.14,958353,9458,0.01,False
f288,10.0.0.19,45.77.12.11,20040,40315294,2011.7,True
f289,10.0.0.5,104.16.85.20,1572150,13288,0.008,False
f290,10.0.0.19,45.77.12.11,17859,48147118,2696.0,True
f291,10.0.0.5,142.250.80.14,1843165,11753,0.006,False
f292,10.0.0.19,45.77.12.9,12269,52027842,4240.6,True
f293,10.0.0.5,172.217.0.14,1383292,9273,0.007,False
f294,10.0.0.19,185.220.101.88,16823,31013342,1843.5,True
f295,10.0.0.5,104.16.85.20,1484196,17934,0.012,False
f296,10.0.0.19,45.77.12.12,17251,37107793,2151.1,True
f297,10.0.0.5,104.16.85.20,851164,16622,0.02,False
f298,10.0.0.19,185.220.101.88,19257,33840764,1757.3,True
f299,10.0.0.5,172.217.0.14,2079716,9570,0.005,False
f300,10.0.0.19,45.77.12.11,17092,32007430,1872.7,True
f301,10.0.0.5,172.217.0.14,4419843,10979,0.002,False
f302,10.0.0.19,185.220.101.88,12788,47252382,3695.1,True
f303,10.0.0.5,198.51.100.2,2621023,15056,0.006,False
f304,10.0.0.19,45.77.12.12,19632,28074734,1430.0,True
f305,10.0.0.5,151.101.1.69,4174557,21844,0.005,False
f306,10.0.0.19,185.220.101.88,18210,50057627,2748.9,True
f307,10.0.0.5,203.0.113.9,4297099,20170,0.005,False
f308,10.0.0.19,45.77.12.12,13518,50495633,3735.4,True
f309,10.0.0.5,151.101.1.69,3161892,13515,0.004,False
f310,10.0.0.19,45.77.12.9,15461,53516106,3461.4,True
f311,10.0.0.5,172.217.0.14,4123701,10647,0.003,False
f312,10.0.0.19,45.77.12.10,20879,36809859,1763.0,True
f313,10.0.0.5,104.16.85.20,1559747,15223,0.01,False
f314,10.0.0.19,185.220.101.88,17130,40080606,2339.8,True
f315,10.0.0.5,104.16.85.20,4180312,14971,0.004,False
f316,10.0.0.19,185.220.101.88,14623,44253030,3026.3,True
f317,10.0.0.5,151.101.1.69,3791459,10009,0.003,False
f318,10.0.0.19,45.77.12.12,21552,48782999,2263.5,True
f319,10.0.0.5,198.51.100.2,4416977,11235,0.003,False
f320,10.0.0.19,45.77.12.12,21814,50021277,2293.1,True
f321,10.0.0.5,203.0.113.9,4141951,15137,0.004,False
f322,10.0.0.19,45.77.12.12,21229,50576099,2382.4,True
f323,10.0.0.5,142.250.80.14,4437760,13125,0.003,False
f324,10.0.0.19,185.220.101.88,12468,42594899,3416.3,True
f325,10.0.0.5,203.0.113.9,4269018,17580,0.004,False
f326,10.0.0.19,45.77.12.10,20148,42251150,2097.0,True
f327,10.0.0.5,203.0.113.9,781525,9176,0.012,False
f328,10.0.0.19,45.77.12.10,15691,39882236,2541.7,True
f329,10.0.0.5,203.0.113.9,3459942,11252,0.003,False
f330,10.0.0.19,45.77.12.9,16240,40262120,2479.2,True
f331,10.0.0.5,104.16.85.20,3671540,21741,0.006,False
f332,10.0.0.19,45.77.12.12,21560,31680185,1469.4,True
f333,10.0.0.5,172.217.0.14,3976239,16689,0.004,False
f334,10.0.0.19,45.77.12.10,16274,48162889,2959.5,True
f335,10.0.0.5,172.217.0.14,4394387,12189,0.003,False
f336,10.0.0.19,185.220.101.88,17670,49299333,2790.0,True
f337,10.0.0.5,142.250.80.14,2474700,12283,0.005,False
f338,10.0.0.19,45.77.12.10,19809,40030097,2020.8,True
f339,10.0.0.5,104.16.85.20,4334727,17387,0.004,False
f340,10.0.0.19,45.77.12.11,21703,51243473,2361.1,True
f341,10.0.0.5,203.0.113.9,1718135,20999,0.012,False
f342,10.0.0.19,185.220.101.88,19758,51714068,2617.4,True
f343,10.0.0.5,104.16.85.20,2788815,9044,0.003,False
f344,10.0.0.19,45.77.12.9,21194,45309570,2137.8,True
f345,10.0.0.5,203.0.113.9,3341912,21836,0.007,False
f346,10.0.0.19,45.77.12.9,13965,52187977,3737.1,True
f347,10.0.0.5,198.51.100.2,1679996,16753,0.01,False
f348,10.0.0.19,185.220.101.88,17337,50431190,2908.9,True
f349,10.0.0.5,198.51.100.2,1574357,12310,0.008,False
f350,10.0.0.19,45.77.12.9,16357,35889607,2194.1,True
