src_ip,dst_ip,unique_dst_ports,scan_duration_s,is_attack
10.0.0.44,10.0.0.5,5,0.11,False
185.220.101.15,10.0.0.6,899,6.1,True
10.0.0.47,10.0.0.8,1,0.78,False
10.0.0.77,10.0.0.7,994,6.3,True
10.0.0.66,10.0.0.5,4,0.79,False
10.0.0.90,10.0.0.6,842,6.6,True
10.0.0.57,10.0.0.5,3,0.77,False
10.0.0.90,10.0.0.5,750,5.2,True
10.0.0.40,10.0.0.8,1,1.45,False
185.220.101.15,10.0.0.6,809,4.4,True
10.0.0.65,10.0.0.8,4,0.69,False
10.0.0.77,10.0.0.6,848,5.0,True
10.0.0.49,10.0.0.6,1,2.17,False
10.0.0.77,10.0.0.7,875,4.5,True
10.0.0.69,10.0.0.6,3,0.24,False
10.0.0.77,10.0.0.6,922,6.6,True
10.0.0.62,10.0.0.8,1,1.7,False
185.220.101.15,10.0.0.5,899,5.5,True
10.0.0.61,10.0.0.7,3,1.69,False
10.0.0.90,10.0.0.8,771,4.5,True
10.0.0.62,10.0.0.8,1,0.97,False
185.220.101.15,10.0.0.6,939,5.5,True
10.0.0.45,10.0.0.5,1,0.62,False
10.0.0.77,10.0.0.7,906,4.9,True
10.0.0.65,10.0.0.6,3,1.93,False
185.220.101.15,10.0.0.6,973,5.3,True
10.0.0.47,10.0.0.8,2,1.84,False
185.220.101.15,10.0.0.7,908,6.5,True
10.0.0.56,10.0.0.5,1,0.92,False
10.0.0.77,10.0.0.6,961,6.4,True
10.0.0.64,10.0.0.6,2,1.41,False
10.0.0.90,10.0.0.5,890,4.2,True
10.0.0.58,10.0.0.7,1,1.36,False
10.0.0.77,10.0.0.5,795,5.6,True
10.0.0.45,10.0.0.7,1,2.11,False
185.220.101.15,10.0.0.7,775,5.1,True
10.0.0.61,10.0.0.8,2,0.41,False
185.220.101.15,10.0.0.6,1007,5.2,True
10.0.0.67,10.0.0.5,1,2.05,False
10.0.0.77,10.0.0.6,1008,4.4,True
10.0.0.64,10.0.0.5,1,1.96,False
185.220.101.15,10.0.0.7,928,6.6,True
10.0.0.55,10.0.0.8,1,1.25,False
10.0.0.77,10.0.0.8,1012,3.9,True
10.0.0.47,10.0.0.5,1,2.13,False
10.0.0.77,10.0.0.5,917,5.8,True
10.0.0.62,10.0.0.7,3,1.17,False
10.0.0.77,10.0.0.6,810,6.3,True
10.0.0.68,10.0.0.7,1,0.57,False
10.0.0.77,10.0.0.7,1002,4.6,True
10.0.0.45,10.0.0.5,2,0.28,False
10.0.0.90,10.0.0.7,920,5.7,True
10.0.0.63,10.0.0.6,2,1.68,False
10.0.0.90,10.0.0.5,944,6.3,True
10.0.0.68,10.0.0.5,2,0.19,False
10.0.0.90,10.0.0.7,783,5.3,True
10.0.0.53,10.0.0.7,4,1.27,False
10.0.0.77,10.0.0.7,904,5.4,True
10.0.0.46,10.0.0.8,1,1.28,False
10.0.0.77,10.0.0.5,965,6.3,True
10.0.0.40,10.0.0.5,3,0.78,False
185.220.101.15,10.0.0.6,963,3.9,True
10.0.0.52,10.0.0.7,1,0.69,False
185.220.101.15,10.0.0.6,886,6.5,True
10.0.0.55,10.0.0.6,1,0.06,False
185.220.101.15,10.0.0.8,767,6.6,True
10.0.0.51,10.0.0.6,1,1.78,False
10.0.0.77,10.0.0.7,862,4.3,True
10.0.0.64,10.0.0.7,4,1.65,False
10.0.0.90,10.0.0.5,903,6.8,True
10.0.0.55,10.0.0.5,1,0.64,False
185.220.101.15,10.0.0.7,915,4.9,True
10.0.0.43,10.0.0.8,2,0.5,False
185.220.101.15,10.0.0.7,766,6.3,True
10.0.0.68,10.0.0.8,3,1.5,False
10.0.0.90,10.0.0.5,791,6.5,True
10.0.0.58,10.0.0.6,1,1.27,False
185.220.101.15,10.0.0.5,870,5.3,True
10.0.0.64,10.0.0.5,2,1.8,False
10.0.0.90,10.0.0.8,975,5.9,True
10.0.0.59,10.0.0.7,1,2.16,False
10.0.0.90,10.0.0.8,1021,6.4,True
10.0.0.41,10.0.0.7,2,0.46,False
10.0.0.90,10.0.0.6,757,3.9,True
10.0.0.65,10.0.0.6,1,2.01,False
185.220.101.15,10.0.0.7,997,5.3,True
10.0.0.46,10.0.0.5,1,0.1,False
10.0.0.90,10.0.0.8,855,6.1,True
10.0.0.44,10.0.0.5,1,1.24,False
185.220.101.15,10.0.0.8,906,5.4,True
10.0.0.46,10.0.0.5,1,1.17,False
185.220.101.15,10.0.0.5,846,4.6,True
10.0.0.40,10.0.0.7,2,0.3,False
10.0.0.90,10.0.0.5,913,4.0,True
10.0.0.42,10.0.0.5,1,1.87,False
10.0.0.90,10.0.0.5,1003,6.4,True
10.0.0.40,10.0.0.5,4,1.16,False
10.0.0.90,10.0.0.7,805,6.0,True
10.0.0.64,10.0.0.6,2,1.48,False
185.220.101.15,10.0.0.5,754,6.4,True
10.0.0.58,10.0.0.7,2,0.41,False
10.0.0.90,10.0.0.6,947,4.2,True
10.0.0.66,10.0.0.7,1,0.63,False
10.0.0.77,10.0.0.6,978,4.0,True
10.0.0.69,10.0.0.5,2,1.47,False
10.0.0.77,10.0.0.7,824,5.6,True
10.0.0.43,10.0.0.8,3,0.29,False
10.0.0.77,10.0.0.7,1013,6.7,True
10.0.0.45,10.0.0.7,3,0.13,False
10.0.0.90,10.0.0.7,819,6.6,True
10.0.0.53,10.0.0.5,1,0.88,False
10.0.0.90,10.0.0.7,1014,4.1,True
10.0.0.62,10.0.0.5,1,0.19,False
185.220.101.15,10.0.0.6,862,6.7,True
10.0.0.40,10.0.0.5,1,1.3,False
10.0.0.90,10.0.0.7,938,5.7,True
10.0.0.52,10.0.0.8,4,0.45,False
185.220.101.15,10.0.0.6,948,5.3,True
10.0.0.43,10.0.0.7,1,0.66,False
10.0.0.77,10.0.0.6,1008,3.9,True
10.0.0.55,10.0.0.7,2,1.43,False
10.0.0.90,10.0.0.6,1012,5.8,True
10.0.0.67,10.0.0.5,1,1.37,False
10.0.0.77,10.0.0.7,832,5.4,True
10.0.0.42,10.0.0.8,2,0.9,False
10.0.0.90,10.0.0.8,1001,4.3,True
10.0.0.40,10.0.0.8,1,0.67,False
10.0.0.77,10.0.0.5,940,5.5,True
10.0.0.69,10.0.0.7,2,2.0,False
185.220.101.15,10.0.0.5,941,4.8,True
10.0.0.42,10.0.0.7,2,1.59,False
10.0.0.90,10.0.0.6,967,4.6,True
10.0.0.60,10.0.0.7,1,0.26,False
10.0.0.77,10.0.0.6,906,4.2,True
10.0.0.64,10.0.0.8,4,1.49,False
185.220.101.15,10.0.0.5,832,3.9,True
10.0.0.44,10.0.0.5,2,1.04,False
10.0.0.77,10.0.0.8,910,6.1,True
10.0.0.60,10.0.0.6,2,0.36,False
10.0.0.90,10.0.0.7,1001,5.3,True
10.0.0.43,10.0.0.6,1,0.83,False
10.0.0.90,10.0.0.6,940,4.5,True
10.0.0.46,10.0.0.5,3,0.65,False
10.0.0.77,10.0.0.6,758,3.8,True
10.0.0.43,10.0.0.6,1,0.96,False
10.0.0.90,10.0.0.6,792,4.6,True
10.0.0.54,10.0.0.8,2,1.93,False
10.0.0.77,10.0.0.7,921,5.8,True
10.0.0.59,10.0.0.6,2,1.97,False
10.0.0.90,10.0.0.5,814,5.1,True
10.0.0.63,10.0.0.7,2,0.91,False
185.220.101.15,10.0.0.8,1015,6.6,True
10.0.0.62,10.0.0.6,1,1.49,False
10.0.0.90,10.0.0.7,789,4.0,True
10.0.0.51,10.0.0.5,3,1.54,False
10.0.0.90,10.0.0.8,981,4.3,True
10.0.0.54,10.0.0.8,1,1.26,False
185.220.101.15,10.0.0.5,770,5.1,True
10.0.0.69,10.0.0.5,2,0.66,False
10.0.0.90,10.0.0.5,932,5.7,True
10.0.0.44,10.0.0.5,1,0.36,False
10.0.0.90,10.0.0.5,894,4.2,True
10.0.0.62,10.0.0.7,4,1.61,False
10.0.0.77,10.0.0.6,857,6.1,True
10.0.0.42,10.0.0.7,1,0.29,False
10.0.0.77,10.0.0.8,957,6.0,True
10.0.0.59,10.0.0.8,1,0.71,False
10.0.0.90,10.0.0.8,770,5.3,True
10.0.0.43,10.0.0.7,3,1.75,False
10.0.0.77,10.0.0.7,1002,5.4,True
10.0.0.54,10.0.0.6,1,0.18,False
10.0.0.77,10.0.0.8,810,4.8,True
10.0.0.51,10.0.0.8,1,0.92,False
10.0.0.77,10.0.0.6,956,6.4,True
10.0.0.63,10.0.0.7,1,1.15,False
185.220.101.15,10.0.0.7,942,6.0,True
10.0.0.67,10.0.0.6,1,1.8,False
10.0.0.90,10.0.0.8,927,6.4,True
10.0.0.56,10.0.0.5,1,1.54,False
185.220.101.15,10.0.0.5,784,6.5,True
10.0.0.66,10.0.0.8,2,1.41,False
10.0.0.90,10.0.0.5,780,4.3,True
10.0.0.55,10.0.0.7,3,1.35,False
10.0.0.77,10.0.0.7,907,6.6,True
10.0.0.54,10.0.0.6,1,0.97,False
10.0.0.77,10.0.0.7,908,5.4,True
10.0.0.52,10.0.0.8,1,1.21,False
10.0.0.77,10.0.0.8,784,5.4,True
10.0.0.63,10.0.0.8,2,1.44,False
10.0.0.90,10.0.0.8,987,4.7,True
10.0.0.53,10.0.0.8,5,1.64,False
10.0.0.90,10.0.0.6,986,6.5,True
10.0.0.62,10.0.0.6,2,1.43,False
185.220.101.15,10.0.0.5,912,5.0,True
10.0.0.50,10.0.0.7,1,0.51,False
10.0.0.90,10.0.0.7,930,4.8,True
10.0.0.54,10.0.0.8,2,0.11,False
10.0.0.90,10.0.0.5,993,6.5,True
10.0.0.60,10.0.0.5,3,1.41,False
10.0.0.90,10.0.0.7,857,3.9,True
10.0.0.40,10.0.0.5,1,0.27,False
10.0.0.90,10.0.0.5,827,5.2,True
10.0.0.51,10.0.0.6,1,0.44,False
185.220.101.15,10.0.0.7,945,5.1,True
10.0.0.44,10.0.0.7,1,0.84,False
185.220.101.15,10.0.0.6,917,6.4,True
10.0.0.43,10.0.0.8,1,1.41,False
10.0.0.90,10.0.0.8,914,4.3,True
10.0.0.60,10.0.0.8,1,0.38,False
185.220.101.15,10.0.0.7,860,5.1,True
10.0.0.44,10.0.0.6,3,0.1,False
10.0.0.77,10.0.0.5,890,4.0,True
10.0.0.53,10.0.0.7,4,0.92,False
10.0.0.90,10.0.0.6,942,4.8,True
10.0.0.62,10.0.0.5,4,1.93,False
10.0.0.77,10.0.0.7,1012,5.2,True
10.0.0.41,10.0.0.8,1,0.55,False
10.0.0.77,10.0.0.7,767,4.0,True
10.0.0.47,10.0.0.6,5,1.63,False
10.0.0.90,10.0.0.8,849,6.2,True
10.0.0.41,10.0.0.7,2,0.96,False
10.0.0.90,10.0.0.5,953,6.5,True
10.0.0.52,10.0.0.5,2,1.7,False
10.0.0.90,10.0.0.7,889,5.8,True
10.0.0.44,10.0.0.6,1,1.3,False
10.0.0.90,10.0.0.5,802,6.5,True
10.0.0.40,10.0.0.5,3,1.51,False
10.0.0.77,10.0.0.8,1001,5.0,True
10.0.0.41,10.0.0.7,1,1.75,False
10.0.0.77,10.0.0.6,845,4.1,True
10.0.0.51,10.0.0.5,2,1.84,False
10.0.0.90,10.0.0.5,942,5.2,True
10.0.0.65,10.0.0.6,3,0.93,False
10.0.0.90,10.0.0.8,931,4.5,True
10.0.0.48,10.0.0.6,1,0.43,False
10.0.0.77,10.0.0.8,773,6.5,True
10.0.0.46,10.0.0.5,3,0.15,False
10.0.0.90,10.0.0.8,836,4.3,True
10.0.0.57,10.0.0.8,1,2.05,False
185.220.101.15,10.0.0.7,1009,5.5,True
10.0.0.63,10.0.0.8,1,0.68,False
185.220.101.15,10.0.0.8,766,4.0,True
10.0.0.64,10.0.0.8,5,1.54,False
10.0.0.90,10.0.0.8,859,6.5,True
10.0.0.64,10.0.0.5,1,0.19,False
10.0.0.77,10.0.0.5,929,4.3,True
10.0.0.69,10.0.0.6,4,1.19,False
10.0.0.90,10.0.0.6,825,4.4,True
10.0.0.55,10.0.0.7,1,0.67,False
185.220.101.15,10.0.0.5,953,5.8,True
10.0.0.60,10.0.0.6,1,1.23,False
185.220.101.15,10.0.0.8,878,5.0,True
10.0.0.48,10.0.0.5,4,1.58,False
10.0.0.90,10.0.0.5,952,6.0,True
10.0.0.51,10.0.0.7,2,0.33,False
185.220.101.15,10.0.0.6,850,5.8,True
10.0.0.58,10.0.0.8,1,0.31,False
10.0.0.90,10.0.0.8,789,6.0,True
10.0.0.59,10.0.0.5,1,1.49,False
10.0.0.77,10.0.0.5,826,6.7,True
10.0.0.67,10.0.0.8,2,1.44,False
10.0.0.90,10.0.0.7,900,4.0,True
10.0.0.63,10.0.0.5,3,0.62,False
10.0.0.90,10.0.0.8,766,4.3,True
10.0.0.61,10.0.0.8,1,1.94,False
10.0.0.90,10.0.0.5,855,4.8,True
10.0.0.64,10.0.0.6,1,1.02,False
10.0.0.77,10.0.0.7,953,5.8,True
10.0.0.64,10.0.0.7,5,1.79,False
10.0.0.77,10.0.0.7,932,6.4,True
10.0.0.42,10.0.0.5,4,0.74,False
10.0.0.90,10.0.0.6,840,6.4,True
10.0.0.61,10.0.0.8,1,0.2,False
10.0.0.77,10.0.0.5,1001,5.3,True
10.0.0.43,10.0.0.6,1,1.58,False
185.220.101.15,10.0.0.8,841,6.2,True
10.0.0.58,10.0.0.5,1,0.68,False
10.0.0.77,10.0.0.6,816,6.4,True
10.0.0.59,10.0.0.6,4,0.58,False
10.0.0.90,10.0.0.5,976,4.8,True
10.0.0.67,10.0.0.8,4,0.89,False
10.0.0.90,10.0.0.8,941,5.8,True
10.0.0.45,10.0.0.6,2,1.91,False
10.0.0.90,10.0.0.6,973,5.1,True
10.0.0.55,10.0.0.6,1,1.48,False
10.0.0.77,10.0.0.6,849,5.2,True
10.0.0.46,10.0.0.8,3,0.29,False
185.220.101.15,10.0.0.6,949,5.0,True
10.0.0.52,10.0.0.8,2,0.1,False
10.0.0.77,10.0.0.8,939,5.1,True
10.0.0.47,10.0.0.5,1,0.45,False
10.0.0.77,10.0.0.8,936,3.8,True
10.0.0.46,10.0.0.8,2,0.08,False
10.0.0.90,10.0.0.5,829,5.5,True
10.0.0.47,10.0.0.6,1,0.24,False
10.0.0.77,10.0.0.5,860,6.2,True
10.0.0.49,10.0.0.8,3,1.12,False
185.220.101.15,10.0.0.6,839,5.7,True
10.0.0.61,10.0.0.8,5,1.56,False
185.220.101.15,10.0.0.7,917,4.6,True
10.0.0.55,10.0.0.8,2,0.32,False
10.0.0.77,10.0.0.6,952,6.0,True
10.0.0.67,10.0.0.6,1,0.72,False
185.220.101.15,10.0.0.8,839,6.2,True
10.0.0.56,10.0.0.5,3,1.38,False
10.0.0.90,10.0.0.5,963,6.6,True
10.0.0.61,10.0.0.5,2,1.14,False
10.0.0.77,10.0.0.5,884,3.9,True
10.0.0.46,10.0.0.6,1,0.43,False
10.0.0.77,10.0.0.7,904,4.8,True
10.0.0.44,10.0.0.6,1,1.34,False
10.0.0.77,10.0.0.8,1000,4.5,True
10.0.0.44,10.0.0.8,1,1.98,False
10.0.0.77,10.0.0.7,928,4.5,True
10.0.0.50,10.0.0.5,3,0.89,False
185.220.101.15,10.0.0.6,845,5.5,True
10.0.0.69,10.0.0.8,1,0.26,False
185.220.101.15,10.0.0.8,923,6.2,True
10.0.0.64,10.0.0.5,1,1.23,False
10.0.0.77,10.0.0.7,916,6.4,True
10.0.0.47,10.0.0.6,2,0.97,False
185.220.101.15,10.0.0.5,924,6.3,True
10.0.0.50,10.0.0.6,2,0.92,False
185.220.101.15,10.0.0.7,995,4.0,True
10.0.0.61,10.0.0.5,2,0.51,False
10.0.0.77,10.0.0.5,982,4.3,True
10.0.0.63,10.0.0.5,2,0.24,False
10.0.0.90,10.0.0.8,918,6.6,True
10.0.0.67,10.0.0.5,3,2.07,False
10.0.0.90,10.0.0.7,782,6.7,True
10.0.0.54,10.0.0.8,2,0.83,False
185.220.101.15,10.0.0.5,944,6.8,True
10.0.0.53,10.0.0.8,1,1.64,False
10.0.0.77,10.0.0.6,943,4.6,True
10.0.0.49,10.0.0.7,2,1.87,False
10.0.0.77,10.0.0.8,752,6.0,True
10.0.0.46,10.0.0.7,5,0.69,False
10.0.0.77,10.0.0.8,829,5.1,True
10.0.0.43,10.0.0.8,1,1.69,False
185.220.101.15,10.0.0.7,825,4.3,True
10.0.0.43,10.0.0.6,2,0.33,False
185.220.101.15,10.0.0.5,995,4.4,True
10.0.0.56,10.0.0.5,2,1.93,False
185.220.101.15,10.0.0.5,869,4.6,True
10.0.0.46,10.0.0.5,1,0.27,False
185.220.101.15,10.0.0.6,937,5.4,True
10.0.0.63,10.0.0.7,1,1.63,False
10.0.0.77,10.0.0.6,992,4.1,True
10.0.0.49,10.0.0.7,1,2.11,False
10.0.0.77,10.0.0.6,912,5.8,True
10.0.0.63,10.0.0.6,5,1.57,False
10.0.0.77,10.0.0.5,975,6.7,True
10.0.0.59,10.0.0.5,3,0.87,False
10.0.0.77,10.0.0.7,883,5.1,True
10.0.0.42,10.0.0.7,3,1.91,False
10.0.0.77,10.0.0.6,1009,6.6,True
10.0.0.45,10.0.0.7,1,1.09,False
10.0.0.90,10.0.0.6,825,3.9,True
10.0.0.69,10.0.0.6,2,1.44,False
185.220.101.15,10.0.0.7,924,6.1,True
10.0.0.62,10.0.0.5,1,1.15,False
10.0.0.90,10.0.0.7,985,4.2,True
10.0.0.57,10.0.0.8,2,1.53,False
10.0.0.77,10.0.0.5,968,6.0,True
10.0.0.51,10.0.0.7,2,0.47,False
10.0.0.90,10.0.0.7,877,6.0,True
10.0.0.50,10.0.0.5,1,2.03,False
10.0.0.90,10.0.0.5,864,5.0,True
10.0.0.62,10.0.0.7,3,0.23,False
10.0.0.77,10.0.0.8,755,4.8,True
10.0.0.47,10.0.0.6,1,0.09,False
185.220.101.15,10.0.0.6,945,5.2,True
10.0.0.44,10.0.0.8,2,1.09,False
10.0.0.90,10.0.0.7,872,6.2,True
10.0.0.45,10.0.0.5,1,1.19,False
185.220.101.15,10.0.0.7,750,5.8,True
10.0.0.52,10.0.0.8,1,1.33,False
10.0.0.90,10.0.0.6,776,4.6,True
10.0.0.57,10.0.0.8,1,0.47,False
185.220.101.15,10.0.0.5,943,6.5,True
10.0.0.57,10.0.0.8,1,1.53,False
185.220.101.15,10.0.0.8,882,5.3,True
10.0.0.48,10.0.0.5,3,1.95,False
185.220.101.15,10.0.0.6,936,4.8,True
10.0.0.68,10.0.0.5,1,0.77,False
10.0.0.77,10.0.0.7,950,6.3,True
10.0.0.53,10.0.0.5,1,0.55,False
185.220.101.15,10.0.0.7,775,4.5,True
10.0.0.67,10.0.0.8,1,0.86,False
