flow_id,src_ip,dst_ip,src_port,dst_port,protocol,duration,bytes_in,bytes_out,pkts_in,pkts_out,tcp_flags,flow_rate_bps,packet_rate_pps,entropy,ja3_hash,is_attack,attack_type,timestamp,metadata
benign_flow_001008,192.168.1.216,198.51.100.28,35705,443,TCP,7.2583,1000,146,3,3,SYN-ACK-FIN-PSH,1263.11,0.83,4.3021,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-26T14:18:22.780833+00:00,"{""service"": ""HTTPS"", ""domain"": ""spotify.com""}"
f0980,198.18.0.98,10.0.0.5,53,60436,UDP,0.89,48338185,44,82304,1,UDP,434500539.33,92476.4,0.07,,True,UDP_AMPLIFICATION,2026-08-26T16:17:35.755060+00:00,"{""vector"": ""udp_amplification""}"
f0628,45.33.12.228,10.0.0.5,80,63883,TCP,0.91,1882878,44,43301,1,SYN,16552773.63,47583.52,0.13,,True,SYN_FLOOD,2026-08-26T16:17:35.754199+00:00,"{""vector"": ""syn_flood""}"
f1170,198.18.0.104,10.0.0.5,53,63061,UDP,1.12,50618856,44,86835,1,UDP,361563257.14,77531.25,0.09,,True,UDP_AMPLIFICATION,2026-08-26T16:17:35.754339+00:00,"{""vector"": ""udp_amplification""}"
f1175,198.18.0.100,10.0.0.5,53,63384,UDP,0.86,55867722,44,92257,1,UDP,519699739.53,107275.58,0.11,,True,UDP_AMPLIFICATION,2026-08-26T16:17:35.752917+00:00,"{""vector"": ""udp_amplification""}"
benign_flow_002163,192.168.1.79,198.51.100.235,36278,443,TCP,4.6697,895,134,3,3,SYN-ACK-FIN-PSH,1762.85,1.28,3.6744,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-26T14:19:12.938844+00:00,"{""service"": ""HTTPS"", ""domain"": ""apple.com""}"
benign_flow_001318,192.168.1.155,198.51.100.236,54499,443,TCP,5.2076,1364,336,3,3,SYN-ACK-FIN-PSH,2611.57,1.15,3.5596,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-26T14:18:36.229276+00:00,"{""service"": ""HTTPS"", ""domain"": ""wikipedia.org""}"
benign_flow_001018,192.168.1.201,198.51.100.208,58525,443,TCP,1.313,1442,357,3,3,SYN-ACK-FIN-PSH,10961.16,4.57,3.5725,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-26T14:18:23.062415+00:00,"{""service"": ""HTTPS"", ""domain"": ""google.com""}"
benign_flow_001027,192.168.1.231,198.51.100.163,59616,443,TCP,3.7591,6172,1706,5,3,SYN-ACK-FIN-PSH,16765.72,2.13,3.8918,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-26T14:18:23.340858+00:00,"{""service"": ""HTTPS"", ""domain"": ""linkedin.com""}"
benign_flow_002213,192.168.1.191,198.51.100.66,60947,443,TCP,3.5175,4101,243,3,3,SYN-ACK-FIN-PSH,9879.74,1.71,4.3824,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-26T14:19:15.297914+00:00,"{""service"": ""HTTPS"", ""domain"": ""youtube.com""}"
