flow_id,src_ip,dst_ip,src_port,dst_port,protocol,duration,bytes_in,bytes_out,pkts_in,pkts_out,tcp_flags,flow_rate_bps,packet_rate_pps,entropy,ja3_hash,is_attack,attack_type,timestamp,metadata
f0644,45.33.12.215,10.0.0.5,80,60579,TCP,1.01,1894297,44,43892,1,SYN,15004332.67,43457.43,0.1,,True,SYN_FLOOD,2026-08-26T16:17:35.753290+00:00,"{""vector"": ""syn_flood""}"
benign_flow_000820,192.168.1.155,198.51.100.111,53613,443,TCP,2.8393,1963,623,3,3,SYN-ACK-FIN-PSH,7286.3,2.11,4.0426,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-26T14:18:14.791643+00:00,"{""service"": ""HTTPS"", ""domain"": ""slack.com""}"
benign_flow_001164,192.168.1.193,198.51.100.225,50694,443,TCP,14.4388,1243,411,3,3,SYN-ACK-FIN-PSH,916.42,0.42,4.2639,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-26T14:18:29.290571+00:00,"{""service"": ""HTTPS"", ""domain"": ""spotify.com""}"
benign_flow_001366,192.168.1.204,1.1.1.1,45049,53,UDP,0.0189,184,84,1,1,UDP,113439.15,105.82,2.9643,,False,BENIGN,2026-08-26T14:18:38.514125+00:00,"{""service"": ""DNS"", ""domain"": ""zoom.us""}"
benign_flow_001007,192.168.1.74,198.51.100.218,54381,443,TCP,9.041,913,178,3,3,SYN-ACK-FIN-PSH,965.38,0.66,4.5102,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-26T14:18:22.776131+00:00,"{""service"": ""HTTPS"", ""domain"": ""notion.so""}"
benign_flow_000699,192.168.1.200,198.51.100.240,49979,443,TCP,1.8783,2339,185,3,3,SYN-ACK-FIN-PSH,10750.15,3.19,4.368,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-26T14:18:08.759683+00:00,"{""service"": ""HTTPS"", ""domain"": ""github.com""}"
f0621,45.33.12.250,10.0.0.5,80,61224,TCP,1.15,2020696,44,46724,1,SYN,14057015.65,40629.57,0.1,,True,SYN_FLOOD,2026-08-26T16:17:35.753220+00:00,"{""vector"": ""syn_flood""}"
benign_flow_000164,192.168.1.111,198.51.100.44,55370,443,TCP,14.4734,1321,253,3,3,SYN-ACK-FIN-PSH,870.01,0.41,3.7295,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-26T14:17:44.096829+00:00,"{""service"": ""HTTPS"", ""domain"": ""slack.com""}"
benign_flow_000910,192.168.1.169,198.51.100.43,35645,443,TCP,14.2114,1189,103,3,3,SYN-ACK-FIN-PSH,727.3,0.42,4.0074,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-26T14:18:18.693567+00:00,"{""service"": ""HTTPS"", ""domain"": ""github.com""}"
benign_flow_001112,192.168.1.218,8.8.8.8,47310,53,UDP,0.0209,83,104,1,1,UDP,71578.95,95.69,2.9597,,False,BENIGN,2026-08-26T14:18:26.852749+00:00,"{""service"": ""DNS"", ""domain"": ""github.com""}"
f0761,45.33.12.216,10.0.0.5,80,64668,TCP,1.13,1964806,44,45501,1,SYN,13910130.97,40266.37,0.12,,True,SYN_FLOOD,2026-08-26T16:17:35.754266+00:00,"{""vector"": ""syn_flood""}"
f1132,198.18.0.99,10.0.0.5,53,64942,UDP,1.21,53538298,44,89695,1,UDP,353972218.18,74128.1,0.1,,True,UDP_AMPLIFICATION,2026-08-26T16:17:35.753615+00:00,"{""vector"": ""udp_amplification""}"
benign_flow_001481,192.168.1.84,198.51.100.7,49120,443,TCP,3.0747,1164,243,3,3,SYN-ACK-FIN-PSH,3660.84,1.95,3.5734,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-26T14:18:43.196076+00:00,"{""service"": ""HTTPS"", ""domain"": ""microsoft.com""}"
benign_flow_002387,192.168.1.150,198.51.100.8,37732,443,TCP,0.9341,704,182,3,3,SYN-ACK-FIN-PSH,7588.05,6.42,4.2501,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-26T14:19:22.738231+00:00,"{""service"": ""HTTPS"", ""domain"": ""slack.com""}"
benign_flow_001357,192.168.1.162,198.51.100.51,43774,443,TCP,12.2484,949,184,3,3,SYN-ACK-FIN-PSH,740.02,0.49,4.122,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-26T14:18:38.143527+00:00,"{""service"": ""HTTPS"", ""domain"": ""cloudflare.com""}"
benign_flow_001204,192.168.1.60,198.51.100.37,49150,443,TCP,5.0033,2551,670,3,3,SYN-ACK-FIN-PSH,5150.2,1.2,4.1849,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-26T14:18:31.030501+00:00,"{""service"": ""HTTPS"", ""domain"": ""wikipedia.org""}"
