session_id,src_ip,dst_ip,inter_arrival_times,is_attack
s0001,10.0.0.36,104.16.85.20,"[28.5, 5.4, 43.0, 6.2, 33.9, 43.7, 54.5]",False
s0002,192.168.1.45,198.51.100.7,"[292.5, 291.2, 297.5, 287.4, 324.2]",True
s0003,10.0.0.35,142.250.80.14,"[28.2, 36.1, 51.7, 18.4, 13.6, 15.9, 34.0]",False
s0004,10.0.0.44,198.51.100.7,"[120.0, 128.4, 120.3, 118.8, 128.8]",True
s0005,10.0.0.35,93.184.216.34,"[6.8, 116.6, 16.0, 4.1]",False
s0006,192.168.1.45,91.108.4.182,"[61.3, 62.6, 58.9, 58.3, 60.3, 58.7]",True
s0007,10.0.0.25,198.51.100.25,"[9.1, 18.0, 23.8, 13.6, 25.2, 29.1]",False
s0008,10.0.0.44,185.220.101.44,"[112.4, 119.6, 123.2, 114.7, 129.7, 116.1, 120.2]",True
s0009,10.0.0.16,151.101.1.140,"[7.1, 27.9, 28.2, 15.7, 16.0, 6.7]",False
s0010,192.168.1.45,198.51.100.7,"[125.1, 119.2, 117.5, 122.0, 119.5, 115.6]",True
s0011,10.0.0.14,104.16.85.20,"[5.8, 28.7, 14.8, 33.5]",False
s0012,10.0.0.9,203.0.113.90,"[125.5, 123.8, 122.8, 119.8, 116.0, 113.2, 124.3, 115.0]",True
s0013,10.0.0.41,142.250.80.14,"[26.8, 18.3, 54.5, 14.9]",False
s0014,10.0.0.9,91.108.4.182,"[65.5, 58.6, 63.3, 56.7, 62.5, 60.1, 60.5]",True
s0015,10.0.0.44,104.16.85.20,"[9.2, 9.7, 10.6, 101.2, 87.9, 7.7, 14.6]",False
s0016,10.0.0.44,185.220.101.44,"[59.3, 60.5, 59.8, 63.7, 61.9, 58.0]",True
s0017,10.0.0.17,142.250.80.14,"[37.5, 40.2, 12.7, 78.8, 1.4]",False
s0018,192.168.1.45,203.0.113.90,"[118.9, 117.1, 118.1, 119.2, 120.3]",True
s0019,10.0.0.44,198.51.100.25,"[56.0, 25.9, 49.8, 75.7, 10.2, 4.5, 39.6]",False
s0020,192.168.1.45,91.108.4.182,"[122.2, 121.2, 121.3, 122.9, 122.7, 123.4, 119.8]",True
s0021,10.0.0.35,93.184.216.34,"[13.8, 23.3, 20.5, 49.9]",False
s0022,10.0.0.9,203.0.113.90,"[57.6, 56.5, 59.2, 61.7, 61.1, 61.5, 59.8, 60.4]",True
s0023,10.0.0.36,198.51.100.25,"[10.7, 12.2, 34.1, 33.9, 13.5]",False
s0024,10.0.0.9,91.108.4.182,"[303.1, 315.4, 306.9, 313.1, 298.2, 316.5, 302.6]",True
s0025,10.0.0.13,198.51.100.25,"[23.8, 26.5, 63.1, 3.5]",False
s0026,10.0.0.44,198.51.100.7,"[117.5, 120.3, 117.8, 120.6, 118.6, 119.0, 118.0, 122.3]",True
s0027,10.0.0.44,151.101.1.140,"[4.8, 5.1, 15.5, 17.5]",False
s0028,192.168.1.45,185.220.101.44,"[58.5, 56.8, 58.9, 62.1, 57.6, 59.9, 59.0]",True
s0029,10.0.0.20,93.184.216.34,"[18.4, 9.4, 16.8, 19.2]",False
s0030,192.168.1.45,198.51.100.7,"[115.9, 118.8, 121.6, 124.2, 122.7]",True
s0031,10.0.0.14,17.253.144.10,"[29.7, 13.0, 28.9, 25.6]",False
s0032,192.168.1.45,91.108.4.182,"[291.3, 319.1, 295.3, 305.1, 300.0, 295.6]",True
s0033,10.0.0.38,151.101.1.140,"[72.0, 57.2, 55.8, 42.1, 4.3]",False
s0034,192.168.1.45,185.220.101.44,"[286.7, 295.0, 303.8, 281.2, 305.2, 285.6]",True
s0035,10.0.0.28,17.253.144.10,"[23.6, 14.3, 4.9, 5.3, 31.9, 77.9]",False
s0036,192.168.1.45,198.51.100.7,"[115.1, 125.0, 113.1, 118.2, 118.1, 118.9, 124.9, 119.3]",True
s0037,10.0.0.27,17.253.144.10,"[8.4, 7.6, 14.3, 29.4, 11.9, 4.0, 7.8]",False
s0038,10.0.0.9,185.220.101.44,"[304.2, 295.0, 304.3, 302.6, 306.2, 306.0, 329.1, 281.4]",True
s0039,10.0.0.35,93.184.216.34,"[10.4, 16.0, 10.8, 20.5, 75.7, 12.8]",False
s0040,10.0.0.44,203.0.113.90,"[317.0, 275.2, 289.4, 305.1, 305.1, 289.4, 304.7]",True
s0041,10.0.0.36,17.253.144.10,"[7.1, 23.4, 68.8, 5.3, 17.8]",False
s0042,10.0.0.9,91.108.4.182,"[121.6, 121.5, 119.7, 115.0, 128.4, 120.0, 117.6]",True
s0043,10.0.0.47,198.51.100.25,"[7.7, 61.5, 5.5, 4.1]",False
s0044,10.0.0.9,198.51.100.7,"[117.6, 115.9, 124.8, 121.9, 122.1, 120.1, 117.6]",True
s0045,10.0.0.41,142.250.80.14,"[25.7, 115.9, 8.6, 4.8, 5.9, 29.9]",False
s0046,10.0.0.44,91.108.4.182,"[124.4, 116.3, 111.0, 120.8, 112.2]",True
s0047,10.0.0.20,151.101.1.140,"[5.4, 10.1, 17.0, 16.3]",False
s0048,10.0.0.44,198.51.100.7,"[60.6, 57.4, 60.5, 58.4, 58.5, 60.8, 64.7, 60.0]",True
s0049,10.0.0.20,104.16.85.20,"[23.5, 4.5, 13.0, 17.5, 14.8]",False
s0050,10.0.0.44,185.220.101.44,"[58.8, 59.0, 58.5, 60.7, 59.3]",True
s0051,10.0.0.18,104.16.85.20,"[13.1, 28.5, 9.2, 29.7, 19.4, 11.1]",False
s0052,10.0.0.9,185.220.101.44,"[117.1, 123.1, 116.8, 117.8, 112.7, 121.2]",True
s0053,10.0.0.48,198.51.100.25,"[26.4, 10.1, 23.4, 81.4, 15.0]",False
s0054,192.168.1.45,91.108.4.182,"[299.6, 284.2, 279.5, 306.4, 342.1, 319.3, 276.8, 289.2]",True
s0055,10.0.0.25,198.51.100.25,"[30.9, 8.1, 22.7, 26.2, 22.4, 4.5, 11.0]",False
s0056,10.0.0.9,185.220.101.44,"[292.7, 301.8, 296.8, 298.5, 296.5, 293.2, 301.3]",True
s0057,10.0.0.34,104.16.85.20,"[27.5, 29.5, 25.3, 35.4, 20.3, 1.1, 31.0]",False
s0058,10.0.0.44,91.108.4.182,"[293.8, 297.6, 305.2, 297.4, 305.3, 299.8]",True
s0059,10.0.0.14,17.253.144.10,"[15.7, 37.7, 2.6, 1.5, 64.2, 15.7, 4.9]",False
s0060,192.168.1.45,185.220.101.44,"[316.2, 283.1, 308.8, 307.1, 307.4, 276.2, 297.6, 310.7]",True
