flow_id,src_ip,dst_ip,src_port,dst_port,protocol,duration,bytes_in,bytes_out,pkts_in,pkts_out,tcp_flags,flow_rate_bps,packet_rate_pps,entropy,ja3_hash,is_attack,attack_type,timestamp,metadata
flow_beacon_000001,192.168.1.45,185.220.101.44,49152,8443,TCP,0.0406,64,128,2,2,PSH-ACK,37832.51,98.52,4.7645,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:41:56.475454+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0461, ""payload_uniformity"": 0.98}"
flow_beacon_000002,192.168.1.45,185.220.101.44,49153,8443,TCP,0.0603,64,128,2,2,PSH-ACK,25472.64,66.33,4.7682,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:42:06.508274+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0328, ""payload_uniformity"": 0.98}"
flow_beacon_000003,192.168.1.45,185.220.101.44,49154,8443,TCP,0.087,64,128,2,2,PSH-ACK,17655.17,45.98,4.8627,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:42:16.489195+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0191, ""payload_uniformity"": 0.98}"
flow_beacon_000004,192.168.1.45,185.220.101.44,49155,8443,TCP,0.0864,64,256,2,2,PSH-ACK,29629.63,46.3,4.7995,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:42:26.447434+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0418, ""payload_uniformity"": 0.98}"
flow_beacon_000005,192.168.1.45,185.220.101.44,49156,8443,TCP,0.0682,64,256,2,2,PSH-ACK,37536.66,58.65,4.5906,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:42:36.417587+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0298, ""payload_uniformity"": 0.98}"
flow_beacon_000006,192.168.1.45,185.220.101.44,49157,8443,TCP,0.0756,64,128,2,2,PSH-ACK,20317.46,52.91,4.747,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:42:46.454989+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0374, ""payload_uniformity"": 0.98}"
flow_beacon_000007,192.168.1.45,185.220.101.44,49158,8443,TCP,0.0647,96,128,2,2,PSH-ACK,27697.06,61.82,4.8277,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:42:56.467345+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0124, ""payload_uniformity"": 0.98}"
flow_beacon_000008,192.168.1.45,185.220.101.44,49159,8443,TCP,0.0841,64,128,2,2,PSH-ACK,18263.97,47.56,4.7352,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:43:06.452334+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.015, ""payload_uniformity"": 0.98}"
flow_beacon_000009,192.168.1.45,185.220.101.44,49152,8443,TCP,0.0426,96,128,2,2,PSH-ACK,42065.73,93.9,4.8445,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:43:16.419774+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0326, ""payload_uniformity"": 0.98}"
flow_beacon_000010,192.168.1.45,185.220.101.44,49153,8443,TCP,0.0611,64,128,2,2,PSH-ACK,25139.12,65.47,4.6475,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:43:26.460363+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0406, ""payload_uniformity"": 0.98}"
flow_beacon_000011,192.168.1.45,185.220.101.44,49154,8443,TCP,0.0809,96,128,2,2,PSH-ACK,22150.8,49.44,4.6295,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:43:36.459702+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0007, ""payload_uniformity"": 0.98}"
flow_beacon_000012,192.168.1.45,185.220.101.44,49155,8443,TCP,0.0646,96,128,2,2,PSH-ACK,27739.94,61.92,4.5429,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:43:46.420287+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0394, ""payload_uniformity"": 0.98}"
flow_beacon_000013,192.168.1.45,185.220.101.44,49156,8443,TCP,0.0886,96,128,2,2,PSH-ACK,20225.73,45.15,4.864,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:43:56.407632+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0127, ""payload_uniformity"": 0.98}"
flow_beacon_000014,192.168.1.45,185.220.101.44,49157,8443,TCP,0.0692,64,128,2,2,PSH-ACK,22196.53,57.8,4.8608,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:44:06.386810+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0208, ""payload_uniformity"": 0.98}"
flow_beacon_000015,192.168.1.45,185.220.101.44,49158,8443,TCP,0.0523,64,256,2,2,PSH-ACK,48948.37,76.48,4.5691,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:44:16.423493+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0367, ""payload_uniformity"": 0.98}"
flow_beacon_000016,192.168.1.45,185.220.101.44,49159,8443,TCP,0.0499,64,256,2,2,PSH-ACK,51302.61,80.16,4.7054,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:44:26.415589+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0079, ""payload_uniformity"": 0.98}"
flow_beacon_000017,192.168.1.45,185.220.101.44,49152,8443,TCP,0.0715,96,256,2,2,PSH-ACK,39384.62,55.94,4.5928,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:44:36.383928+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0317, ""payload_uniformity"": 0.98}"
flow_beacon_000018,192.168.1.45,185.220.101.44,49153,8443,TCP,0.0461,64,128,2,2,PSH-ACK,33318.87,86.77,4.8049,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:44:46.394015+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0101, ""payload_uniformity"": 0.98}"
flow_beacon_000019,192.168.1.45,185.220.101.44,49154,8443,TCP,0.0631,96,128,2,2,PSH-ACK,28399.37,63.39,4.7084,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:44:56.427545+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0335, ""payload_uniformity"": 0.98}"
flow_beacon_000020,192.168.1.45,185.220.101.44,49155,8443,TCP,0.0675,64,256,2,2,PSH-ACK,37925.93,59.26,4.6311,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:45:06.463129+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0356, ""payload_uniformity"": 0.98}"
flow_beacon_000021,192.168.1.45,185.220.101.44,49156,8443,TCP,0.0497,64,128,2,2,PSH-ACK,30905.43,80.48,4.6659,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:45:16.509837+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0467, ""payload_uniformity"": 0.98}"
flow_beacon_000022,192.168.1.45,185.220.101.44,49157,8443,TCP,0.0696,64,128,2,2,PSH-ACK,22068.97,57.47,4.6337,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:45:26.504683+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0052, ""payload_uniformity"": 0.98}"
flow_beacon_000023,192.168.1.45,185.220.101.44,49158,8443,TCP,0.0835,96,128,2,2,PSH-ACK,21461.08,47.9,4.7829,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:45:36.526816+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0221, ""payload_uniformity"": 0.98}"
flow_beacon_000024,192.168.1.45,185.220.101.44,49159,8443,TCP,0.0689,64,128,2,2,PSH-ACK,22293.18,58.06,4.5022,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:45:46.567841+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.041, ""payload_uniformity"": 0.98}"
flow_beacon_000025,192.168.1.45,185.220.101.44,49152,8443,TCP,0.055,64,256,2,2,PSH-ACK,46545.45,72.73,4.5891,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:45:56.552361+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0155, ""payload_uniformity"": 0.98}"
flow_beacon_000026,192.168.1.45,185.220.101.44,49153,8443,TCP,0.0684,64,128,2,2,PSH-ACK,22456.14,58.48,4.6064,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:46:06.538964+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0134, ""payload_uniformity"": 0.98}"
flow_beacon_000027,192.168.1.45,185.220.101.44,49154,8443,TCP,0.0667,64,128,2,2,PSH-ACK,23028.49,59.97,4.6,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:46:16.501721+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0372, ""payload_uniformity"": 0.98}"
flow_beacon_000028,192.168.1.45,185.220.101.44,49155,8443,TCP,0.0834,64,256,2,2,PSH-ACK,30695.44,47.96,4.5458,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:46:26.473023+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0287, ""payload_uniformity"": 0.98}"
flow_beacon_000029,192.168.1.45,185.220.101.44,49156,8443,TCP,0.0895,64,128,2,2,PSH-ACK,17162.01,44.69,4.503,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:46:36.520758+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0477, ""payload_uniformity"": 0.98}"
flow_beacon_000030,192.168.1.45,185.220.101.44,49157,8443,TCP,0.0442,64,128,2,2,PSH-ACK,34751.13,90.5,4.817,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:46:46.512068+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0087, ""payload_uniformity"": 0.98}"
flow_beacon_000031,192.168.1.45,185.220.101.44,49158,8443,TCP,0.0523,64,128,2,2,PSH-ACK,29369.02,76.48,4.6713,a0e9f5d64349fb13191bc781f81f42e1,True,C2_BEACONING,2026-08-25T14:46:56.528391+00:00,"{""beacon_interval_sec"": 10.0, ""jitter_variance"": 0.0163, ""payload_uniformity"": 0.98}"
