flow_id,src_ip,dst_ip,src_port,dst_port,protocol,duration,bytes_in,bytes_out,pkts_in,pkts_out,tcp_flags,flow_rate_bps,packet_rate_pps,entropy,ja3_hash,is_attack,attack_type,timestamp,metadata
flow_exfil_00001,192.168.1.100,185.220.101.88,50522,21,TCP,6.204,671,5613337,11,4009,PSH-ACK,7239210.83,646.2,4.9257,,True,DATA_EXFILTRATION,2026-08-25T15:21:50.557542+00:00,"{""exfil_method"": ""ENCRYPTED_HTTPS_POST"", ""outbound_ratio"": 8365.6, ""total_megabytes"": 5.35}"
flow_exfil_00002,192.168.1.100,185.220.101.88,49297,21,TCP,7.846,1719,5080707,28,3629,PSH-ACK,5182183.02,462.53,4.7734,,True,DATA_EXFILTRATION,2026-08-25T15:22:00.557542+00:00,"{""exfil_method"": ""ENCRYPTED_HTTPS_POST"", ""outbound_ratio"": 2955.6, ""total_megabytes"": 4.85}"
flow_exfil_00003,192.168.1.100,185.220.101.88,54496,8080,TCP,5.489,2061,4798181,34,3427,PSH-ACK,6996162.51,624.34,4.8612,,True,DATA_EXFILTRATION,2026-08-25T15:22:03.557542+00:00,"{""exfil_method"": ""ENCRYPTED_HTTPS_POST"", ""outbound_ratio"": 2328.1, ""total_megabytes"": 4.58}"
flow_exfil_00004,192.168.1.100,185.220.101.88,56141,443,TCP,1.322,1560,1407733,26,1005,PSH-ACK,8528248.11,760.21,4.8827,,True,DATA_EXFILTRATION,2026-08-25T15:22:10.557542+00:00,"{""exfil_method"": ""ENCRYPTED_HTTPS_POST"", ""outbound_ratio"": 902.4, ""total_megabytes"": 1.34}"
flow_exfil_00005,192.168.1.100,185.220.101.88,58086,21,TCP,7.462,2090,1635465,34,1168,PSH-ACK,1755620.48,156.53,4.6227,,True,DATA_EXFILTRATION,2026-08-25T15:22:18.557542+00:00,"{""exfil_method"": ""ENCRYPTED_HTTPS_POST"", ""outbound_ratio"": 782.5, ""total_megabytes"": 1.56}"
flow_exfil_00006,192.168.1.100,185.220.101.88,58449,9001,TCP,8.198,535,5624287,8,4017,PSH-ACK,5488969.99,490.0,4.6397,,True,DATA_EXFILTRATION,2026-08-25T15:22:22.557542+00:00,"{""exfil_method"": ""ENCRYPTED_HTTPS_POST"", ""outbound_ratio"": 10512.7, ""total_megabytes"": 5.36}"
flow_exfil_00007,192.168.1.100,185.220.101.88,57839,21,TCP,6.663,1630,2276887,27,1626,PSH-ACK,2735725.05,244.03,4.8114,,True,DATA_EXFILTRATION,2026-08-25T15:22:30.557542+00:00,"{""exfil_method"": ""ENCRYPTED_HTTPS_POST"", ""outbound_ratio"": 1396.9, ""total_megabytes"": 2.17}"
flow_exfil_00008,192.168.1.100,185.220.101.88,48430,8080,TCP,7.936,1898,2093910,31,1495,PSH-ACK,2112709.68,188.38,4.7124,,True,DATA_EXFILTRATION,2026-08-25T15:22:36.557542+00:00,"{""exfil_method"": ""ENCRYPTED_HTTPS_POST"", ""outbound_ratio"": 1103.2, ""total_megabytes"": 2.0}"
flow_exfil_00009,192.168.1.100,185.220.101.88,45749,9001,TCP,3.366,1859,4636334,30,3311,PSH-ACK,11023631.61,983.66,4.763,,True,DATA_EXFILTRATION,2026-08-25T15:22:45.557542+00:00,"{""exfil_method"": ""ENCRYPTED_HTTPS_POST"", ""outbound_ratio"": 2494.0, ""total_megabytes"": 4.42}"
flow_exfil_00010,192.168.1.100,185.220.101.88,41638,21,TCP,2.748,2230,3489435,37,2492,PSH-ACK,10164963.61,906.84,4.8894,,True,DATA_EXFILTRATION,2026-08-25T15:22:47.557542+00:00,"{""exfil_method"": ""ENCRYPTED_HTTPS_POST"", ""outbound_ratio"": 1564.8, ""total_megabytes"": 3.33}"
flow_exfil_00011,192.168.1.100,185.220.101.88,55660,9001,TCP,2.25,1308,1140483,21,814,PSH-ACK,4059701.33,361.78,4.6928,,True,DATA_EXFILTRATION,2026-08-25T15:22:51.557542+00:00,"{""exfil_method"": ""ENCRYPTED_HTTPS_POST"", ""outbound_ratio"": 871.9, ""total_megabytes"": 1.09}"
flow_exfil_00012,192.168.1.100,185.220.101.88,50015,9001,TCP,5.104,2041,4518873,34,3227,PSH-ACK,7086072.1,632.25,4.7924,,True,DATA_EXFILTRATION,2026-08-25T15:22:58.557542+00:00,"{""exfil_method"": ""ENCRYPTED_HTTPS_POST"", ""outbound_ratio"": 2214.0, ""total_megabytes"": 4.31}"
