domain_id,domain,family,entropy,vowel_ratio,length,is_dga,confidence,dga_source
dga_00001,xazspatcrkryrq.com,cryptolocker,3.6835,0.1765,18,True,0.985,DGArchive / Cryptolocker Research
dga_00002,pknozurczsnmzwpiha.net,cryptolocker,3.9363,0.2381,22,True,0.985,DGArchive / Cryptolocker Research
dga_00003,fypsfwvkzmda.biz,cryptolocker,3.75,0.1333,16,True,0.985,DGArchive / Cryptolocker Research
dga_00004,xgvclqxytojubkx.ru,cryptolocker,3.7947,0.1765,18,True,0.985,DGArchive / Cryptolocker Research
dga_00005,kvqrwtktyrivgza.org,cryptolocker,3.5766,0.1667,19,True,0.985,DGArchive / Cryptolocker Research
dga_00006,farilmdejitkjen.co.uk,cryptolocker,3.9161,0.3684,21,True,0.985,DGArchive / Cryptolocker Research
dga_00007,kbyfubwlmfqhadmrar.info,cryptolocker,3.969,0.2273,23,True,0.985,DGArchive / Cryptolocker Research
dga_00008,gbolmpwdgxydorqxqz.com,cryptolocker,3.7888,0.1429,22,True,0.985,DGArchive / Cryptolocker Research
dga_00009,mtilmxgjuxon.net,cryptolocker,3.5,0.2667,16,True,0.985,DGArchive / Cryptolocker Research
dga_00010,wrmrknuhyfgjipmlqd.biz,cryptolocker,4.1867,0.1429,22,True,0.985,DGArchive / Cryptolocker Research
dga_00011,qlcpihitixexuf.ru,cryptolocker,3.5725,0.375,17,True,0.985,DGArchive / Cryptolocker Research
dga_00012,mfkfivqxypafsj.org,cryptolocker,3.9058,0.1765,18,True,0.985,DGArchive / Cryptolocker Research
dga_00013,yjsfipidkxitytufg.co.uk,cryptolocker,3.7951,0.2857,23,True,0.985,DGArchive / Cryptolocker Research
dga_00014,xepchafclajs.info,cryptolocker,3.7345,0.3125,17,True,0.985,DGArchive / Cryptolocker Research
dga_00015,dejwfgzmjqnap.com,cryptolocker,3.8522,0.1875,17,True,0.985,DGArchive / Cryptolocker Research
dga_00016,kdatkxozsbybud.net,cryptolocker,3.7255,0.2353,18,True,0.985,DGArchive / Cryptolocker Research
dga_00017,ajstkxwlubmhyn.biz,cryptolocker,4.0588,0.1765,18,True,0.985,DGArchive / Cryptolocker Research
