query_id,client_ip,server_ip,query_name,query_type,response_code,payload_size_bytes,entropy,is_tunneling,tunneling_score,timestamp,metadata
dns_tunnel_08ab_0000,192.168.1.88,185.220.101.44,08ab.seq000.inhu4rsjircu4vcjifgf6skokrcvetsbjrpuiqs7irku2uc7kraq.tunnel.c2exfil-network.org,A,NOERROR,155,4.6524,True,0.9458,2026-08-27T14:15:09.411605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 0, ""total_chunks"": 600, ""chunk_entropy"": 4.6524}"
dns_tunnel_08ab_0001,192.168.1.88,185.220.101.44,08ab.seq001.ijgekx2vkncveu27injekrcfjzkesqkmknpugt2oizeuirkokreq.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.567,True,0.935,2026-08-27T14:15:09.481605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 1, ""total_chunks"": 600, ""chunk_entropy"": 4.567}"
dns_tunnel_08ab_0002,192.168.1.88,185.220.101.44,08ab.seq002.ifgf6skokrcvetsbjrpuiqs7irku2uc7krauetcfl5kvgrksknpq.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.612,True,0.9804,2026-08-27T14:15:09.594605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 2, ""total_chunks"": 600, ""chunk_entropy"": 4.612}"
dns_tunnel_08ab_0003,192.168.1.88,185.220.101.44,08ab.seq003.injekrcfjzkesqkmknpugt2oizeuirkokreuctc7jfhfirksjzaq.tunnel.c2exfil-network.org,CNAME,NOERROR,155,4.6028,True,0.9405,2026-08-27T14:15:09.781605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 3, ""total_chunks"": 600, ""chunk_entropy"": 4.6028}"
dns_tunnel_08ab_0004,192.168.1.88,185.220.101.44,08ab.seq004.jrpuiqs7irku2uc7krauetcfl5kvgrksknpugusfircu4vcjifga.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.6109,True,0.9288,2026-08-27T14:15:09.959605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 4, ""total_chunks"": 600, ""chunk_entropy"": 4.6109}"
dns_tunnel_08ab_0005,192.168.1.88,185.220.101.44,08ab.seq005.knpugt2oizeuirkokreuctc7jfhfirksjzauyx2eijpuivknkbpq.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.6871,True,0.9837,2026-08-27T14:15:10.084605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 5, ""total_chunks"": 600, ""chunk_entropy"": 4.6871}"
dns_tunnel_08ab_0006,192.168.1.88,185.220.101.44,08ab.seq006.krauetcfl5kvgrksknpugusfircu4vcjifgfgx2dj5hemskeivha.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.7387,True,0.9843,2026-08-27T14:15:10.233605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 6, ""total_chunks"": 600, ""chunk_entropy"": 4.7387}"
dns_tunnel_08ab_0007,192.168.1.88,185.220.101.44,08ab.seq007.kreuctc7jfhfirksjzauyx2eijpuivknkbpviqkcjrcv6vktivja.tunnel.c2exfil-network.org,CNAME,NOERROR,155,4.6948,True,0.9814,2026-08-27T14:15:10.274605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 7, ""total_chunks"": 600, ""chunk_entropy"": 4.6948}"
dns_tunnel_08ab_0008,192.168.1.88,185.220.101.44,08ab.seq008.knpugusfircu4vcjifgfgx2dj5hemskeivhfiskbjrpustsuivja.tunnel.c2exfil-network.org,A,NOERROR,155,4.7245,True,0.9203,2026-08-27T14:15:10.336605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 8, ""total_chunks"": 600, ""chunk_entropy"": 4.7245}"
dns_tunnel_08ab_0009,192.168.1.88,185.220.101.44,08ab.seq009.jzauyx2eijpuivknkbpviqkcjrcv6vktivjfgx2dkjcuirkokreq.tunnel.c2exfil-network.org,TXT,NOERROR,347,4.6838,True,0.9592,2026-08-27T14:15:10.421605+00:00,"{""tool"": ""dnscat2_emulator"", ""session_id"": ""08ab"", ""seq_num"": 9, ""total_chunks"": 600, ""chunk_entropy"": 4.6838}"
