flow_id,src_ip,dst_ip,src_port,dst_port,protocol,duration,bytes_in,bytes_out,pkts_in,pkts_out,tcp_flags,flow_rate_bps,packet_rate_pps,entropy,ja3_hash,is_attack,attack_type,timestamp,metadata
flow_vscan_0001,185.220.101.15,10.0.10.5,50001,1,TCP,0.0041,0,44,0,1,SYN-RST,171707.32,487.8,1.5,,True,PORT_SCAN_VERTICAL,2026-08-25T14:51:46.540930+00:00,"{""scan_type"": ""VERTICAL"", ""scanned_port"": 1, ""target_open"": false}"
flow_vscan_0002,185.220.101.15,10.0.10.5,50002,2,TCP,0.0044,0,44,0,1,SYN-RST,160000.0,454.55,1.5,,True,PORT_SCAN_VERTICAL,2026-08-25T14:51:46.560930+00:00,"{""scan_type"": ""VERTICAL"", ""scanned_port"": 2, ""target_open"": false}"
flow_vscan_0003,185.220.101.15,10.0.10.5,50003,3,TCP,0.0082,0,44,0,1,SYN-RST,85853.66,243.9,1.5,,True,PORT_SCAN_VERTICAL,2026-08-25T14:51:46.573930+00:00,"{""scan_type"": ""VERTICAL"", ""scanned_port"": 3, ""target_open"": false}"
flow_vscan_0004,185.220.101.15,10.0.10.5,50004,4,TCP,0.004,0,44,0,1,SYN-RST,176000.0,500.0,1.5,,True,PORT_SCAN_VERTICAL,2026-08-25T14:51:46.598930+00:00,"{""scan_type"": ""VERTICAL"", ""scanned_port"": 4, ""target_open"": false}"
flow_vscan_0005,185.220.101.15,10.0.10.5,50005,5,TCP,0.0032,0,44,0,1,SYN-RST,220000.0,625.0,1.5,,True,PORT_SCAN_VERTICAL,2026-08-25T14:51:46.605930+00:00,"{""scan_type"": ""VERTICAL"", ""scanned_port"": 5, ""target_open"": false}"
flow_vscan_0006,185.220.101.15,10.0.10.5,50006,6,TCP,0.008,0,44,0,1,SYN-RST,88000.0,250.0,1.5,,True,PORT_SCAN_VERTICAL,2026-08-25T14:51:46.626930+00:00,"{""scan_type"": ""VERTICAL"", ""scanned_port"": 6, ""target_open"": false}"
flow_vscan_0007,185.220.101.15,10.0.10.5,50007,7,TCP,0.0057,0,44,0,1,SYN-RST,123508.77,350.88,1.5,,True,PORT_SCAN_VERTICAL,2026-08-25T14:51:46.646930+00:00,"{""scan_type"": ""VERTICAL"", ""scanned_port"": 7, ""target_open"": false}"
flow_vscan_0008,185.220.101.15,10.0.10.5,50008,8,TCP,0.0048,0,44,0,1,SYN-RST,146666.67,416.67,1.5,,True,PORT_SCAN_VERTICAL,2026-08-25T14:51:46.657930+00:00,"{""scan_type"": ""VERTICAL"", ""scanned_port"": 8, ""target_open"": false}"
flow_vscan_0009,185.220.101.15,10.0.10.5,50009,9,TCP,0.0099,0,44,0,1,SYN-RST,71111.11,202.02,1.5,,True,PORT_SCAN_VERTICAL,2026-08-25T14:51:46.677930+00:00,"{""scan_type"": ""VERTICAL"", ""scanned_port"": 9, ""target_open"": false}"
flow_vscan_0010,185.220.101.15,10.0.10.5,50010,10,TCP,0.0061,0,44,0,1,SYN-RST,115409.84,327.87,1.5,,True,PORT_SCAN_VERTICAL,2026-08-25T14:51:46.702930+00:00,"{""scan_type"": ""VERTICAL"", ""scanned_port"": 10, ""target_open"": false}"
flow_vscan_0011,185.220.101.15,10.0.10.5,50011,11,TCP,0.0067,0,44,0,1,SYN-RST,105074.63,298.51,1.5,,True,PORT_SCAN_VERTICAL,2026-08-25T14:51:46.711930+00:00,"{""scan_type"": ""VERTICAL"", ""scanned_port"": 11, ""target_open"": false}"
flow_vscan_0012,185.220.101.15,10.0.10.5,50012,12,TCP,0.007,0,44,0,1,SYN-RST,100571.43,285.71,1.5,,True,PORT_SCAN_VERTICAL,2026-08-25T14:51:46.731930+00:00,"{""scan_type"": ""VERTICAL"", ""scanned_port"": 12, ""target_open"": false}"
flow_vscan_0013,185.220.101.15,10.0.10.5,50013,13,TCP,0.0038,0,44,0,1,SYN-RST,185263.16,526.32,1.5,,True,PORT_SCAN_VERTICAL,2026-08-25T14:51:46.737930+00:00,"{""scan_type"": ""VERTICAL"", ""scanned_port"": 13, ""target_open"": false}"
