src_ip,dst_ip,unique_dst_ports,scan_duration_s,is_attack
194.26.29.112,10.0.0.6,19214,34.74,True
192.168.1.90,10.0.10.20,435,1.76,True
192.168.1.124,10.0.0.5,1,1.65,False
192.168.1.90,10.0.20.50,151,25.61,True
192.168.1.36,10.0.0.7,1,1.83,False
192.168.1.26,10.0.0.7,2,2.4,False
192.168.1.90,10.0.0.8,162,0.54,True
192.168.1.75,10.0.10.20,1,1.9,False
45.154.255.88,10.0.20.50,40716,12.68,True
192.168.1.11,10.0.0.7,2,1.38,False
192.168.1.103,10.0.0.8,2,2.05,False
192.168.1.98,10.0.0.6,2,2.16,False
192.168.1.90,10.0.20.50,2,0.22,False
192.168.1.187,10.0.0.6,5,2.0,False
192.168.1.90,10.0.0.5,139,0.58,True
194.26.29.112,10.0.10.20,958,3.11,True
185.220.101.15,10.0.0.8,932,5.55,True
192.168.1.69,10.0.20.50,3,1.65,False
192.168.1.90,10.0.0.7,131,0.89,True
194.26.29.112,10.0.10.20,233,46.71,True
192.168.1.90,10.0.0.7,59143,21.97,True
185.220.101.15,10.0.0.7,261,1.9,True
45.154.255.88,10.0.0.5,51544,15.68,True
192.168.1.68,10.0.0.7,1,0.35,False
192.168.1.165,10.0.10.20,1,1.74,False
192.168.1.220,10.0.0.7,2,1.86,False
192.168.1.77,10.0.10.20,254,1.84,True
192.168.1.119,10.0.0.6,1,1.97,False
192.168.1.46,10.0.0.5,1,0.86,False
192.168.1.170,10.0.0.8,4,0.49,False
192.168.1.83,10.0.0.7,1,1.53,False
194.26.29.112,10.0.20.50,1000,2.96,True
192.168.1.88,10.0.10.20,1,1.18,False
192.168.1.99,10.0.0.5,4,1.72,False
192.168.1.87,10.0.10.20,4,0.57,False
192.168.1.96,10.0.0.8,2,1.83,False
192.168.1.41,10.0.20.50,2,1.96,False
185.220.101.15,10.0.10.20,119,35.69,True
185.220.101.15,10.0.0.6,39317,28.65,True
185.220.101.15,10.0.0.8,10832,24.75,True
192.168.1.77,10.0.0.7,184,41.14,True
192.168.1.69,10.0.0.8,3,0.31,False
194.26.29.112,10.0.0.6,437,1.3,True
192.168.1.77,10.0.0.6,15182,19.52,True
45.154.255.88,10.0.0.7,889,5.32,True
91.108.4.182,10.0.10.20,10553,25.42,True
192.168.1.90,10.0.0.5,323,1.13,True
192.168.1.79,10.0.0.8,1,0.13,False
192.168.1.165,10.0.0.5,3,1.81,False
185.220.101.15,10.0.0.6,199,43.9,True
45.154.255.88,10.0.0.8,35029,13.14,True
185.220.101.15,10.0.20.50,33259,9.26,True
192.168.1.145,10.0.0.8,2,1.13,False
45.154.255.88,10.0.20.50,299,1.61,True
45.154.255.88,10.0.0.8,18430,12.88,True
192.168.1.170,10.0.10.20,3,1.65,False
192.168.1.41,10.0.0.5,2,1.3,False
192.168.1.201,10.0.0.5,2,1.63,False
192.168.1.90,10.0.0.7,954,4.6,True
192.168.1.82,10.0.0.6,1,1.27,False
192.168.1.90,10.0.0.5,151,33.64,True
192.168.1.26,10.0.0.8,1,2.04,False
185.220.101.15,10.0.10.20,399,0.79,True
192.168.1.154,10.0.0.7,2,0.89,False
45.154.255.88,10.0.0.5,61066,16.52,True
192.168.1.35,10.0.10.20,2,0.91,False
91.108.4.182,10.0.20.50,426,0.84,True
192.168.1.127,10.0.0.8,2,1.44,False
192.168.1.63,10.0.20.50,1,0.26,False
192.168.1.163,10.0.0.6,1,0.25,False
192.168.1.90,10.0.0.8,393,0.65,True
192.168.1.26,10.0.0.8,3,1.69,False
192.168.1.90,10.0.0.5,113,50.42,True
192.168.1.69,10.0.0.7,2,1.85,False
192.168.1.192,10.0.0.7,5,1.08,False
192.168.1.11,10.0.10.20,1,1.96,False
192.168.1.210,10.0.0.7,2,1.84,False
45.154.255.88,10.0.20.50,28716,32.82,True
192.168.1.77,10.0.0.6,399,0.88,True
91.108.4.182,10.0.0.7,145,39.24,True
192.168.1.90,10.0.0.8,236,1.91,True
192.168.1.167,10.0.20.50,2,1.97,False
91.108.4.182,10.0.10.20,12360,22.24,True
45.154.255.88,10.0.10.20,85,20.67,True
192.168.1.162,10.0.10.20,1,2.05,False
192.168.1.141,10.0.10.20,2,1.92,False
192.168.1.77,10.0.10.20,967,5.09,True
192.168.1.218,10.0.20.50,2,2.4,False
45.154.255.88,10.0.0.5,198,1.68,True
192.168.1.37,10.0.0.7,4,1.27,False
192.168.1.77,10.0.0.5,498,1.62,True
192.168.1.15,10.0.20.50,4,0.5,False
192.168.1.144,10.0.20.50,5,2.4,False
192.168.1.77,10.0.20.50,1000,3.35,True
192.168.1.27,10.0.0.8,5,2.48,False
91.108.4.182,10.0.0.5,82,35.51,True
192.168.1.16,10.0.0.7,4,2.02,False
192.168.1.77,10.0.0.8,243,18.67,True
192.168.1.154,10.0.20.50,1,1.02,False
192.168.1.127,10.0.20.50,1,1.61,False
194.26.29.112,10.0.10.20,935,2.63,True
185.220.101.15,10.0.0.5,80,21.48,True
45.154.255.88,10.0.10.20,128,34.62,True
192.168.1.90,10.0.20.50,137,19.82,True
185.220.101.15,10.0.10.20,234,25.91,True
192.168.1.90,10.0.10.20,959,3.82,True
91.108.4.182,10.0.10.20,51329,8.54,True
45.154.255.88,10.0.0.6,196,44.09,True
91.108.4.182,10.0.0.8,872,4.88,True
192.168.1.90,10.0.20.50,156,44.01,True
185.220.101.15,10.0.0.6,19491,21.8,True
192.168.1.47,10.0.0.7,1,1.42,False
192.168.1.139,10.0.0.7,2,1.12,False
194.26.29.112,10.0.0.5,315,1.93,True
192.168.1.182,10.0.0.8,2,0.45,False
192.168.1.115,10.0.20.50,2,0.06,False
192.168.1.90,10.0.0.5,21623,14.79,True
192.168.1.73,10.0.20.50,2,2.35,False
192.168.1.208,10.0.0.7,1,0.34,False
185.220.101.15,10.0.20.50,432,1.29,True
192.168.1.51,10.0.0.6,1,1.62,False
192.168.1.183,10.0.0.5,1,2.3,False
194.26.29.112,10.0.0.5,245,58.3,True
192.168.1.18,10.0.0.5,5,0.73,False
192.168.1.77,10.0.0.5,48499,18.08,True
192.168.1.43,10.0.20.50,6,1.28,False
194.26.29.112,10.0.0.7,192,43.72,True
194.26.29.112,10.0.0.8,966,4.06,True
194.26.29.112,10.0.0.5,105,0.96,True
192.168.1.178,10.0.0.7,2,1.7,False
45.154.255.88,10.0.0.5,45860,27.17,True
91.108.4.182,10.0.0.6,33715,20.36,True
194.26.29.112,10.0.0.8,983,5.29,True
192.168.1.109,10.0.0.8,1,1.07,False
192.168.1.85,10.0.0.5,1,0.78,False
192.168.1.118,10.0.0.6,1,2.3,False
192.168.1.44,10.0.0.6,1,0.74,False
192.168.1.213,10.0.0.6,3,1.63,False
192.168.1.171,10.0.0.5,1,0.75,False
192.168.1.90,10.0.20.50,11708,25.07,True
194.26.29.112,10.0.20.50,878,5.01,True
185.220.101.15,10.0.0.8,148,19.28,True
192.168.1.127,10.0.0.5,1,1.75,False
185.220.101.15,10.0.0.5,157,53.38,True
192.168.1.185,10.0.0.5,3,0.82,False
192.168.1.111,10.0.0.5,1,0.55,False
45.154.255.88,10.0.0.7,253,1.46,True
192.168.1.100,10.0.20.50,5,0.1,False
192.168.1.77,10.0.10.20,460,1.19,True
192.168.1.124,10.0.0.8,2,2.37,False
192.168.1.77,10.0.0.6,45849,11.3,True
192.168.1.90,10.0.0.7,431,0.71,True
192.168.1.77,10.0.10.20,26120,31.55,True
91.108.4.182,10.0.0.8,932,4.76,True
91.108.4.182,10.0.10.20,19754,23.23,True
91.108.4.182,10.0.0.5,963,2.92,True
185.220.101.15,10.0.10.20,887,4.51,True
192.168.1.77,10.0.0.6,61796,27.01,True
192.168.1.183,10.0.0.5,1,0.28,False
192.168.1.40,10.0.20.50,3,2.3,False
192.168.1.77,10.0.0.5,350,1.95,True
192.168.1.77,10.0.0.5,872,2.68,True
192.168.1.182,10.0.20.50,1,2.4,False
185.220.101.15,10.0.10.20,232,45.85,True
185.220.101.15,10.0.0.6,13598,8.07,True
45.154.255.88,10.0.0.7,6840,10.39,True
192.168.1.90,10.0.0.7,4,0.25,False
192.168.1.40,10.0.20.50,3,1.07,False
91.108.4.182,10.0.0.8,86,52.39,True
192.168.1.135,10.0.10.20,1,2.38,False
