flow_id,src_ip,dst_ip,src_port,dst_port,protocol,duration,bytes_in,bytes_out,pkts_in,pkts_out,tcp_flags,flow_rate_bps,packet_rate_pps,entropy,ja3_hash,is_attack,attack_type,timestamp,metadata
flow_slowloris_000001,185.220.101.99,10.0.10.5,40000,80,TCP,267.48,6,157,2,25,PSH-ACK,4.7,0.0561,2.5377,,True,DOS_SLOWLORIS,2026-08-25T15:16:46.546437+00:00,"{""attack_vector"": ""SLOWLORIS"", ""connection_hold_sec"": 267.48}"
flow_slowloris_000002,185.220.101.99,10.0.10.5,40001,80,TCP,261.3,20,175,4,11,PSH-ACK,5.36,0.0574,2.3965,,True,DOS_SLOWLORIS,2026-08-25T15:16:46.630437+00:00,"{""attack_vector"": ""SLOWLORIS"", ""connection_hold_sec"": 261.3}"
flow_slowloris_000003,185.220.101.99,10.0.10.5,40002,80,TCP,223.56,38,204,2,12,PSH-ACK,7.3,0.0671,2.3874,,True,DOS_SLOWLORIS,2026-08-25T15:16:46.713437+00:00,"{""attack_vector"": ""SLOWLORIS"", ""connection_hold_sec"": 223.56}"
flow_slowloris_000004,185.220.101.99,10.0.10.5,40003,80,TCP,125.87,2,181,2,15,PSH-ACK,11.5,0.1192,2.8605,,True,DOS_SLOWLORIS,2026-08-25T15:16:46.802437+00:00,"{""attack_vector"": ""SLOWLORIS"", ""connection_hold_sec"": 125.87}"
flow_slowloris_000005,185.220.101.99,10.0.10.5,40004,80,TCP,93.17,24,144,2,22,PSH-ACK,12.36,0.161,2.6791,,True,DOS_SLOWLORIS,2026-08-25T15:16:46.866437+00:00,"{""attack_vector"": ""SLOWLORIS"", ""connection_hold_sec"": 93.17}"
flow_slowloris_000006,185.220.101.99,10.0.10.5,40005,80,TCP,204.36,33,161,2,18,PSH-ACK,6.3,0.0734,2.1675,,True,DOS_SLOWLORIS,2026-08-25T15:16:46.959437+00:00,"{""attack_vector"": ""SLOWLORIS"", ""connection_hold_sec"": 204.36}"
flow_slowloris_000007,185.220.101.99,10.0.10.5,40006,80,TCP,265.6,12,265,2,18,PSH-ACK,7.98,0.0565,2.3533,,True,DOS_SLOWLORIS,2026-08-25T15:16:47.159437+00:00,"{""attack_vector"": ""SLOWLORIS"", ""connection_hold_sec"": 265.6}"
flow_slowloris_000008,185.220.101.99,10.0.10.5,40007,80,TCP,216.87,14,217,4,21,PSH-ACK,8.0,0.0692,2.3022,,True,DOS_SLOWLORIS,2026-08-25T15:16:47.250437+00:00,"{""attack_vector"": ""SLOWLORIS"", ""connection_hold_sec"": 216.87}"
flow_slowloris_000009,185.220.101.99,10.0.10.5,40008,80,TCP,277.8,35,252,4,23,PSH-ACK,7.26,0.054,2.9798,,True,DOS_SLOWLORIS,2026-08-25T15:16:47.371437+00:00,"{""attack_vector"": ""SLOWLORIS"", ""connection_hold_sec"": 277.8}"
flow_slowloris_000010,185.220.101.99,10.0.10.5,40009,80,TCP,101.76,76,257,4,22,PSH-ACK,20.2,0.1474,2.738,,True,DOS_SLOWLORIS,2026-08-25T15:16:47.494437+00:00,"{""attack_vector"": ""SLOWLORIS"", ""connection_hold_sec"": 101.76}"
