flow_id,src_ip,dst_ip,src_port,dst_port,protocol,pkts_in,bytes_in,duration,entropy,is_attack,attack_type
f0638,45.33.12.227,10.0.0.5,80,61916,TCP,46356,2048250,0.8,0.09,True,syn_flood
f0814,45.33.12.207,10.0.0.5,80,63532,TCP,42593,1913875,0.84,0.09,True,syn_flood
f0742,45.33.12.220,10.0.0.5,80,60373,TCP,46242,1991204,0.71,0.13,True,syn_flood
f0948,45.33.12.248,10.0.0.5,80,61198,TCP,46676,2051571,0.79,0.1,True,syn_flood
f0926,45.33.12.225,10.0.0.5,80,64660,TCP,45001,1944783,1.06,0.14,True,syn_flood
f0837,45.33.12.207,10.0.0.5,80,64288,TCP,44088,1981511,1.12,0.11,True,syn_flood
f0903,45.33.12.218,10.0.0.5,80,63657,TCP,47021,2082469,0.87,0.09,True,syn_flood
f0853,45.33.12.204,10.0.0.5,80,64022,TCP,45569,1987797,1.14,0.14,True,syn_flood
f0625,45.33.12.209,10.0.0.5,80,62062,TCP,44053,1976577,1.19,0.12,True,syn_flood
f0793,45.33.12.229,10.0.0.5,80,62955,TCP,47110,2074356,0.93,0.1,True,syn_flood
f0884,45.33.12.238,10.0.0.5,80,61737,TCP,44757,1962596,0.81,0.13,True,syn_flood
f0959,45.33.12.227,10.0.0.5,80,65092,TCP,47536,2130475,0.88,0.11,True,syn_flood
f0653,45.33.12.221,10.0.0.5,80,62757,TCP,44276,1970127,0.78,0.1,True,syn_flood
f0873,45.33.12.207,10.0.0.5,80,63540,TCP,47672,2061591,1.01,0.11,True,syn_flood
f0797,45.33.12.232,10.0.0.5,80,65122,TCP,42997,1930291,1.17,0.08,True,syn_flood
f0876,45.33.12.207,10.0.0.5,80,63975,TCP,44326,1918197,0.96,0.1,True,syn_flood
f0842,45.33.12.233,10.0.0.5,80,61304,TCP,43117,1871705,0.81,0.13,True,syn_flood
f0759,45.33.12.233,10.0.0.5,80,62118,TCP,44434,1932570,1.02,0.11,True,syn_flood
f0938,45.33.12.205,10.0.0.5,80,65464,TCP,46965,2033850,1.0,0.1,True,syn_flood
f0689,45.33.12.221,10.0.0.5,80,64106,TCP,42318,1842941,0.76,0.1,True,syn_flood
f0690,45.33.12.247,10.0.0.5,80,63737,TCP,45357,2034659,1.1,0.09,True,syn_flood
f0930,45.33.12.236,10.0.0.5,80,61308,TCP,44228,1947432,1.02,0.09,True,syn_flood
f0680,45.33.12.236,10.0.0.5,80,62485,TCP,43920,1918094,0.87,0.12,True,syn_flood
f0869,45.33.12.227,10.0.0.5,80,62027,TCP,44859,2015862,1.18,0.13,True,syn_flood
f0880,45.33.12.206,10.0.0.5,80,61053,TCP,42073,1824947,1.18,0.11,True,syn_flood
f0889,45.33.12.231,10.0.0.5,80,62293,TCP,46335,2019976,1.08,0.1,True,syn_flood
f0870,45.33.12.236,10.0.0.5,80,62911,TCP,47382,2130958,1.1,0.11,True,syn_flood
f0740,45.33.12.203,10.0.0.5,80,61689,TCP,46547,2036006,0.81,0.1,True,syn_flood
f0603,45.33.12.202,10.0.0.5,80,64975,TCP,42874,1885393,0.9,0.1,True,syn_flood
f0789,45.33.12.230,10.0.0.5,80,60699,TCP,45867,1986109,0.71,0.12,True,syn_flood
f0921,45.33.12.226,10.0.0.5,80,65224,TCP,45788,2028795,0.82,0.1,True,syn_flood
f0940,45.33.12.212,10.0.0.5,80,64943,TCP,45543,2020002,1.03,0.13,True,syn_flood
f0739,45.33.12.212,10.0.0.5,80,62845,TCP,44547,2001718,0.79,0.09,True,syn_flood
f0834,45.33.12.240,10.0.0.5,80,63125,TCP,43613,1909160,0.92,0.12,True,syn_flood
f0817,45.33.12.222,10.0.0.5,80,60559,TCP,44398,1912601,1.01,0.09,True,syn_flood
f0773,45.33.12.250,10.0.0.5,80,62235,TCP,45623,2032946,1.15,0.11,True,syn_flood
f0956,45.33.12.233,10.0.0.5,80,64274,TCP,46113,2057908,0.89,0.12,True,syn_flood
f0674,45.33.12.240,10.0.0.5,80,61569,TCP,47197,2081402,0.97,0.12,True,syn_flood
f0954,45.33.12.247,10.0.0.5,80,63164,TCP,44895,1939475,1.18,0.12,True,syn_flood
f0721,45.33.12.224,10.0.0.5,80,63044,TCP,44027,1900534,0.83,0.1,True,syn_flood
f0767,45.33.12.217,10.0.0.5,80,60249,TCP,45897,2009137,0.93,0.14,True,syn_flood
f0955,45.33.12.225,10.0.0.5,80,61382,TCP,42712,1883329,1.19,0.13,True,syn_flood
f0937,45.33.12.242,10.0.0.5,80,61558,TCP,44963,1990815,0.77,0.13,True,syn_flood
f0676,45.33.12.241,10.0.0.5,80,62550,TCP,43717,1937951,1.18,0.1,True,syn_flood
f0699,45.33.12.229,10.0.0.5,80,64578,TCP,45835,2059232,0.74,0.1,True,syn_flood
f0947,45.33.12.227,10.0.0.5,80,61353,TCP,44678,1951123,0.79,0.13,True,syn_flood
f0684,45.33.12.231,10.0.0.5,80,64536,TCP,46914,2100923,0.98,0.11,True,syn_flood
f0698,45.33.12.208,10.0.0.5,80,60446,TCP,46231,2016967,0.91,0.11,True,syn_flood
f0806,45.33.12.218,10.0.0.5,80,60873,TCP,44423,1963920,0.8,0.11,True,syn_flood
f0621,45.33.12.250,10.0.0.5,80,61224,TCP,46724,2020696,1.15,0.1,True,syn_flood
f0736,45.33.12.248,10.0.0.5,80,62594,TCP,44254,1978243,0.86,0.09,True,syn_flood
f0871,45.33.12.204,10.0.0.5,80,63800,TCP,47821,2140967,0.97,0.12,True,syn_flood
f0913,45.33.12.228,10.0.0.5,80,63260,TCP,47173,2033757,1.01,0.09,True,syn_flood
f0857,45.33.12.238,10.0.0.5,80,64392,TCP,44963,1995668,0.91,0.12,True,syn_flood
f0642,45.33.12.247,10.0.0.5,80,60325,TCP,47332,2075648,0.71,0.13,True,syn_flood
f0707,45.33.12.231,10.0.0.5,80,64402,TCP,44417,1945689,1.04,0.1,True,syn_flood
f0729,45.33.12.241,10.0.0.5,80,64776,TCP,45106,1940602,0.75,0.12,True,syn_flood
f0713,45.33.12.218,10.0.0.5,80,61836,TCP,44673,1962327,0.72,0.1,True,syn_flood
f0809,45.33.12.223,10.0.0.5,80,64365,TCP,46617,2052149,1.12,0.14,True,syn_flood
f0644,45.33.12.215,10.0.0.5,80,60579,TCP,43892,1894297,1.01,0.1,True,syn_flood
f0928,45.33.12.240,10.0.0.5,80,61873,TCP,44680,1991751,0.71,0.13,True,syn_flood
f0952,45.33.12.216,10.0.0.5,80,65226,TCP,45829,1986855,1.09,0.12,True,syn_flood
f0828,45.33.12.220,10.0.0.5,80,63552,TCP,45323,1979561,0.79,0.12,True,syn_flood
f0614,45.33.12.200,10.0.0.5,80,60988,TCP,42991,1873075,0.78,0.1,True,syn_flood
f0748,45.33.12.208,10.0.0.5,80,63196,TCP,42071,1841576,0.97,0.11,True,syn_flood
f0900,45.33.12.204,10.0.0.5,80,62832,TCP,44181,1915620,1.05,0.13,True,syn_flood
f0733,45.33.12.207,10.0.0.5,80,63353,TCP,44175,1958699,0.86,0.11,True,syn_flood
f0810,45.33.12.205,10.0.0.5,80,60447,TCP,44577,1956619,1.01,0.14,True,syn_flood
f0657,45.33.12.214,10.0.0.5,80,63513,TCP,46887,2054655,0.85,0.09,True,syn_flood
f0673,45.33.12.204,10.0.0.5,80,63478,TCP,45667,1967840,0.96,0.14,True,syn_flood
f0854,45.33.12.231,10.0.0.5,80,64335,TCP,44979,1939676,0.99,0.11,True,syn_flood
f0922,45.33.12.222,10.0.0.5,80,65312,TCP,43774,1901561,1.06,0.13,True,syn_flood
f0813,45.33.12.230,10.0.0.5,80,60429,TCP,45686,2013653,1.15,0.09,True,syn_flood
f0636,45.33.12.222,10.0.0.5,80,62265,TCP,43184,1881410,0.93,0.14,True,syn_flood
f0661,45.33.12.243,10.0.0.5,80,61413,TCP,42323,1903946,0.8,0.14,True,syn_flood
f0601,45.33.12.216,10.0.0.5,80,65180,TCP,44928,1941640,0.79,0.09,True,syn_flood
f0790,45.33.12.248,10.0.0.5,80,62287,TCP,43283,1942867,0.76,0.12,True,syn_flood
f0951,45.33.12.246,10.0.0.5,80,62215,TCP,47878,2116757,0.78,0.14,True,syn_flood
f0960,45.33.12.219,10.0.0.5,80,62237,TCP,47794,2086113,1.1,0.09,True,syn_flood
f0788,45.33.12.238,10.0.0.5,80,60481,TCP,46304,2004905,0.97,0.08,True,syn_flood
f0764,45.33.12.218,10.0.0.5,80,65396,TCP,45675,2030266,1.06,0.11,True,syn_flood
f0606,45.33.12.238,10.0.0.5,80,60551,TCP,47986,2140522,0.77,0.1,True,syn_flood
f0716,45.33.12.216,10.0.0.5,80,61864,TCP,47564,2050944,0.81,0.13,True,syn_flood
f0934,45.33.12.203,10.0.0.5,80,61514,TCP,42574,1854927,1.17,0.1,True,syn_flood
f0646,45.33.12.246,10.0.0.5,80,60467,TCP,47331,2053329,0.82,0.12,True,syn_flood
f0808,45.33.12.235,10.0.0.5,80,63436,TCP,44100,1981735,0.92,0.13,True,syn_flood
f0663,45.33.12.241,10.0.0.5,80,64671,TCP,42517,1903642,1.14,0.13,True,syn_flood
f0844,45.33.12.218,10.0.0.5,80,62237,TCP,43733,1955841,0.77,0.12,True,syn_flood
f0731,45.33.12.250,10.0.0.5,80,63585,TCP,47528,2073104,0.78,0.13,True,syn_flood
f0901,45.33.12.214,10.0.0.5,80,65214,TCP,42482,1906060,0.75,0.13,True,syn_flood
f0724,45.33.12.224,10.0.0.5,80,63842,TCP,44218,1918867,1.12,0.1,True,syn_flood
f0751,45.33.12.224,10.0.0.5,80,60169,TCP,44880,2010912,1.13,0.12,True,syn_flood
f0629,45.33.12.246,10.0.0.5,80,61621,TCP,45152,1944212,1.09,0.12,True,syn_flood
f0794,45.33.12.200,10.0.0.5,80,64512,TCP,45649,2034992,0.71,0.09,True,syn_flood
f0611,45.33.12.217,10.0.0.5,80,64126,TCP,47328,2061904,0.99,0.13,True,syn_flood
f0617,45.33.12.225,10.0.0.5,80,62981,TCP,47064,2115968,0.96,0.11,True,syn_flood
f0835,45.33.12.205,10.0.0.5,80,62930,TCP,43952,1934216,1.05,0.11,True,syn_flood
f0768,45.33.12.224,10.0.0.5,80,62755,TCP,47458,2066964,0.72,0.12,True,syn_flood
f0855,45.33.12.229,10.0.0.5,80,62953,TCP,43100,1904441,0.95,0.14,True,syn_flood
f0822,45.33.12.221,10.0.0.5,80,63750,TCP,43264,1934128,0.7,0.11,True,syn_flood
f0798,45.33.12.250,10.0.0.5,80,63969,TCP,46474,2037717,1.02,0.11,True,syn_flood
f0623,45.33.12.222,10.0.0.5,80,63298,TCP,42504,1871653,1.14,0.09,True,syn_flood
f0706,45.33.12.207,10.0.0.5,80,61423,TCP,47067,2053096,1.08,0.08,True,syn_flood
f0618,45.33.12.229,10.0.0.5,80,61528,TCP,47113,2053871,0.74,0.11,True,syn_flood
f0867,45.33.12.234,10.0.0.5,80,61636,TCP,44599,1924255,0.93,0.11,True,syn_flood
f0630,45.33.12.248,10.0.0.5,80,64384,TCP,47339,2129578,1.17,0.12,True,syn_flood
f0777,45.33.12.208,10.0.0.5,80,63107,TCP,42653,1904445,0.87,0.08,True,syn_flood
f0946,45.33.12.201,10.0.0.5,80,64336,TCP,43300,1938003,1.07,0.13,True,syn_flood
f0950,45.33.12.226,10.0.0.5,80,64426,TCP,45996,2000370,1.17,0.12,True,syn_flood
f0859,45.33.12.226,10.0.0.5,80,63537,TCP,42284,1823430,1.1,0.09,True,syn_flood
f0958,45.33.12.250,10.0.0.5,80,65324,TCP,44087,1974171,1.08,0.12,True,syn_flood
f0953,45.33.12.206,10.0.0.5,80,60376,TCP,44059,1971661,1.19,0.1,True,syn_flood
f0847,45.33.12.226,10.0.0.5,80,64489,TCP,47324,2100781,0.9,0.1,True,syn_flood
f0885,45.33.12.246,10.0.0.5,80,61077,TCP,47555,2078420,0.96,0.1,True,syn_flood
f0945,45.33.12.226,10.0.0.5,80,64141,TCP,47570,2137582,1.02,0.09,True,syn_flood
f0819,45.33.12.249,10.0.0.5,80,61806,TCP,47711,2137716,0.77,0.08,True,syn_flood
f0634,45.33.12.202,10.0.0.5,80,63034,TCP,47637,2053322,0.82,0.09,True,syn_flood
f0719,45.33.12.243,10.0.0.5,80,61569,TCP,45826,1972564,1.13,0.09,True,syn_flood
f0704,45.33.12.206,10.0.0.5,80,60256,TCP,43349,1919870,1.15,0.09,True,syn_flood
f0709,45.33.12.216,10.0.0.5,80,62239,TCP,46521,2040180,0.94,0.11,True,syn_flood
f0815,45.33.12.209,10.0.0.5,80,62119,TCP,44178,1931141,1.03,0.11,True,syn_flood
f0818,45.33.12.211,10.0.0.5,80,63539,TCP,46169,2062646,0.89,0.13,True,syn_flood
f0919,45.33.12.218,10.0.0.5,80,63297,TCP,47287,2123880,1.17,0.13,True,syn_flood
f0620,45.33.12.217,10.0.0.5,80,65236,TCP,46969,2109062,1.16,0.1,True,syn_flood
f0666,45.33.12.213,10.0.0.5,80,60576,TCP,46762,2050337,1.08,0.11,True,syn_flood
f0765,45.33.12.209,10.0.0.5,80,62292,TCP,43177,1894559,0.75,0.09,True,syn_flood
f0750,45.33.12.250,10.0.0.5,80,64607,TCP,44990,2006763,0.95,0.12,True,syn_flood
f0691,45.33.12.243,10.0.0.5,80,60250,TCP,47932,2082486,0.76,0.11,True,syn_flood
f0941,45.33.12.242,10.0.0.5,80,65376,TCP,42445,1903331,0.93,0.14,True,syn_flood
f0821,45.33.12.211,10.0.0.5,80,60592,TCP,46065,1991648,0.88,0.13,True,syn_flood
f0827,45.33.12.215,10.0.0.5,80,65217,TCP,42252,1833921,1.16,0.08,True,syn_flood
f0693,45.33.12.231,10.0.0.5,80,62613,TCP,44031,1948493,1.1,0.1,True,syn_flood
f0610,45.33.12.241,10.0.0.5,80,60840,TCP,43460,1883572,1.11,0.13,True,syn_flood
f0607,45.33.12.235,10.0.0.5,80,60954,TCP,44693,2002674,1.05,0.13,True,syn_flood
f0660,45.33.12.232,10.0.0.5,80,63818,TCP,43943,1912470,0.91,0.12,True,syn_flood
f0902,45.33.12.247,10.0.0.5,80,64420,TCP,44044,1944048,0.92,0.11,True,syn_flood
f0711,45.33.12.207,10.0.0.5,80,60128,TCP,47699,2075742,0.97,0.11,True,syn_flood
f0728,45.33.12.208,10.0.0.5,80,60227,TCP,42930,1896808,1.16,0.08,True,syn_flood
f0613,45.33.12.212,10.0.0.5,80,64755,TCP,44964,1995805,0.9,0.11,True,syn_flood
f0865,45.33.12.212,10.0.0.5,80,63375,TCP,43257,1909321,0.75,0.08,True,syn_flood
f0650,45.33.12.226,10.0.0.5,80,61026,TCP,44838,1968932,0.95,0.12,True,syn_flood
f0714,45.33.12.242,10.0.0.5,80,63466,TCP,42238,1855395,0.77,0.13,True,syn_flood
f0914,45.33.12.203,10.0.0.5,80,65138,TCP,47880,2106741,0.86,0.11,True,syn_flood
f0920,45.33.12.242,10.0.0.5,80,62531,TCP,45028,1985872,0.76,0.09,True,syn_flood
f0662,45.33.12.205,10.0.0.5,80,63615,TCP,43773,1937681,0.97,0.09,True,syn_flood
f0632,45.33.12.231,10.0.0.5,80,63987,TCP,44477,1917119,0.97,0.13,True,syn_flood
f0658,45.33.12.221,10.0.0.5,80,60249,TCP,43879,1922067,0.88,0.12,True,syn_flood
f0615,45.33.12.202,10.0.0.5,80,61246,TCP,43329,1934275,0.72,0.11,True,syn_flood
f0643,45.33.12.229,10.0.0.5,80,65328,TCP,44246,1918563,1.14,0.1,True,syn_flood
f0811,45.33.12.209,10.0.0.5,80,63512,TCP,45238,2003647,1.17,0.11,True,syn_flood
f0910,45.33.12.217,10.0.0.5,80,62376,TCP,44059,1911243,0.83,0.09,True,syn_flood
f0655,45.33.12.213,10.0.0.5,80,65402,TCP,47016,2028018,0.85,0.11,True,syn_flood
f0823,45.33.12.207,10.0.0.5,80,63009,TCP,47404,2086339,0.99,0.13,True,syn_flood
f0861,45.33.12.236,10.0.0.5,80,61958,TCP,44024,1897928,0.74,0.12,True,syn_flood
f0670,45.33.12.219,10.0.0.5,80,64482,TCP,42782,1883214,0.71,0.12,True,syn_flood
f0783,45.33.12.203,10.0.0.5,80,63901,TCP,43818,1886831,1.1,0.14,True,syn_flood
f0792,45.33.12.220,10.0.0.5,80,65084,TCP,45387,2021757,0.77,0.09,True,syn_flood
f0675,45.33.12.230,10.0.0.5,80,60088,TCP,43505,1936798,0.84,0.12,True,syn_flood
f0787,45.33.12.244,10.0.0.5,80,60219,TCP,47487,2128599,0.89,0.12,True,syn_flood
f0743,45.33.12.240,10.0.0.5,80,63695,TCP,46072,2047077,0.95,0.12,True,syn_flood
f0756,45.33.12.250,10.0.0.5,80,60853,TCP,46617,2017893,1.18,0.1,True,syn_flood
f0631,45.33.12.225,10.0.0.5,80,63848,TCP,46042,2038720,1.15,0.11,True,syn_flood
f0897,45.33.12.218,10.0.0.5,80,63835,TCP,43845,1914935,0.85,0.14,True,syn_flood
f0933,45.33.12.202,10.0.0.5,80,62236,TCP,45712,2024234,0.81,0.1,True,syn_flood
f0635,45.33.12.238,10.0.0.5,80,64039,TCP,42598,1833304,1.04,0.13,True,syn_flood
f0692,45.33.12.219,10.0.0.5,80,60328,TCP,46084,2070262,0.99,0.1,True,syn_flood
f0744,45.33.12.208,10.0.0.5,80,62933,TCP,43735,1912156,1.09,0.13,True,syn_flood
f0939,45.33.12.201,10.0.0.5,80,63775,TCP,44503,1964163,1.15,0.11,True,syn_flood
f0856,45.33.12.204,10.0.0.5,80,64538,TCP,44450,1977171,0.77,0.08,True,syn_flood
f0936,45.33.12.239,10.0.0.5,80,61640,TCP,43271,1876138,0.98,0.09,True,syn_flood
f0877,45.33.12.238,10.0.0.5,80,60398,TCP,46832,2056634,0.92,0.11,True,syn_flood
f0645,45.33.12.243,10.0.0.5,80,60662,TCP,42660,1896276,1.04,0.12,True,syn_flood
f0758,45.33.12.247,10.0.0.5,80,64788,TCP,43782,1894157,0.73,0.13,True,syn_flood
f0726,45.33.12.242,10.0.0.5,80,61268,TCP,43720,1913182,0.86,0.13,True,syn_flood
f0702,45.33.12.237,10.0.0.5,80,63384,TCP,42295,1856765,1.17,0.11,True,syn_flood
f0776,45.33.12.237,10.0.0.5,80,61532,TCP,46260,2078312,1.0,0.13,True,syn_flood
f0795,45.33.12.238,10.0.0.5,80,62318,TCP,46307,2041067,1.1,0.13,True,syn_flood
f0932,45.33.12.246,10.0.0.5,80,61621,TCP,44892,1973448,0.99,0.1,True,syn_flood
f0843,45.33.12.244,10.0.0.5,80,61006,TCP,43004,1876182,1.09,0.08,True,syn_flood
f0628,45.33.12.228,10.0.0.5,80,63883,TCP,43301,1882878,0.91,0.13,True,syn_flood
f0826,45.33.12.202,10.0.0.5,80,61683,TCP,46023,2053656,0.81,0.12,True,syn_flood
f0829,45.33.12.238,10.0.0.5,80,63635,TCP,47998,2153786,0.83,0.13,True,syn_flood
