flow_id,src_ip,dst_ip,src_port,dst_port,protocol,pkts_in,bytes_in,duration,entropy,is_attack,attack_type
f1175,198.18.0.100,10.0.0.5,53,63384,UDP,92257,55867722,0.86,0.11,True,udp_amplification
f1012,198.18.0.91,10.0.0.5,53,63668,UDP,81467,45739397,1.28,0.11,True,udp_amplification
f0983,198.18.0.102,10.0.0.5,53,65456,UDP,90510,50502973,1.22,0.08,True,udp_amplification
f1102,198.18.0.105,10.0.0.5,53,63072,UDP,81133,48639364,0.9,0.12,True,udp_amplification
f1135,198.18.0.94,10.0.0.5,53,61951,UDP,84803,52568580,1.02,0.11,True,udp_amplification
f1142,198.18.0.90,10.0.0.5,53,60469,UDP,94806,52438362,0.86,0.1,True,udp_amplification
f1001,198.18.0.100,10.0.0.5,53,64177,UDP,87364,50451769,1.13,0.11,True,udp_amplification
f0978,198.18.0.104,10.0.0.5,53,65131,UDP,91776,53642788,1.02,0.08,True,udp_amplification
f1140,198.18.0.91,10.0.0.5,53,65046,UDP,82046,50255662,0.95,0.09,True,udp_amplification
f1014,198.18.0.91,10.0.0.5,53,61018,UDP,84037,49411118,1.13,0.08,True,udp_amplification
f1029,198.18.0.94,10.0.0.5,53,63726,UDP,85051,51337238,0.94,0.08,True,udp_amplification
f1022,198.18.0.109,10.0.0.5,53,62894,UDP,82227,47081673,0.89,0.08,True,udp_amplification
f1023,198.18.0.106,10.0.0.5,53,64620,UDP,90422,53454224,1.14,0.1,True,udp_amplification
f0963,198.18.0.94,10.0.0.5,53,65287,UDP,92143,51908112,1.03,0.1,True,udp_amplification
f1137,198.18.0.106,10.0.0.5,53,63077,UDP,84966,51923705,1.29,0.11,True,udp_amplification
f1051,198.18.0.108,10.0.0.5,53,61453,UDP,93057,54627460,1.23,0.09,True,udp_amplification
f1172,198.18.0.91,10.0.0.5,53,61778,UDP,93113,51635059,1.2,0.11,True,udp_amplification
f1004,198.18.0.107,10.0.0.5,53,61935,UDP,88986,50109607,0.81,0.11,True,udp_amplification
f1152,198.18.0.108,10.0.0.5,53,62470,UDP,91097,52758645,1.23,0.09,True,udp_amplification
f0987,198.18.0.101,10.0.0.5,53,62376,UDP,81446,46050951,0.85,0.09,True,udp_amplification
f1006,198.18.0.107,10.0.0.5,53,60254,UDP,84188,46466572,1.25,0.11,True,udp_amplification
f0999,198.18.0.105,10.0.0.5,53,60405,UDP,92806,54269248,0.93,0.09,True,udp_amplification
f1106,198.18.0.96,10.0.0.5,53,63676,UDP,81248,45078531,1.1,0.1,True,udp_amplification
