query_id,client_ip,server_ip,query_name,query_type,response_code,payload_size_bytes,entropy,vowel_ratio,is_tunneling,tunneling_score,timestamp
dns_benign_00001,192.168.1.92,8.8.8.8,vmware.com,MX,NOERROR,163,3.1219,0.3333,False,0.015,2026-08-26T14:14:37.460640+00:00
dns_benign_00002,192.168.1.28,8.8.8.8,twitter.com,AAAA,NOERROR,138,3.0272,0.3,False,0.015,2026-08-26T14:14:37.720640+00:00
dns_benign_00003,192.168.1.219,8.8.8.8,paramountplus.com,AAAA,NOERROR,97,3.4992,0.375,False,0.015,2026-08-26T14:14:37.909640+00:00
dns_benign_00004,192.168.1.205,8.8.8.8,apple.com,A,NOERROR,55,2.9477,0.375,False,0.015,2026-08-26T14:14:38.055640+00:00
dns_benign_00005,192.168.1.246,8.8.8.8,bbc.com,AAAA,NOERROR,53,2.2359,0.1667,False,0.015,2026-08-26T14:14:38.280640+00:00
dns_benign_00006,192.168.1.39,8.8.8.8,imdb.com,AAAA,NOERROR,109,2.75,0.2857,False,0.015,2026-08-26T14:14:38.580640+00:00
dns_benign_00007,192.168.1.121,8.8.8.8,quora.com,AAAA,NOERROR,88,2.9477,0.5,False,0.015,2026-08-26T14:14:38.691640+00:00
dns_benign_00008,192.168.1.229,8.8.8.8,cloudflare.com,MX,NOERROR,178,3.3788,0.3846,False,0.015,2026-08-26T14:14:38.787640+00:00
dns_benign_00009,192.168.1.45,8.8.8.8,openai.com,MX,NOERROR,103,3.1219,0.5556,False,0.015,2026-08-26T14:14:38.930640+00:00
dns_benign_00010,192.168.1.197,8.8.8.8,jsdelivr.net,CNAME,NOERROR,134,3.4183,0.2727,False,0.015,2026-08-26T14:14:39.188640+00:00
dns_benign_00011,192.168.1.2,8.8.8.8,pinterest.com,MX,NOERROR,79,3.3927,0.3333,False,0.015,2026-08-26T14:14:39.304640+00:00
dns_benign_00012,192.168.1.159,8.8.8.8,netflix.com,MX,NOERROR,50,3.4594,0.3,False,0.015,2026-08-26T14:14:39.347640+00:00
dns_benign_00013,192.168.1.141,8.8.8.8,office.com,MX,NOERROR,109,2.7219,0.4444,False,0.015,2026-08-26T14:14:39.538640+00:00
dns_benign_00014,192.168.1.176,8.8.8.8,forbes.com,AAAA,NOERROR,170,3.1219,0.3333,False,0.015,2026-08-26T14:14:39.613640+00:00
dns_benign_00015,192.168.1.229,8.8.8.8,who.int,AAAA,NOERROR,146,2.8074,0.3333,False,0.015,2026-08-26T14:14:39.873640+00:00
dns_benign_00016,192.168.1.42,8.8.8.8,netflix.com,CNAME,NOERROR,135,3.4594,0.3,False,0.015,2026-08-26T14:14:40.080640+00:00
dns_benign_00017,192.168.1.177,8.8.8.8,zoom.us,A,NOERROR,49,2.5216,0.5,False,0.015,2026-08-26T14:14:40.289640+00:00
dns_benign_00018,192.168.1.22,8.8.8.8,vercel.com,A,NOERROR,176,2.9219,0.3333,False,0.015,2026-08-26T14:14:40.515640+00:00
dns_benign_00019,192.168.1.79,8.8.8.8,aliexpress.com,CNAME,NOERROR,77,3.5216,0.3846,False,0.015,2026-08-26T14:14:40.613640+00:00
dns_benign_00020,192.168.1.226,8.8.8.8,bloomberg.com,AAAA,NOERROR,98,3.027,0.3333,False,0.015,2026-08-26T14:14:40.718640+00:00
dns_benign_00021,192.168.1.55,8.8.8.8,youtube.com,MX,NOERROR,47,3.0958,0.5,False,0.015,2026-08-26T14:14:40.782640+00:00
dns_benign_00022,192.168.1.35,8.8.8.8,office.com,AAAA,NOERROR,127,2.7219,0.4444,False,0.015,2026-08-26T14:14:41.053640+00:00
dns_benign_00023,192.168.1.192,8.8.8.8,yahoo.com,AAAA,NOERROR,45,2.6416,0.5,False,0.015,2026-08-26T14:14:41.112640+00:00
dns_benign_00024,192.168.1.71,8.8.8.8,uber.com,AAAA,NOERROR,115,3.0,0.4286,False,0.015,2026-08-26T14:14:41.249640+00:00
dns_benign_00025,192.168.1.86,8.8.8.8,techcrunch.com,AAAA,NOERROR,74,3.0931,0.2308,False,0.015,2026-08-26T14:14:41.390640+00:00
dns_benign_00026,192.168.1.148,8.8.8.8,weather.com,AAAA,NOERROR,52,3.2776,0.4,False,0.015,2026-08-26T14:14:41.652640+00:00
dns_benign_00027,192.168.1.108,8.8.8.8,heroku.com,MX,NOERROR,101,3.1219,0.4444,False,0.015,2026-08-26T14:14:41.749640+00:00
dns_benign_00028,192.168.1.217,8.8.8.8,bloomberg.com,MX,NOERROR,143,3.027,0.3333,False,0.015,2026-08-26T14:14:41.852640+00:00
dns_benign_00029,192.168.1.175,8.8.8.8,paramountplus.com,CNAME,NOERROR,47,3.4992,0.375,False,0.015,2026-08-26T14:14:42.133640+00:00
dns_benign_00030,192.168.1.221,8.8.8.8,slack.com,A,NOERROR,110,2.9477,0.25,False,0.015,2026-08-26T14:14:42.300640+00:00
dns_benign_00031,192.168.1.234,8.8.8.8,debian.org,CNAME,NOERROR,61,3.3219,0.4444,False,0.015,2026-08-26T14:14:42.531640+00:00
dns_benign_00032,192.168.1.27,8.8.8.8,nytimes.com,MX,NOERROR,145,3.2776,0.3,False,0.015,2026-08-26T14:14:42.580640+00:00
dns_benign_00033,192.168.1.120,8.8.8.8,ebay.com,A,NOERROR,52,3.0,0.4286,False,0.015,2026-08-26T14:14:42.755640+00:00
dns_benign_00034,192.168.1.203,8.8.8.8,archlinux.org,CNAME,NOERROR,52,3.5466,0.3333,False,0.015,2026-08-26T14:14:42.942640+00:00
dns_benign_00035,192.168.1.188,8.8.8.8,cloudflare-dns.com,A,NOERROR,170,3.7255,0.3125,False,0.015,2026-08-26T14:14:43.033640+00:00
dns_benign_00036,192.168.1.38,8.8.8.8,redhat.com,MX,NOERROR,88,3.3219,0.3333,False,0.015,2026-08-26T14:14:43.281640+00:00
dns_benign_00037,192.168.1.35,8.8.8.8,etsy.com,CNAME,NOERROR,69,3.0,0.2857,False,0.015,2026-08-26T14:14:43.322640+00:00
dns_benign_00038,192.168.1.3,8.8.8.8,jsdelivr.net,CNAME,NOERROR,49,3.4183,0.2727,False,0.015,2026-08-26T14:14:43.422640+00:00
dns_benign_00039,192.168.1.148,8.8.8.8,bestbuy.com,MX,NOERROR,70,3.2776,0.3,False,0.015,2026-08-26T14:14:43.670640+00:00
dns_benign_00040,192.168.1.86,8.8.8.8,facebook.com,AAAA,NOERROR,129,3.0221,0.4545,False,0.015,2026-08-26T14:14:43.809640+00:00
dns_benign_00041,192.168.1.180,8.8.8.8,adobe.com,AAAA,NOERROR,86,2.9477,0.5,False,0.015,2026-08-26T14:14:44.039640+00:00
