flow_id,src_ip,dst_ip,src_port,dst_port,protocol,duration,bytes_in,bytes_out,pkts_in,pkts_out,tcp_flags,flow_rate_bps,packet_rate_pps,entropy,ja3_hash,is_attack,attack_type,timestamp,metadata
benign_flow_000001,192.168.1.72,198.51.100.64,40082,443,TCP,8.6113,3181,948,3,3,SYN-ACK-FIN-PSH,3835.89,0.7,3.4381,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:08.695852+00:00,"{""service"": ""HTTPS"", ""domain"": ""microsoft.com""}"
benign_flow_000002,192.168.1.8,198.51.100.145,39283,443,TCP,6.5796,940,116,3,3,SYN-ACK-FIN-PSH,1283.97,0.91,3.7338,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:08.706954+00:00,"{""service"": ""HTTPS"", ""domain"": ""notion.so""}"
benign_flow_000003,192.168.1.180,1.1.1.1,43917,53,UDP,0.0113,154,80,1,1,UDP,165663.72,176.99,3.3162,,False,BENIGN,2026-08-27T12:45:08.707954+00:00,"{""service"": ""DNS"", ""domain"": ""microsoft.com""}"
benign_flow_000004,192.168.1.218,198.51.100.90,52550,443,TCP,1.915,1838,585,3,3,SYN-ACK-FIN-PSH,10122.19,3.13,4.5068,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:08.712334+00:00,"{""service"": ""HTTPS"", ""domain"": ""microsoft.com""}"
benign_flow_000005,192.168.1.160,1.1.1.1,51686,53,UDP,0.005,435,69,1,1,UDP,806400.0,400.0,3.1935,,False,BENIGN,2026-08-27T12:45:08.748471+00:00,"{""service"": ""DNS"", ""domain"": ""slack.com""}"
benign_flow_000006,192.168.1.61,198.51.100.223,36077,443,TCP,5.4432,1505,286,3,3,SYN-ACK-FIN-PSH,2632.28,1.1,3.6514,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:08.763844+00:00,"{""service"": ""HTTPS"", ""domain"": ""cloudflare.com""}"
benign_flow_000007,192.168.1.20,198.51.100.157,53574,80,TCP,2.4023,1250,228,2,2,SYN-ACK-FIN-PSH,4921.95,1.67,3.7895,,False,BENIGN,2026-08-27T12:45:08.818297+00:00,"{""service"": ""HTTP"", ""domain"": ""youtube.com""}"
benign_flow_000008,192.168.1.85,198.51.100.217,57944,443,TCP,5.8887,786,202,3,3,SYN-ACK-FIN-PSH,1342.23,1.02,3.4794,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:08.870734+00:00,"{""service"": ""HTTPS"", ""domain"": ""spotify.com""}"
benign_flow_000009,192.168.1.82,8.8.8.8,54245,53,UDP,0.04,277,108,1,1,UDP,77000.0,50.0,3.1714,,False,BENIGN,2026-08-27T12:45:08.999574+00:00,"{""service"": ""DNS"", ""domain"": ""apple.com""}"
benign_flow_000010,192.168.1.145,198.51.100.139,41377,443,TCP,5.3255,852,168,3,3,SYN-ACK-FIN-PSH,1532.25,1.13,4.5968,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:09.013421+00:00,"{""service"": ""HTTPS"", ""domain"": ""apple.com""}"
benign_flow_000011,192.168.1.14,198.51.100.222,36360,443,TCP,8.6964,2992,835,3,3,SYN-ACK-FIN-PSH,3520.54,0.69,3.8617,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:09.045478+00:00,"{""service"": ""HTTPS"", ""domain"": ""linkedin.com""}"
benign_flow_000012,192.168.1.250,198.51.100.143,60974,443,TCP,12.8433,744,96,3,3,SYN-ACK-FIN-PSH,523.23,0.47,4.3011,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:09.295330+00:00,"{""service"": ""HTTPS"", ""domain"": ""slack.com""}"
benign_flow_000013,192.168.1.113,198.51.100.42,47635,443,TCP,11.077,84836,10015,68,18,SYN-ACK-FIN-PSH,68503.02,7.76,4.0092,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:09.341425+00:00,"{""service"": ""HTTPS"", ""domain"": ""microsoft.com""}"
benign_flow_000014,192.168.1.165,198.51.100.131,52722,443,TCP,13.8313,2533,539,3,3,SYN-ACK-FIN-PSH,1776.84,0.43,4.5069,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:09.433415+00:00,"{""service"": ""HTTPS"", ""domain"": ""spotify.com""}"
benign_flow_000015,192.168.1.6,198.51.100.30,44662,443,TCP,0.953,816,75,3,3,SYN-ACK-FIN-PSH,7479.54,6.3,4.4536,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:09.434415+00:00,"{""service"": ""HTTPS"", ""domain"": ""microsoft.com""}"
benign_flow_000016,192.168.1.19,198.51.100.252,57691,443,TCP,13.7357,1048,304,3,3,SYN-ACK-FIN-PSH,787.44,0.44,3.5982,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:09.438445+00:00,"{""service"": ""HTTPS"", ""domain"": ""zoom.us""}"
benign_flow_000017,192.168.1.56,198.51.100.239,50439,443,TCP,14.4302,896,114,3,3,SYN-ACK-FIN-PSH,559.94,0.42,4.1799,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:09.531105+00:00,"{""service"": ""HTTPS"", ""domain"": ""netflix.com""}"
benign_flow_000018,192.168.1.65,198.51.100.59,34866,443,TCP,3.2867,1713,262,3,3,SYN-ACK-FIN-PSH,4807.25,1.83,3.4852,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:09.634548+00:00,"{""service"": ""HTTPS"", ""domain"": ""youtube.com""}"
benign_flow_000019,192.168.1.10,198.51.100.222,43595,443,TCP,3.2007,5792,1470,4,3,SYN-ACK-FIN-PSH,18151.03,2.19,3.5588,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:09.637279+00:00,"{""service"": ""HTTPS"", ""domain"": ""spotify.com""}"
benign_flow_000020,192.168.1.64,198.51.100.202,48266,443,TCP,6.3185,753,203,3,3,SYN-ACK-FIN-PSH,1210.41,0.95,3.9083,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:09.733594+00:00,"{""service"": ""HTTPS"", ""domain"": ""netflix.com""}"
benign_flow_000021,192.168.1.169,198.51.100.253,53942,443,TCP,3.6957,4586,937,3,3,SYN-ACK-FIN-PSH,11955.52,1.62,3.6283,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:09.823320+00:00,"{""service"": ""HTTPS"", ""domain"": ""netflix.com""}"
benign_flow_000022,192.168.1.120,198.51.100.65,35238,443,TCP,0.8475,1453,123,3,3,SYN-ACK-FIN-PSH,14876.7,7.08,4.5991,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:09.830117+00:00,"{""service"": ""HTTPS"", ""domain"": ""notion.so""}"
benign_flow_000023,192.168.1.194,198.51.100.219,40513,443,TCP,13.0971,3021,546,3,3,SYN-ACK-FIN-PSH,2178.8,0.46,3.5976,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:09.831117+00:00,"{""service"": ""HTTPS"", ""domain"": ""google.com""}"
benign_flow_000024,192.168.1.202,198.51.100.202,47677,443,TCP,10.4507,2023,252,3,3,SYN-ACK-FIN-PSH,1741.51,0.57,3.5858,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:10.021040+00:00,"{""service"": ""HTTPS"", ""domain"": ""cloudflare.com""}"
benign_flow_000025,192.168.1.190,198.51.100.140,34765,443,TCP,7.351,775,244,3,3,SYN-ACK-FIN-PSH,1108.96,0.82,4.4233,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:10.032088+00:00,"{""service"": ""HTTPS"", ""domain"": ""apple.com""}"
benign_flow_000026,192.168.1.219,198.51.100.49,35013,443,TCP,1.844,1091,142,3,3,SYN-ACK-FIN-PSH,5349.24,3.25,4.4683,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:10.034723+00:00,"{""service"": ""HTTPS"", ""domain"": ""amazon.com""}"
benign_flow_000027,192.168.1.22,198.51.100.109,54308,443,TCP,9.7507,1069,183,3,3,SYN-ACK-FIN-PSH,1027.21,0.62,3.777,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:10.073645+00:00,"{""service"": ""HTTPS"", ""domain"": ""cloudflare.com""}"
benign_flow_000028,192.168.1.78,198.51.100.119,43128,80,TCP,3.8815,374,48,2,2,SYN-ACK-FIN-PSH,869.77,1.03,3.363,,False,BENIGN,2026-08-27T12:45:10.096317+00:00,"{""service"": ""HTTP"", ""domain"": ""microsoft.com""}"
benign_flow_000029,192.168.1.69,198.51.100.35,44204,443,TCP,2.3884,823,66,3,3,SYN-ACK-FIN-PSH,2977.73,2.51,4.4005,cd08e31494f9531f5c4d058b2297777b,False,BENIGN,2026-08-27T12:45:10.099741+00:00,"{""service"": ""HTTPS"", ""domain"": ""openai.com""}"
benign_flow_000030,192.168.1.208,198.51.100.169,50100,587,TCP,1.127,1183,56,2,5,SYN-ACK-FIN,8795.03,6.21,2.3746,,False,BENIGN,2026-08-27T12:45:10.115953+00:00,"{""service"": ""SMTP"", ""domain"": null}"
