tls_id,client_ip,server_ip,client_name,ja3_hash,sni,alpn,cipher_suite_count,is_malicious,threat_label
tls_benign_0001,192.168.1.93,198.51.100.9,Safari 17+ (macOS),439ea1914eb1d9fb9f82d2571217e573,www.akamai.net,"h2,http/1.1",16,False,BENIGN
tls_benign_0002,192.168.1.18,198.51.100.38,Chrome 120+ (Windows),cd08e31494f9531f5c4d058b2297777b,www.cdc.gov,"h2,http/1.1",14,False,BENIGN
tls_benign_0003,192.168.1.204,198.51.100.110,Firefox 122+ (Linux),6b4e05b57f00693a1c6e1aa7dd31767e,www.google.com,"h2,http/1.1",22,False,BENIGN
tls_benign_0004,192.168.1.105,198.51.100.203,Chrome 120+ (Windows),cd08e31494f9531f5c4d058b2297777b,www.debian.org,"h2,http/1.1",26,False,BENIGN
tls_benign_0005,192.168.1.243,198.51.100.178,Chrome 120+ (Windows),cd08e31494f9531f5c4d058b2297777b,www.vercel.com,"h2,http/1.1",22,False,BENIGN
tls_benign_0006,192.168.1.66,198.51.100.67,Chrome 120+ (Windows),cd08e31494f9531f5c4d058b2297777b,www.nih.gov,"h2,http/1.1",26,False,BENIGN
tls_benign_0007,192.168.1.216,198.51.100.12,Edge 120+ (Windows),773906b0efecd2e917d5237dda4e6d16,www.render.com,"h2,http/1.1",22,False,BENIGN
tls_benign_0008,192.168.1.179,198.51.100.158,Chrome 120+ (Windows),cd08e31494f9531f5c4d058b2297777b,www.cnet.com,"h2,http/1.1",28,False,BENIGN
tls_benign_0009,192.168.1.67,198.51.100.11,Chrome 120+ (Windows),cd08e31494f9531f5c4d058b2297777b,www.figma.com,"h2,http/1.1",26,False,BENIGN
tls_benign_0010,192.168.1.71,198.51.100.110,Firefox 122+ (Linux),6b4e05b57f00693a1c6e1aa7dd31767e,www.paypal.com,"h2,http/1.1",19,False,BENIGN
tls_benign_0011,192.168.1.73,198.51.100.146,Safari 17+ (macOS),439ea1914eb1d9fb9f82d2571217e573,www.render.com,"h2,http/1.1",19,False,BENIGN
tls_benign_0012,192.168.1.211,198.51.100.105,Chrome 120+ (Windows),cd08e31494f9531f5c4d058b2297777b,www.youtube.com,"h2,http/1.1",23,False,BENIGN
tls_benign_0013,192.168.1.214,198.51.100.234,Safari 17+ (macOS),439ea1914eb1d9fb9f82d2571217e573,www.firebase.google.com,"h2,http/1.1",22,False,BENIGN
tls_benign_0014,192.168.1.107,198.51.100.213,Chrome 120+ (Windows),cd08e31494f9531f5c4d058b2297777b,www.bing.com,"h2,http/1.1",25,False,BENIGN
